problem,family,task,model,target,feature_set,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy,primary_metric,blocks,block_mean,block_median,block_worst,block_best,block_frac_expected_sign,block_bootstrap_p05,block_bootstrap_p95
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,linear,next_move_matches_sweep_direction,book_flow_plus_sweep,344648,172324,0.5,0.7418808466,0.7355171954,1.471034391,0.5991814223,0.2063162746,0.6749117941,roc_auc,108,0.7423156072,0.7423407407,0.6538185185,0.8777081999,1,0.7371348816,0.7476177012
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,lightgbm,next_move_matches_sweep_direction,book_flow_plus_sweep,344648,172324,0.5,0.7372011581,0.7329581206,1.465916241,0.6022910133,0.2080288713,0.6706204591,roc_auc,108,0.7367745325,0.7382314815,0.6582395062,0.8678158613,1,0.7315417789,0.7419266352
directional_sign_250ms__obi,directional_sign_250ms,classification,naive,directional_sign_250ms,obi,48256,24128,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,65,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_250ms__obi,directional_sign_250ms,classification,linear,directional_sign_250ms,obi,48256,24128,0.5,0.900876297,0.8935181936,1.787036387,0.4057961038,0.1263749876,0.8258454907,roc_auc,65,0.8879892923,0.9297327132,0.7404816784,0.9834987503,1,0.8712666641,0.9062305703
directional_sign_250ms__obi,directional_sign_250ms,classification,lightgbm,directional_sign_250ms,obi,48256,24128,0.5,0.8992251369,0.8888427627,1.777685525,0.4107143575,0.1261591976,0.8250787467,roc_auc,65,0.8851601571,0.92785367,0.7383358607,0.9825887549,1,0.8685215882,0.9036950135
directional_sign_250ms__sweep_only,directional_sign_250ms,classification,naive,directional_sign_250ms,sweep_only,48256,24128,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,65,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_250ms__sweep_only,directional_sign_250ms,classification,linear,directional_sign_250ms,sweep_only,48256,24128,0.5,0.8139765673,0.7875632365,1.575126473,0.6084743887,0.1868422553,0.7374419761,roc_auc,65,0.8434764868,0.8859542128,0.6893080173,0.9572742023,1,0.8267784364,0.8629812645
directional_sign_250ms__sweep_only,directional_sign_250ms,classification,lightgbm,directional_sign_250ms,sweep_only,48256,24128,0.5,0.8058943813,0.7798757588,1.559751518,0.5665576542,0.1882006773,0.7270805703,roc_auc,65,0.8373838908,0.8802655838,0.6811937214,0.9548235533,1,0.8200937585,0.8575341218
directional_sign_250ms__book_flow,directional_sign_250ms,classification,naive,directional_sign_250ms,book_flow,48256,24128,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,65,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_250ms__book_flow,directional_sign_250ms,classification,linear,directional_sign_250ms,book_flow,48256,24128,0.5,0.9071865237,0.899156373,1.798312746,0.3970763832,0.1211006121,0.8362276194,roc_auc,65,0.8931524499,0.9369604992,0.7440131622,0.9870200108,1,0.8765725786,0.9113624653
directional_sign_250ms__book_flow,directional_sign_250ms,classification,lightgbm,directional_sign_250ms,book_flow,48256,24128,0.5,0.9217970284,0.9204634367,1.840926873,0.3587517305,0.1119131423,0.8425480769,roc_auc,65,0.9044465395,0.9419047619,0.7501922926,0.9864115738,1,0.8879423241,0.9225209476
directional_sign_250ms__book_flow_plus_sweep,directional_sign_250ms,classification,naive,directional_sign_250ms,book_flow_plus_sweep,48256,24128,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,65,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_250ms__book_flow_plus_sweep,directional_sign_250ms,classification,linear,directional_sign_250ms,book_flow_plus_sweep,48256,24128,0.5,0.9127698107,0.907808761,1.815617522,0.3859378395,0.1172066432,0.8406830239,roc_auc,65,0.9000443082,0.9419288549,0.757868535,0.9871890211,1,0.8842447211,0.9173765149
directional_sign_250ms__book_flow_plus_sweep,directional_sign_250ms,classification,lightgbm,directional_sign_250ms,book_flow_plus_sweep,48256,24128,0.5,0.9244062973,0.9234331747,1.846866349,0.3530093221,0.1100039582,0.845511439,roc_auc,65,0.9079117868,0.9452948855,0.7655589498,0.9869862088,1,0.892042775,0.9257147873
directional_sign_500ms__obi,directional_sign_500ms,classification,naive,directional_sign_500ms,obi,76348,38174,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,74,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_500ms__obi,directional_sign_500ms,classification,linear,directional_sign_500ms,obi,76348,38174,0.5,0.8591331195,0.8498440854,1.699688171,0.4783944778,0.1539120275,0.7839367109,roc_auc,74,0.8458152911,0.8910945628,0.6914378052,0.9975492506,1,0.8302156608,0.8654447961
directional_sign_500ms__obi,directional_sign_500ms,classification,lightgbm,directional_sign_500ms,obi,76348,38174,0.5,0.857115193,0.8455487577,1.691097515,0.4837536432,0.1539259298,0.784237963,roc_auc,74,0.8424212911,0.8870547641,0.6871269032,0.9978320294,1,0.8266508695,0.8621914779
directional_sign_500ms__sweep_only,directional_sign_500ms,classification,naive,directional_sign_500ms,sweep_only,76348,38174,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,74,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_500ms__sweep_only,directional_sign_500ms,classification,linear,directional_sign_500ms,sweep_only,76348,38174,0.5,0.7716763155,0.7399585291,1.479917058,0.6557369068,0.207792849,0.705598051,roc_auc,74,0.8004738735,0.8494162096,0.6414805372,0.9852955038,1,0.7846477498,0.8206689533
directional_sign_500ms__sweep_only,directional_sign_500ms,classification,lightgbm,directional_sign_500ms,sweep_only,76348,38174,0.5,0.7628251214,0.7295924327,1.459184865,0.6095635887,0.2080641586,0.6871299838,roc_auc,74,0.7918129868,0.8462960538,0.6267897156,0.9851069846,1,0.7753473591,0.812766984
directional_sign_500ms__book_flow,directional_sign_500ms,classification,naive,directional_sign_500ms,book_flow,76348,38174,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,74,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_500ms__book_flow,directional_sign_500ms,classification,linear,directional_sign_500ms,book_flow,76348,38174,0.5,0.8651716113,0.8569811589,1.713962318,0.4698688449,0.1500675906,0.7910881752,roc_auc,74,0.849898351,0.8987360312,0.6937144499,0.9981148082,1,0.8343558777,0.8694027236
directional_sign_500ms__book_flow,directional_sign_500ms,classification,lightgbm,directional_sign_500ms,book_flow,76348,38174,0.5,0.8773458305,0.8755830051,1.75116601,0.442477378,0.1428616582,0.7929087861,roc_auc,74,0.8570189553,0.901180446,0.6983905487,0.9986803657,1,0.8412314739,0.8762890489
directional_sign_500ms__book_flow_plus_sweep,directional_sign_500ms,classification,naive,directional_sign_500ms,book_flow_plus_sweep,76348,38174,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,74,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_500ms__book_flow_plus_sweep,directional_sign_500ms,classification,linear,directional_sign_500ms,book_flow_plus_sweep,76348,38174,0.5,0.8679047678,0.861193323,1.722386646,0.4662948714,0.1484915012,0.7929742757,roc_auc,74,0.8534641376,0.9008723012,0.6996509624,0.9983033274,1,0.8380120932,0.8724730477
directional_sign_500ms__book_flow_plus_sweep,directional_sign_500ms,classification,lightgbm,directional_sign_500ms,book_flow_plus_sweep,76348,38174,0.5,0.8788513625,0.877630925,1.75526185,0.4397605889,0.1419004656,0.7940483051,roc_auc,74,0.8591091012,0.9032101972,0.7017516518,0.9988688849,1,0.8434134495,0.8779001594
directional_sign_1000ms__obi,directional_sign_1000ms,classification,naive,directional_sign_1000ms,obi,114554,57277,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,94,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_1000ms__obi,directional_sign_1000ms,classification,linear,directional_sign_1000ms,obi,114554,57277,0.5,0.8106532519,0.8005439828,1.601087966,0.5445903557,0.1809885135,0.7380100215,roc_auc,94,0.8003065589,0.8601322914,0.6455272249,0.9935203805,1,0.7846930202,0.8187587701
directional_sign_1000ms__obi,directional_sign_1000ms,classification,lightgbm,directional_sign_1000ms,obi,114554,57277,0.5,0.8088725979,0.7962023781,1.592404756,0.5490155877,0.1810025505,0.7373291199,roc_auc,94,0.7973654917,0.8548136984,0.6440234511,0.9935842191,1,0.781841473,0.8155918661
directional_sign_1000ms__sweep_only,directional_sign_1000ms,classification,naive,directional_sign_1000ms,sweep_only,114554,57277,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,94,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_1000ms__sweep_only,directional_sign_1000ms,classification,linear,directional_sign_1000ms,sweep_only,114554,57277,0.5,0.7290353265,0.6946718118,1.389343624,0.6838581857,0.2240591344,0.6704261746,roc_auc,94,0.7590358865,0.8182567091,0.6083006277,0.979795078,1,0.7426687599,0.7779341646
directional_sign_1000ms__sweep_only,directional_sign_1000ms,classification,lightgbm,directional_sign_1000ms,sweep_only,114554,57277,0.5,0.722064275,0.6849266478,1.369853296,0.6398650449,0.222923926,0.6516053564,roc_auc,94,0.7494907733,0.8155809354,0.5942859363,0.9768425421,1,0.7322942233,0.7695525342
directional_sign_1000ms__book_flow,directional_sign_1000ms,classification,naive,directional_sign_1000ms,book_flow,114554,57277,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,94,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_1000ms__book_flow,directional_sign_1000ms,classification,linear,directional_sign_1000ms,book_flow,114554,57277,0.5,0.815472455,0.8063020979,1.612604196,0.5387711317,0.1781943046,0.7421827261,roc_auc,94,0.8023624615,0.8611660693,0.6480138987,0.9936480577,1,0.7864927184,0.8209532085
directional_sign_1000ms__book_flow,directional_sign_1000ms,classification,lightgbm,directional_sign_1000ms,book_flow,114554,57277,0.5,0.8255930882,0.8230699612,1.646139922,0.5156249358,0.1713138132,0.7451856766,roc_auc,94,0.8073734799,0.8623231319,0.6532450359,0.9946056369,1,0.791761807,0.8255496407
directional_sign_1000ms__book_flow_plus_sweep,directional_sign_1000ms,classification,naive,directional_sign_1000ms,book_flow_plus_sweep,114554,57277,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,94,0.5,0.5,0.5,0.5,0,0.5,0.5
directional_sign_1000ms__book_flow_plus_sweep,directional_sign_1000ms,classification,linear,directional_sign_1000ms,book_flow_plus_sweep,114554,57277,0.5,0.8162598209,0.8071752171,1.614350434,0.5382587262,0.1778560858,0.7429509227,roc_auc,94,0.80349159,0.8619201283,0.6490650131,0.9935842191,1,0.7878221987,0.8219771525
directional_sign_1000ms__book_flow_plus_sweep,directional_sign_1000ms,classification,lightgbm,directional_sign_1000ms,book_flow_plus_sweep,114554,57277,0.5,0.8270607614,0.8248577801,1.64971556,0.5132959863,0.1704715251,0.7457443651,roc_auc,94,0.8092846807,0.8653710457,0.6565983395,0.99492483,1,0.7940046202,0.827250579
