problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,target,feature_set,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,linear,6,207158,42846,2026-08-19T20:37:39.066Z,next_move_matches_sweep_direction,sweep_only,42792,21396,0.5,0.6765086666,0.6741719476,1.348343895,0.6625591649,0.2346685396,0.6275004674
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,lightgbm,6,207158,42846,2026-08-19T20:37:39.066Z,next_move_matches_sweep_direction,sweep_only,42792,21396,0.5,0.6705371904,0.6614449374,1.322889875,0.6855429347,0.2469019865,0.5443073472
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,naive,7,249950,42852,2026-08-20T02:34:46.750Z,next_move_matches_sweep_direction,sweep_only,42376,21188,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,linear,7,249950,42852,2026-08-20T02:34:46.750Z,next_move_matches_sweep_direction,sweep_only,42376,21188,0.5,0.675374128,0.6640253841,1.328050768,0.6636908265,0.2353151323,0.6278081933
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,lightgbm,7,249950,42852,2026-08-20T02:34:46.750Z,next_move_matches_sweep_direction,sweep_only,42376,21188,0.5,0.6740848463,0.6601350661,1.320270132,0.6636834395,0.2359420401,0.5858504814
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,naive,8,292326,42852,2026-08-20T08:31:54.433Z,next_move_matches_sweep_direction,sweep_only,42840,21420,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,linear,8,292326,42852,2026-08-20T08:31:54.433Z,next_move_matches_sweep_direction,sweep_only,42840,21420,0.5,0.6762889045,0.6819876317,1.363975263,0.6658284871,0.2366844927,0.6096171802
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,lightgbm,8,292326,42852,2026-08-20T08:31:54.433Z,next_move_matches_sweep_direction,sweep_only,42840,21420,0.5,0.6733149382,0.6718160513,1.343632103,0.6889538717,0.2492158577,0.5242530345
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,naive,9,335166,42854,2026-08-20T14:29:02.116Z,next_move_matches_sweep_direction,sweep_only,42836,21418,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,linear,9,335166,42854,2026-08-20T14:29:02.116Z,next_move_matches_sweep_direction,sweep_only,42836,21418,0.5,0.6608442298,0.6756549923,1.351309985,0.6566358117,0.2331854279,0.6115416939
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,lightgbm,9,335166,42854,2026-08-20T14:29:02.116Z,next_move_matches_sweep_direction,sweep_only,42836,21418,0.5,0.6596568949,0.6702891888,1.340578378,0.6706044984,0.2404608124,0.5571015034
