alpha_pct,beta_pct,side,eligible_opportunities,filled,fill_rate_30000ms,at_quote_fills,trade_through_fills,at_quote_rate_given_fill,trade_through_rate_given_fill,fill_evaluable_500ms,fill_rate_500ms,fill_evaluable_1000ms,fill_rate_1000ms,fill_evaluable_5000ms,fill_rate_5000ms,median_time_to_fill_ms,markout_100ms_observed,markout_100ms_censored,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_frac_favourable,markout_100ms_frac_non_negative,required_benefit_100ms_ticks,required_benefit_100ms_usd_per_btc,required_benefit_100ms_bps,markout_500ms_observed,markout_500ms_censored,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_frac_favourable,markout_500ms_frac_non_negative,required_benefit_500ms_ticks,required_benefit_500ms_usd_per_btc,required_benefit_500ms_bps,markout_1000ms_observed,markout_1000ms_censored,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_non_negative,required_benefit_1000ms_ticks,required_benefit_1000ms_usd_per_btc,required_benefit_1000ms_bps,markout_5000ms_observed,markout_5000ms_censored,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_non_negative,required_benefit_5000ms_ticks,required_benefit_5000ms_usd_per_btc,required_benefit_5000ms_bps,median_spread_ticks,mean_spread_ticks,required_benefit_1s_in_half_spreads,required_benefit_1s_in_full_spreads
25,0,0,257039,180175,0.700963667,114696,65479,0.6365811017,0.3634188983,257034,0.1210190092,257031,0.1830051628,256999,0.4071688995,3485.491068,180175,0,-22.92826974,-12.5,-62.5,-36.5,-12.5,0.5,0.5,0.3609990287,0.3610045789,22.92826974,2.292826974,0.3372053976,180175,0,-35.47040932,-21.5,-101.5,-56.5,-21.5,0.5,0.5,0.3371222423,0.3371222423,35.47040932,3.547040932,0.5223298352,180153,22,-38.74319329,-24.5,-117.5,-64.5,-24.5,0.5,0.5,0.3322009625,0.3322065134,38.74319329,3.874319329,0.5703725034,180149,26,-45.42534513,-31.5,-184.5,-92.5,-31.5,0.5,66.5,0.3398520114,0.3398520114,45.42534513,4.542534513,0.6700730957,1,1.033578562,74.96903421,37.4845171
25,0,1,257039,177568,0.6908212372,114541,63027,0.6450542891,0.3549457109,257034,0.1165254402,257031,0.1796514817,256999,0.4042077985,3456.368674,177568,0,-23.76281481,-14.5,-65.5,-38.5,-14.5,0.5,0.5,0.3598734006,0.3598790323,23.76281481,2.376281481,0.3488126125,177563,5,-37.6913687,-23.5,-106.5,-59.5,-23.5,0.5,0.5,0.3371929963,0.3371929963,37.6913687,3.76913687,0.5536774704,177562,6,-41.10871696,-25.5,-123.5,-67.5,-25.5,0.5,0.5,0.3325429991,0.3325429991,41.10871696,4.110871696,0.6040164733,177528,40,-50.67225452,-32.5,-194.5,-98.5,-32.5,0.5,62.5,0.337558019,0.337558019,50.67225452,5.067225452,0.7468529032,1,1.033578562,79.54638083,39.77319041
25,25,0,257039,190466,0.7410003929,172310,18156,0.9046759002,0.09532409984,257034,0.1319241812,257031,0.2024191634,256999,0.4491418255,3137.406592,190466,0,-17.65916227,0.5,-55.5,-29.5,0.5,0.5,0.5,0.5046517489,0.5046569991,17.65916227,1.765916227,0.2594668643,190462,4,-28.37740337,-5.5,-93.5,-45.5,-5.5,0.5,0.5,0.462832481,0.462832481,28.37740337,2.837740337,0.4175991094,190435,31,-31.43643238,-8.5,-108.5,-53.5,-8.5,0.5,0.5,0.4447501772,0.4447554284,31.43643238,3.143643238,0.4625583337,190429,37,-38.07542969,-20.5,-172.5,-81.5,-20.5,0.5,69.5,0.4075324662,0.4075324662,38.07542969,3.807542969,0.561654666,1,1.033578562,60.83027171,30.41513585
25,25,1,257039,188294,0.7325503134,171711,16583,0.9119302792,0.08806972076,257034,0.1262906853,257031,0.1972057845,256999,0.4425814886,3184.861803,188294,0,-18.56051175,-0.5,-58.5,-31.5,-0.5,0.5,0.5,0.4979765686,0.4979818794,18.56051175,1.856051175,0.2721430211,188288,6,-30.55238783,-6.5,-97.5,-48.5,-6.5,0.5,0.5,0.4577827583,0.4577827583,30.55238783,3.055238783,0.4484620882,188287,7,-33.88015636,-11.5,-112.5,-56.5,-11.5,0.5,0.5,0.4397807602,0.4397807602,33.88015636,3.388015636,0.4974744083,188253,41,-43.26678725,-22.5,-181.5,-87.5,-22.5,0.5,63.5,0.4038979458,0.4038979458,43.26678725,4.326678725,0.6376888554,1,1.033578562,65.55893785,32.77946893
25,50,0,257039,201130,0.7824882605,186579,14551,0.9276537563,0.07234624372,257034,0.1558976633,257031,0.2415467395,256999,0.5125311772,2497.420247,201130,0,-13.5943892,0.5,-48.5,-20.5,0.5,0.5,0.5,0.6154924676,0.6154974395,13.5943892,1.35943892,0.1992223592,201126,4,-22.32462983,0.5,-82.5,-36.5,0.5,0.5,0.5,0.5675198632,0.5675198632,22.32462983,2.232462983,0.3277783932,201104,26,-25.11999264,0.5,-97.5,-41.5,0.5,0.5,0.5,0.5412522874,0.5412572599,25.11999264,2.511999264,0.3688652121,201092,38,-31.44775526,-5.5,-160.5,-70.75,-5.5,0.5,69.5,0.47365385,0.47365385,31.44775526,3.144775526,0.4634176982,1,1.033578562,48.60780508,24.30390254
25,50,1,257039,200412,0.7796949101,186913,13499,0.9326437539,0.06735624613,257034,0.1492253943,257031,0.2359870988,256999,0.5089047039,2550.334496,200412,0,-14.29923607,0.5,-50.5,-22.5,0.5,0.5,0.5,0.6106221184,0.6106320979,14.29923607,1.429923607,0.2090592963,200406,6,-24.20840444,0.5,-87.5,-38.5,0.5,0.5,0.5,0.5641946848,0.5641946848,24.20840444,2.420840444,0.3544696479,200405,7,-27.29819366,0.5,-101.5,-44.5,0.5,0.5,0.5,0.5391282653,0.5391282653,27.29819366,2.729819366,0.3999546244,200375,37,-36.02696444,-6.5,-169.5,-75.5,-6.5,0.5,64.5,0.4729981285,0.4729981285,36.02696444,3.602696444,0.5303639923,1,1.033578562,52.82267776,26.41133888
25,75,0,257039,205658,0.8001042643,191847,13811,0.93284482,0.06715517996,257034,0.1696351455,257031,0.2624625045,256999,0.5419865447,2260.969487,205658,0,-12.27283889,0.5,-45.5,-16.5,0.5,0.5,0.5,0.6498701728,0.6498750353,12.27283889,1.227283889,0.1796965795,205654,4,-20.2815846,0.5,-78.5,-31.5,0.5,0.5,0.5,0.6014519533,0.6014519533,20.2815846,2.02815846,0.2975480373,205636,22,-22.95441217,0.5,-93.5,-38.5,0.5,0.5,0.5,0.5732896964,0.5732945593,22.95441217,2.295441217,0.3368137169,205622,36,-28.9511385,-0.5,-156.5,-67.5,-0.5,0.5,70.5,0.4982200348,0.4982200348,28.9511385,2.89511385,0.4264391594,1,1.033578562,44.41735347,22.20867674
25,75,1,257039,204838,0.796914087,191907,12931,0.9368720648,0.06312793525,257034,0.1629278617,257031,0.2568094899,256999,0.5397958747,2303.850645,204838,0,-12.96084955,0.5,-48.5,-18.5,0.5,0.5,0.5,0.6448119978,0.6448168797,12.96084955,1.296084955,0.1893431031,204833,5,-22.05409041,0.5,-83.5,-34.5,0.5,0.5,0.5,0.5981165144,0.5981165144,22.05409041,2.205409041,0.3226862158,204832,6,-24.98782661,0.5,-97.5,-39.5,0.5,0.5,0.5,0.5716587252,0.5716587252,24.98782661,2.498782661,0.3658257158,204802,36,-33.38322136,-0.5,-163.5,-71.5,-0.5,0.5,65.5,0.4970898722,0.4970898722,33.38322136,3.338322136,0.4912930885,1,1.033578562,48.35206055,24.17603028
25,100,0,257039,208082,0.8095347399,194691,13391,0.9356455628,0.06435443719,257034,0.1791591774,257031,0.2762974116,256999,0.5589399181,2111.284291,208082,0,-11.55873886,0.5,-43.5,-14.5,0.5,0.5,0.5,0.6678569026,0.6678617084,11.55873886,1.155873886,0.1691934722,208078,4,-19.12024818,0.5,-75.5,-29.5,0.5,0.5,0.5,0.6194744279,0.6194744279,19.12024818,1.912024818,0.2804349067,208061,21,-21.71013309,0.5,-90.5,-36.5,0.5,0.5,0.5,0.5903941633,0.5903989695,21.71013309,2.171013309,0.3184810293,208049,33,-27.5121654,0.5,-153.5,-64.5,0.5,0.5,71.5,0.5111247831,0.5111247831,27.5121654,2.75121654,0.4052488453,1,1.033578562,42.00964278,21.00482139
25,100,1,257039,207326,0.806593552,194697,12629,0.9390862699,0.06091373007,257034,0.1726503109,257031,0.2711968595,256999,0.5580838836,2147.225048,207326,0,-12.20930563,0.5,-46.5,-16.5,0.5,0.5,0.5,0.6635250764,0.6635298998,12.20930563,1.220930563,0.1782746845,207322,4,-20.87591524,0.5,-80.5,-31.5,0.5,0.5,0.5,0.61665911,0.61665911,20.87591524,2.087591524,0.3053179883,207321,5,-23.67511009,0.5,-94.5,-38.5,0.5,0.5,0.5,0.589559186,0.589559186,23.67511009,2.367511009,0.3464688428,207289,37,-31.85248132,0.5,-161.5,-68.5,0.5,0.5,65.5,0.5109050649,0.5109050649,31.85248132,3.185248132,0.4686386441,1,1.033578562,45.81192174,22.90596087
