population,alpha_pct,beta_pct,horizon_ms,observed,mean_ticks,median_ticks,p25_ticks,p75_ticks,frac_favourable,mechanism_name,side
by_side,0,100,1000,248121,-5.675944398,0.5,0.5,0.5,0.8097944148,,1
by_side,0,100,5000,248088,-8.219172229,0.5,-26.5,0.5,0.6875100771,,1
by_side,50,50,100,179164,-22.15558929,-10.5,-36.5,0.5,0.3842233931,,0
by_side,50,50,500,179159,-35.00358899,-20.5,-56.5,0.5,0.3499517189,,0
by_side,50,50,1000,179136,-38.52033092,-23.5,-64.5,0.5,0.3407243658,,0
by_side,50,50,5000,179134,-45.78233334,-31.5,-92.5,0.5,0.3367758215,,0
by_side,50,50,100,175919,-23.46048181,-13.5,-37.5,0.5,0.3723929763,,1
by_side,50,50,500,175917,-38.00572145,-22.5,-59.5,0.5,0.340461695,,1
by_side,50,50,1000,175916,-41.72043191,-25.5,-68.5,0.5,0.3310045704,,1
by_side,50,50,5000,175884,-51.87468445,-33.5,-99.5,0.5,0.3294500921,,1
by_side,100,0,100,160846,-32.48173097,-26.5,-45.5,-8.5,0.108190443,,0
by_side,100,0,500,160846,-49.24844883,-37.5,-72.5,-13.5,0.1074568221,,0
by_side,100,0,1000,160834,-53.32124737,-39.5,-80.5,-13.5,0.1242523347,,0
by_side,100,0,5000,160831,-61.35703627,-46.5,-111.5,-6.5,0.2048734386,,0
by_side,100,0,100,158168,-33.66123995,-27.5,-46.5,-9.5,0.1077841283,,1
by_side,100,0,500,158166,-52.24979136,-38.5,-75.5,-15.5,0.1075262699,,1
by_side,100,0,1000,158164,-56.35616196,-40.5,-83.5,-15.5,0.1238334893,,1
by_side,100,0,5000,158133,-67.62907805,-50.5,-117.5,-8.5,0.2003629856,,1
