alpha_pct,beta_pct,side,horizon_ms,observed_fills,p_trade_through_given_fill,p_at_quote_given_fill,mean_markout_trade_through_ticks,mean_markout_at_quote_ticks,mean_markout_total_ticks,reconstructed_mean_ticks,reconstruction_error_ticks,required_benefit_ticks
25,75,1,1000,204832,0.06312002031,0.9368799797,-51.79190193,-23.18196693,-24.98782661,-24.98782661,-3.552713679e-15,24.98782661
25,75,1,5000,204802,0.06309996973,0.9369000303,-63.83788594,-31.33210773,-33.38322136,-33.38322136,7.105427358e-15,33.38322136
25,100,0,100,208082,0.06435443719,0.9356455628,-32.11451721,-10.14489627,-11.55873886,-11.55873886,0,11.55873886
25,100,0,500,208078,0.06435567431,0.9356443257,-46.32525577,-17.24902793,-19.12024818,-19.12024818,0,19.12024818
25,100,0,1000,208061,0.06435612633,0.9356438737,-49.87046303,-19.77318912,-21.71013309,-21.71013309,0,21.71013309
25,100,0,5000,208049,0.06435983831,0.9356401617,-50.20597461,-25.95112736,-27.5121654,-27.5121654,0,27.5121654
25,100,1,100,207326,0.06091373007,0.9390862699,-32.41943147,-10.89837799,-12.20930563,-12.20930563,1.776356839e-15,12.20930563
25,100,1,500,207322,0.06090525849,0.9390947415,-47.91518175,-19.12227587,-20.87591524,-20.87591524,0,20.87591524
25,100,1,1000,207321,0.06090555226,0.9390944477,-51.72202423,-21.8561101,-23.67511009,-23.67511009,-3.552713679e-15,23.67511009
25,100,1,5000,207289,0.06089083357,0.9391091664,-63.60034068,-29.79398409,-31.85248132,-31.85248132,0,31.85248132
50,0,0,100,168399,0.5504961431,0.4495038569,-32.87731789,-22.68621195,-28.29637646,-28.29637646,0,28.29637646
50,0,0,500,168398,0.5504994121,0.4495005879,-50.2656009,-34.64756589,-43.24528498,-43.24528498,0,43.24528498
50,0,0,1000,168383,0.5504890636,0.4495109364,-54.19019775,-37.96434139,-46.89649786,-46.89649786,0,46.89649786
50,0,0,5000,168381,0.5504837244,0.4495162756,-62.25182057,-45.28125248,-54.623274,-54.623274,-7.105427358e-15,54.623274
50,0,1,100,165739,0.5363553539,0.4636446461,-34.67670285,-22.98527536,-29.25603509,-29.25603509,0,29.25603509
50,0,1,500,165737,0.536349759,0.463650241,-53.89636979,-36.54774608,-45.85267623,-45.85267623,0,45.85267623
50,0,1,1000,165736,0.5363529951,0.4636470049,-58.42928577,-39.49475554,-49.65034754,-49.65034754,0,49.65034754
50,0,1,5000,165704,0.5363238063,0.4636761937,-71.14005131,-47.6707079,-60.25787549,-60.25787549,0,60.25787549
50,25,0,100,171478,0.4493346085,0.5506653915,-32.39474504,-21.91738592,-26.62522598,-26.62522598,3.552713679e-15,26.62522598
50,25,0,500,171477,0.4493372289,0.5506627711,-49.62183489,-33.92424226,-40.97775503,-40.97775503,0,40.97775503
50,25,0,1000,171460,0.4493351219,0.5506648781,-53.51647781,-37.23856933,-44.55280532,-44.55280532,0,44.55280532
50,25,0,5000,171456,0.4493339399,0.5506660601,-61.00323854,-44.81901711,-52.09113708,-52.09113708,7.105427358e-15,52.09113708
50,25,1,100,168688,0.4395689083,0.5604310917,-34.26853001,-22.4608623,-27.6511459,-27.6511459,-3.552713679e-15,27.6511459
50,25,1,500,168686,0.4395622636,0.5604377364,-53.3731928,-35.87457953,-43.56630959,-43.56630959,0,43.56630959
50,25,1,1000,168685,0.4395648694,0.5604351306,-57.82186977,-39.08791267,-47.32270208,-47.32270208,0,47.32270208
50,25,1,5000,168653,0.4395296852,0.5604703148,-70.26906162,-47.87982544,-57.72055937,-57.72055937,0,57.72055937
50,50,0,100,179164,0.1448114577,0.8551885423,-31.06737329,-20.64653209,-22.15558929,-22.15558929,3.552713679e-15,22.15558929
50,50,0,500,179159,0.1448154991,0.8551845009,-47.44640586,-32.8965434,-35.00358899,-35.00358899,7.105427358e-15,35.00358899
50,50,0,1000,179136,0.1448285102,0.8551714898,-51.35353068,-36.34695023,-38.52033092,-38.52033092,-7.105427358e-15,38.52033092
50,50,0,5000,179134,0.1448301272,0.8551698728,-55.96901018,-44.05713493,-45.78233334,-45.78233334,0,45.78233334
50,50,1,100,175919,0.1348290975,0.8651709025,-32.11969307,-22.11102168,-23.46048181,-23.46048181,3.552713679e-15,23.46048181
50,50,1,500,175917,0.1348192614,0.8651807386,-49.50552346,-36.21373193,-38.00572145,-38.00572145,7.105427358e-15,38.00572145
50,50,1,1000,175916,0.1348200277,0.8651799723,-53.94811738,-39.81500535,-41.72043191,-41.72043191,0,41.72043191
50,50,1,5000,175884,0.1348047577,0.8651952423,-66.55345846,-49.58760695,-51.87468445,-51.87468445,-7.105427358e-15,51.87468445
50,75,0,100,188315,0.1052544938,0.8947455062,-31.62393421,-16.13721557,-17.7672623,-17.7672623,0,17.7672623
50,75,0,500,188310,0.1052572885,0.8947427115,-47.1784471,-26.56003359,-28.73027189,-28.73027189,3.552713679e-15,28.73027189
50,75,0,1000,188287,0.1052648351,0.8947351649,-51.00408678,-29.79341355,-32.02615157,-32.02615157,0,32.02615157
