symbol,horizon,features,model,final_holdout,observations,directional_accuracy,auc,ic,gross_sharpe,net_sharpe,annualized_return,max_drawdown,turnover_roundtrips_per_year,trade_count,gross_edge_bp,all_in_cost_bp,net_edge_bp,long_net_edge_bp,short_net_edge_bp,top_5pct_net_pnl_share
ETHUSDT,15m,plus_oi,momentum,False,34525,0.48263577118030415,0.4739088157671932,-0.00029422463970213024,-0.8090950615760415,-47.23403716589892,-39.22554779275872,-0.9999977386580724,11580.44754789895,11509,-0.1916222958043916,10.995221131288556,-11.186843427092949,-10.61333499270246,-11.811098313379983,-0.43861735960239817
ETHUSDT,15m,plus_oi,momentum,True,8626,0.4923487131926733,0.4861306654593767,0.015145887179623781,3.1248339199859396,-48.5230155837132,-36.224212756364096,-0.9499744917514841,11672.216983679926,2876,0.6652909300340037,10.996175243393603,-10.330884313359599,-9.24392652614145,-11.547625661016934,-0.42426479048475213
ETHUSDT,15m,plus_oi,ridge,False,34525,0.5041853729181752,0.5046917571597217,-2.744066752162981e-05,1.5297124899704502,-44.912554587180495,-37.29997057576149,-0.9999957802985363,11580.44754789895,11509,0.36231731241116694,11.0,-10.637682687588836,-10.158373808545884,-11.267860109612922,-0.437408585508362
ETHUSDT,15m,plus_oi,ridge,True,8626,0.4859726408532344,0.4953424918431265,0.003195151623007268,-1.5695246922069486,-53.22933045388039,-39.74224325987559,-0.9625068351231613,11672.216983679926,2876,-0.3342012491089392,11.0,-11.334201249108942,-9.488695182117342,-12.061489873667433,-0.35505674260259024
ETHUSDT,15m,full,unconditional,False,34525,0.5009123823316437,0.5005252819236732,-0.0018340597265245533,0.7029405211057395,-45.738104071429184,-37.986591058725345,-0.9999965983829521,11580.44754789895,11509,0.1664981009795386,11.0,-10.833501899020462,-10.239814289947478,-11.427292686336244,-0.42224214269355126
ETHUSDT,15m,full,unconditional,True,8626,0.48527706932529563,0.5,6.2775696993024035e-18,-5.5845771075761235,-57.265544017152834,-42.73826654256927,-0.9707566382328401,11672.216983679926,2876,-1.1886454889827933,11.0,-12.188645488982795,,-12.188645488982795,-0.3045110117719039
ETHUSDT,15m,full,momentum,False,34525,0.48263577118030415,0.4739088157671932,-0.00029422463970213024,-0.8090950615760415,-47.23403716589892,-39.22554779275872,-0.9999977386580724,11580.44754789895,11509,-0.1916222958043916,10.995221131288556,-11.186843427092949,-10.61333499270246,-11.811098313379983,-0.43861735960239817
ETHUSDT,15m,full,momentum,True,8626,0.4923487131926733,0.4861306654593767,0.015145887179623781,3.1248339199859396,-48.5230155837132,-36.224212756364096,-0.9499744917514841,11672.216983679926,2876,0.6652909300340037,10.996175243393603,-10.330884313359599,-9.24392652614145,-11.547625661016934,-0.42426479048475213
ETHUSDT,15m,full,logistic,False,34525,0.5196813902968863,0.5250075828680739,-0.009882601297536335,3.253538292115,-43.1941891504712,-35.86864729321127,-0.9999931801186311,11580.44754789895,11509,0.770520393220605,11.0,-10.229479606779394,-9.907498602553094,-10.764699476400077,-0.4351186172301576
ETHUSDT,15m,full,logistic,True,8626,0.5068397866913981,0.510551116541405,-0.014882449318189609,-1.3095420039604206,-52.96879622145937,-39.5481446398451,-0.9621765764896183,11672.216983679926,2876,-0.27884572206396896,11.0,-11.278845722063968,-9.922329435890223,-12.269706595358153,-0.3200955738265542
