queue_cell,threshold,latency_ms,block,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
midpoint,0.2,25,992868,3600,3008,2093,0.5813888889,1399,1609,523,65905.5,5114.5,60791,16.88638889,12.88601036,0.7792691073,0.8354271213,0.3043262059,717,0.8489134782,515,0.8524289592,231,0.8209500292
midpoint,0.2,25,992869,3600,2849,1738,0.4827777778,1027,1822,325,42013,3810.5,38202.5,10.61180556,11.02558719,0.6450224993,0.7977202134,0.3857655502,538,0.9173112682,350,0.85999536,109,0.6935248296
midpoint,0.2,25,992870,3600,2916,1820,0.5055555556,1140,1776,356,61380.5,4213,57167.5,15.87986111,14.56930928,0.7482298036,0.8273343312,0.3440736479,632,0.8446131001,438,0.7991140476,195,0.7580387138
midpoint,0.2,25,992871,3600,2803,1744,0.4844444444,903,1900,339,41839,2614.5,39224.5,10.89569444,16.00267738,0.8804703547,0.8206424624,0.4483811851,474,0.8794633549,322,0.8699037248,156,0.8616355919
midpoint,0.2,25,992872,3600,2942,1874,0.5205555556,1166,1776,459,46627.5,4816.5,41811,11.61416667,9.680784802,0.8340659996,0.7874045876,0.3515016685,543,0.8616816078,349,0.8183842706,112,0.6712434252
midpoint,0.2,25,992873,3600,3004,1744,0.4844444444,1089,1915,421,69223.5,22270,46953.5,13.04263889,3.108374495,0.9090549923,0.8091822614,0.3502386635,526,0.8652163747,398,0.8367992564,224,0.7972937587
midpoint,0.2,25,992874,3600,3302,2055,0.5708333333,1382,1920,409,117460,33637,83823,23.28416667,3.491987989,1.118452365,0.9919836434,0.2920081967,841,0.9883884075,696,0.9747634551,440,0.9479603142
midpoint,0.2,25,992875,3600,3117,2008,0.5577777778,1265,1852,426,93406.5,18647.5,74759,20.76638889,5.009062877,0.7847292617,0.8003864441,0.3401147626,689,0.9049668372,559,0.8773208127,344,0.8400662809
midpoint,0.2,25,992876,3600,3149,1939,0.5386111111,1209,1940,374,67413.5,7517,59896.5,16.63791667,8.968138885,0.8573971786,0.8765498159,0.3482479784,687,0.8978334842,511,0.9166438807,253,0.9203517843
midpoint,0.2,25,992877,3600,2964,1873,0.5202777778,1211,1753,371,59052,5642.5,53409.5,14.83597222,10.46557377,0.8514147974,0.821620885,0.3230855226,681,0.9311682021,499,0.9128060047,187,0.769234399
midpoint,0.2,25,992878,3600,2926,1856,0.5155555556,1178,1748,436,53912,4437.5,49474.5,13.74291667,12.1491831,0.7539695502,0.7651227283,0.3534577387,620,0.8419901586,438,0.8317549571,176,0.7178346311
midpoint,0.2,25,992879,3600,2961,1691,0.4697222222,965,1996,288,47403.5,1145,46258.5,12.84958333,41.40043668,2.257351586,0.8757387195,0.4083384427,522,0.8854071611,352,0.8444680308,167,0.8159582192
midpoint,0.2,25,992880,3600,3077,2122,0.5894444444,1327,1750,455,59593,8639.5,50953.5,14.15375,6.897737138,0.7282447477,0.7957028911,0.3561377972,686,0.9043048283,431,0.8440771452,176,0.7515699573
midpoint,0.2,25,992881,3600,3027,2089,0.5802777778,1438,1589,434,63415,6916,56499,15.69416667,9.169317525,0.6559459785,0.7192125657,0.2781124498,770,0.866304305,524,0.8550570883,208,0.7446283103
midpoint,0.2,25,992882,3600,3020,2102,0.5838888889,1483,1537,440,60648.5,6561,54087.5,15.02430556,9.243789057,0.7746150932,0.8680106126,0.2654779594,816,0.9175663967,498,0.9006514326,177,0.8685422743
midpoint,0.2,25,992883,3592,2954,2070,0.5762806236,1392,1562,513,58609,5258.5,53350.5,14.85258909,11.14557383,0.9860255605,0.9116504867,0.2959028832,645,0.901100429,409,0.8627730742,176,0.8935269208
midpoint,0.2,25,992884,3600,3013,2032,0.5644444444,1448,1565,505,56949.5,4923.5,52026,14.45166667,11.56687316,0.8283956189,0.7826386953,0.2616012239,656,0.8384554821,430,0.7946220916,185,0.7346339779
midpoint,0.2,25,992885,3600,2973,1944,0.54,1106,1867,419,45314.5,1909.5,43405,12.05694444,23.73108143,3.220098593,0.9722833935,0.4157422081,518,0.9196946641,352,0.9231208927,124,0.7879907147
midpoint,0.2,25,992886,3600,2903,1957,0.5436111111,1429,1474,551,53159,4977.5,48181.5,13.38375,10.67985937,0.9806038128,0.8508478646,0.2455121436,645,0.8764624793,414,0.8652644947,174,0.8297637469
midpoint,0.2,25,992887,3600,2830,1798,0.4994444444,1223,1607,462,45640.5,4530,41110.5,11.41958333,10.07516556,0.6362557147,0.7300540082,0.2922453704,549,0.8101888548,315,0.7325671695,127,0.6545116157
midpoint,0.2,25,992888,3600,2791,1777,0.4936111111,1053,1738,489,31291,3676.5,27614.5,7.670694444,8.511083911,0.6142386041,0.6941164895,0.3794932233,427,0.8130553372,274,0.8252762669,63,0.5900456042
midpoint,0.2,25,992889,3600,2584,1666,0.4627777778,944,1640,405,32502.5,514.5,31988,8.885555556,63.17298348,1.849777687,0.7140324631,0.4180024661,398,0.7928971455,244,0.6986383944,67,0.5973886159
midpoint,0.2,25,992890,3600,2815,1845,0.5125,1039,1776,545,28984,1563.5,27420.5,7.616805556,18.53789575,1.180708698,0.6584506884,0.4176008969,401,0.751344188,235,0.7570677009,82,0.5596109415
midpoint,0.2,25,992891,3600,2762,1887,0.5241666667,1053,1709,578,26755.5,1943,24812.5,6.892361111,13.77020072,0.9290529093,0.6754719936,0.4308108108,364,0.7447468269,199,0.6657824098,58,0.5719283965
midpoint,0.2,25,992892,3596,2892,1879,0.5225250278,1207,1685,460,44882,3577,41305,11.48637375,12.54738608,0.7609071236,0.76011212,0.3404371585,563,0.823541551,366,0.7886191461,147,0.8386081193
midpoint,0.2,25,992893,3600,2815,1812,0.5033333333,1107,1708,457,39357,4080.5,35276.5,9.799027778,9.645141527,0.7204118289,0.8583012018,0.3656160458,457,0.8614598254,282,0.8702673192,109,0.8273941943
midpoint,0.2,25,992894,3600,2793,1726,0.4794444444,988,1805,384,38899,1967,36932,10.25888889,19.77580071,1.161573179,0.8645822219,0.4094441124,493,0.9618171683,310,0.902519211,94,0.7422647185
midpoint,0.2,25,992895,3600,2940,1838,0.5105555556,1087,1853,393,38662.5,2067.5,36595,10.16527778,18.70012092,0.8310907225,0.8027005622,0.3951029494,462,0.8352724715,277,0.77798508,130,0.8351779943
midpoint,0.2,25,992896,3600,3298,2219,0.6163888889,1415,1883,554,93962.5,31480,62482.5,17.35625,2.984831639,1.214758801,0.9841733437,0.3375468165,699,0.9572201484,564,0.930317421,322,0.8696395596
midpoint,0.2,25,992897,3600,3320,2349,0.6525,1607,1713,570,102501,29706,72795,20.22083333,3.450515047,0.9530119035,0.8644167679,0.2851423488,818,0.9347104207,643,0.9257234789,359,0.8525059188
midpoint,0.2,25,992898,3600,3109,2217,0.6158333333,1493,1616,524,88080.5,19886,68194.5,18.94291667,4.42927185,0.8290772585,0.8308108018,0.2927522501,775,0.9328600908,566,0.9080351347,280,0.8329537843
midpoint,0.2,25,992899,3600,3155,2120,0.5888888889,1457,1698,511,74345,11993,62352,17.32,6.199032769,0.8332764182,0.8584124161,0.2878787879,743,0.9548358584,562,0.9529831682,272,0.8804051981
midpoint,0.2,25,992900,3600,3205,2222,0.6172222222,1559,1646,621,92281.5,26636,65645.5,18.23486111,3.464540472,0.9355637181,0.8525173394,0.2687617261,803,0.9295109333,609,0.9212547807,339,0.8733306969
midpoint,0.2,25,992901,3596,3095,2200,0.6117908788,1515,1580,583,74507,9930.5,64576.5,17.95786986,7.502844771,0.8113265709,0.8165888843,0.2850401133,724,0.8757032009,543,0.8566000229,265,0.8367382333
midpoint,0.2,25,992902,3600,3028,1994,0.5538888889,1341,1687,456,69242,5268,63974,17.77055556,13.14388762,1.350970845,0.8968336517,0.2993730408,651,0.8586265655,485,0.8582585868,254,0.817003087
midpoint,0.2,25,992903,3600,3145,2272,0.6311111111,1651,1494,580,87336.5,18476,68860.5,19.12791667,4.727024248,0.8901920665,0.8713889161,0.2388197326,867,0.9149881462,646,0.9021769442,328,0.8454793052
midpoint,0.2,25,992904,3600,3202,2286,0.635,1624,1578,511,99221.5,15268.5,83953,23.32027778,6.49844451,0.9367412833,0.8616852905,0.2591240876,953,0.942330069,724,0.9348347157,358,0.8255667905
midpoint,0.2,25,992905,3600,3181,2228,0.6188888889,1520,1661,527,75847.5,11174.5,64673,17.96472222,6.787552016,1.030190571,0.8642627279,0.287054409,738,0.8984637641,527,0.8780940957,252,0.8151102253
midpoint,0.2,25,992906,3600,3151,2182,0.6061111111,1534,1617,596,65347.5,12479.5,52868,14.68555556,5.236387676,0.9194467146,0.8348345008,0.2733301753,710,0.9178199535,497,0.8970923851,211,0.854865006
midpoint,0.2,25,992907,3600,3368,2447,0.6797222222,1775,1593,566,130360,40105.5,90254.5,25.07069444,3.250426999,1.100407941,1.008374344,0.2388507719,1035,0.9843990257,842,0.9929554705,477,0.9398657365
