queue_cell,threshold,latency_ms,utc_day,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
conservative,0.3,50,2026-08-19,172796,107550,55880,0.3233871154,23313,84237,3514,1473697,204789.5,1268907.5,7.343384685,7.196155076,0.7616039773,0.9727615092,0.5593088978,14915,0.9741407426,9918,0.9922744622,4671,1.045649834
conservative,0.3,50,2026-08-20,147124,118727,68450,0.4652537995,38618,80109,6744,2463340,299946,2163394,14.70456214,8.212611603,0.859161702,0.8928950068,0.4043832997,24772,0.9405703505,17550,0.9135578226,8444,0.8902978297
conservative,0.3,100,2026-08-18,108614,50678,24005,0.2210120242,6594,44084,640,265871.5,7081,258790.5,2.382662456,37.54716848,0.4901889965,0.8639374748,0.7075053229,3947,0.9465941636,1903,0.8603713473,522,0.7650297858
conservative,0.3,100,2026-08-19,172796,107550,55880,0.3233871154,21370,86180,3328,1343683,192451.5,1151231.5,6.66237355,6.981930512,0.7389315532,0.962792546,0.5960378821,13592,0.9684461063,9066,0.9895028889,4237,1.034733503
conservative,0.3,100,2026-08-20,147124,118727,68450,0.4652537995,35699,83028,6381,2262667,280412.5,1982254.5,13.47335921,8.069066108,0.8441447015,0.8850298389,0.4494038898,22723,0.9333179295,16113,0.9073379051,7769,0.8861065338
conservative,0.4,0,2026-08-18,108614,50678,19937,0.183558289,3569,47109,280,157177,3703,153474,1.413022262,42.44585471,0.5541427428,0.9466102226,0.8155841472,2158,0.9562039452,1099,0.9180096316,384,1.039780002
conservative,0.4,0,2026-08-19,172796,107550,46974,0.2718465705,14911,92639,2262,979958.5,164627.5,815331,4.718459918,5.952580826,0.6299904858,0.977241186,0.673047406,9483,0.968357218,6343,0.9921876458,3186,1.11509937
conservative,0.4,0,2026-08-20,147124,118727,55719,0.3787213507,26531,92196,4676,1684342.5,238633,1445709.5,9.826469509,7.058296631,0.738403134,0.868524286,0.5076092201,16903,0.9341791352,11884,0.9004461006,5632,0.8643425535
conservative,0.4,25,2026-08-18,108614,50678,19937,0.183558289,3295,47383,264,143701,3513,140188,1.290699173,40.90549388,0.5340328927,0.936565912,0.8297421588,1973,0.9469287558,1020,0.922870675,339,0.9942625086
conservative,0.4,25,2026-08-19,172796,107550,46974,0.2718465705,13926,93624,2142,915244,152170,763074,4.416039723,6.014615233,0.6365558878,0.9792979437,0.6946454414,8838,0.9663272355,5906,0.989174531,2974,1.114523275
conservative,0.4,25,2026-08-20,147124,118727,55719,0.3787213507,24842,93885,4477,1572668,224924.5,1347743.5,9.160595824,6.991981754,0.7314656085,0.864719475,0.5389554953,15707,0.927100206,11061,0.8950690352,5271,0.8639394926
conservative,0.4,50,2026-08-18,108614,50678,19937,0.183558289,3063,47615,262,133401,3512,129889,1.195877143,37.98433941,0.4958963877,0.9334870603,0.8417299643,1831,0.9453377184,962,0.9363197163,303,0.955987945
conservative,0.4,50,2026-08-19,172796,107550,46974,0.2718465705,13037,94513,2065,857872.5,145937.5,711935,4.120089585,5.87835546,0.6221348555,0.9759717699,0.7141384905,8218,0.9598095904,5513,0.9863162784,2789,1.116465784
conservative,0.4,50,2026-08-20,147124,118727,55719,0.3787213507,23356,95371,4303,1467656,215867,1251789,8.50839428,6.798890057,0.7112653362,0.8542543834,0.5665342786,14681,0.9216736327,10328,0.8889277436,4915,0.8568443234
conservative,0.4,100,2026-08-18,108614,50678,19937,0.183558289,2666,48012,257,116135,3418.5,112716.5,1.037771374,33.97250256,0.4435207131,0.9307012038,0.8622435798,1593,0.9449335513,836,0.9348506313,272,0.9859741823
conservative,0.4,100,2026-08-19,172796,107550,46974,0.2718465705,11756,95794,1934,767270,137368,629902,3.645350587,5.585507542,0.5911413406,0.9576084884,0.7422269,7322,0.9483458779,4932,0.978519229,2486,1.103611242
conservative,0.4,100,2026-08-20,147124,118727,55719,0.3787213507,21067,97660,4011,1313020,198947,1114073,7.572340339,6.599848201,0.6904425884,0.8428795274,0.6090159979,13134,0.9141433577,9273,0.8848430879,4410,0.8523397886
conservative,0.5,0,2026-08-18,108614,50678,18032,0.1660191136,1672,49006,141,75013,3132.5,71880.5,0.6617977425,23.94668795,0.312630843,0.9463629778,0.9062464955,954,0.9023140928,509,0.9075647146,217,1.254238838
conservative,0.5,0,2026-08-19,172796,107550,41346,0.2392763721,8117,99433,1254,563907,113980.5,449926.5,2.603801593,4.947398897,0.5236072093,0.9906508225,0.8007071129,5170,0.9698210602,3570,1.025837437,1949,1.253114808
conservative,0.5,0,2026-08-20,147124,118727,46641,0.3170182975,14601,104126,2695,920404,146268.5,774135.5,5.261789375,6.292564701,0.6582961498,0.8450627027,0.6807268433,9052,0.9090377853,6443,0.8870625172,3096,0.8633665517
conservative,0.5,25,2026-08-18,108614,50678,18032,0.1660191136,1547,49131,135,67899.5,2972.5,64927,0.5977774504,22.84255677,0.2982160955,0.9238850692,0.9132555792,873,0.8924205633,466,0.89803176,186,1.161928528
conservative,0.5,25,2026-08-19,172796,107550,41346,0.2392763721,7438,100112,1170,518610,104283,414327,2.397781199,4.97310204,0.5263274975,0.9955467034,0.8173782808,4710,0.9641871668,3257,1.021333221,1800,1.262963793
conservative,0.5,25,2026-08-20,147124,118727,46641,0.3170182975,13408,105319,2533,837360.5,134507.5,702853,4.777283108,6.225381484,0.651267783,0.835516543,0.7068136097,8226,0.8995901576,5870,0.88008131,2821,0.8566747236
conservative,0.5,50,2026-08-18,108614,50678,18032,0.1660191136,1390,49288,134,58862.5,2972,55890.5,0.5145791519,19.80568641,0.2585688865,0.8851280837,0.9220589884,752,0.8555564685,413,0.8857911659,148,1.028972337
conservative,0.5,50,2026-08-19,172796,107550,41346,0.2392763721,6905,100645,1108,483116.5,99870,383246.5,2.21791303,4.83745369,0.511971175,0.9919484237,0.8304647794,4348,0.958787727,3002,1.014034845,1666,1.259174393
conservative,0.5,50,2026-08-20,147124,118727,46641,0.3170182975,12390,106337,2417,767742,127123,640619,4.354279383,6.039363451,0.6318075214,0.8241059703,0.7290737339,7552,0.8937389106,5393,0.8749995145,2591,0.851477105
conservative,0.5,100,2026-08-18,108614,50678,18032,0.1660191136,1160,49518,133,47057,2882.5,44174.5,0.4067109212,16.32506505,0.2131283816,0.8382944273,0.9349557026,631,0.8602348026,335,0.8609598739,105,0.8747583445
conservative,0.5,100,2026-08-19,172796,107550,41346,0.2392763721,6079,101471,1011,425408.5,93787,331621.5,1.919150328,4.535900498,0.4800563389,0.9749562175,0.8507451693,3791,0.9495509109,2628,1.008321648,1444,1.239680069
conservative,0.5,100,2026-08-20,147124,118727,46641,0.3170182975,10769,107958,2208,662735,114864.5,547870.5,3.723868981,5.769711268,0.60359788,0.8108809379,0.7645193737,6482,0.8825791043,4655,0.8689464364,2244,0.8484462684
conservative,0.6,0,2026-08-18,108614,50678,16860,0.1552286077,695,49983,71,31709,1385.5,30323.5,0.2791859245,22.88632263,0.2987874712,0.9604559432,0.9585544755,445,1.012560182,218,0.9351209402,86,1.195832716
conservative,0.6,0,2026-08-19,172796,107550,37480,0.2169031691,3722,103828,571,276305,64749,211556,1.224310748,4.267324592,0.4516316487,1.015835897,0.8999569939,2447,1.001046414,1744,1.092888826,974,1.36570581
conservative,0.6,0,2026-08-20,147124,118727,39712,0.2699219706,6585,112142,1256,420174.5,72370.5,347804,2.364019467,5.805880849,0.6073817578,0.8418473414,0.8326428953,4031,0.8975879428,2917,0.8904906175,1430,0.8842134697
conservative,0.6,25,2026-08-18,108614,50678,16860,0.1552286077,640,50038,68,29348,1282,28066,0.2584013111,22.89235569,0.2988662346,0.9653470477,0.9618343372,418,1.032861161,206,0.959584755,79,1.192899623
conservative,0.6,25,2026-08-19,172796,107550,37480,0.2169031691,3321,104229,533,249064,58012.5,191051.5,1.1056477,4.29328162,0.4543788069,1.028149227,0.9107354048,2153,0.9871241292,1554,1.091410211,892,1.401749945
conservative,0.6,25,2026-08-20,147124,118727,39712,0.2699219706,5858,112869,1152,369107,65077,304030,2.066488132,5.67185027,0.5933601595,0.8272211387,0.8511195263,3536,0.8850807196,2559,0.8781518421,1260,0.875786096
conservative,0.6,50,2026-08-18,108614,50678,16860,0.1552286077,553,50125,67,23373,1281.5,22091.5,0.20339459,18.23878268,0.2381125113,0.8793929908,0.967022482,335,0.9579995709,165,0.8895183389,48,0.8388279449
conservative,0.6,50,2026-08-19,172796,107550,37480,0.2169031691,3022,104528,494,228187,55401,172786,0.9999421283,4.11882457,0.4359151715,1.021853573,0.918772175,1955,0.9850287704,1397,1.078221084,819,1.414373175
conservative,0.6,50,2026-08-20,147124,118727,39712,0.2699219706,5305,113422,1072,333717.5,59881.5,273836,1.86125989,5.572964939,0.5830152786,0.8227344936,0.865173965,3180,0.8789450467,2308,0.8745791397,1137,0.8726738146
conservative,0.6,100,2026-08-18,108614,50678,16860,0.1552286077,468,50210,66,18519,1192,17327,0.1595282376,15.53607383,0.2028278761,0.8150053285,0.9720913591,268,0.9055961756,131,0.8344907669,33,0.6814356823
conservative,0.6,100,2026-08-19,172796,107550,37480,0.2169031691,2562,104988,444,194269,51616.5,142652.5,0.825554411,3.763699592,0.3983305735,0.9951185888,0.9311364369,1622,0.9639806983,1174,1.068796063,676,1.377025997
conservative,0.6,100,2026-08-20,147124,118727,39712,0.2699219706,4410,114317,945,271519.5,52444,219075.5,1.489053452,5.177322477,0.5416251743,0.7917895647,0.8879202989,2577,0.8568322815,1881,0.8574304533,924,0.8531202488
conservative,0.7,0,2026-08-18,108614,50678,15896,0.1463531405,290,50388,40,13249,669,12580,0.1158230062,19.80418535,0.2585492898,0.954916877,0.9817138533,189,1.030645817,96,0.9868913182,35,1.166344459
conservative,0.7,0,2026-08-19,172796,107550,34874,0.2018218014,1445,106105,217,115812,36210,79602,0.4606703859,3.198342999,0.3384961446,0.9845339794,0.958428033,959,1.010525725,679,1.095993052,436,1.574683262
