threshold,latency_ms,avoidance_efficiency_lift__conservative,avoidance_efficiency_lift__midpoint,avoidance_efficiency_lift__optimistic,avoidance_efficiency_ticks__conservative,avoidance_efficiency_ticks__midpoint,avoidance_efficiency_ticks__optimistic,cancel_rate__conservative,cancel_rate__midpoint,cancel_rate__optimistic,cancel_too_late_rate__conservative,cancel_too_late_rate__midpoint,cancel_too_late_rate__optimistic,catastrophic_100_avoidance_lift__conservative,catastrophic_100_avoidance_lift__midpoint,catastrophic_100_avoidance_lift__optimistic,catastrophic_25_avoidance_lift__conservative,catastrophic_25_avoidance_lift__midpoint,catastrophic_25_avoidance_lift__optimistic,catastrophic_50_avoidance_lift__conservative,catastrophic_50_avoidance_lift__midpoint,catastrophic_50_avoidance_lift__optimistic,fraction_baseline_negative_removed__conservative,fraction_baseline_negative_removed__midpoint,fraction_baseline_negative_removed__optimistic,fraction_baseline_positive_removed__conservative,fraction_baseline_positive_removed__midpoint,fraction_baseline_positive_removed__optimistic,net_markout_lift_over_random__conservative,net_markout_lift_over_random__midpoint,net_markout_lift_over_random__optimistic,net_per_eligible_opportunity__conservative,net_per_eligible_opportunity__midpoint,net_per_eligible_opportunity__optimistic,cancel_rate__min,cancel_rate__max,cancel_rate__spread,net_per_eligible_opportunity__min,net_per_eligible_opportunity__max,net_per_eligible_opportunity__spread,avoidance_efficiency_ticks__min,avoidance_efficiency_ticks__max,avoidance_efficiency_ticks__spread,fraction_baseline_negative_removed__min,fraction_baseline_negative_removed__max,fraction_baseline_negative_removed__spread,fraction_baseline_positive_removed__min,fraction_baseline_positive_removed__max,fraction_baseline_positive_removed__spread,cancel_too_late_rate__min,cancel_too_late_rate__max,cancel_too_late_rate__spread,net_markout_lift_over_random__min,net_markout_lift_over_random__max,net_markout_lift_over_random__spread,avoidance_efficiency_lift__min,avoidance_efficiency_lift__max,avoidance_efficiency_lift__spread,catastrophic_25_avoidance_lift__min,catastrophic_25_avoidance_lift__max,catastrophic_25_avoidance_lift__spread,catastrophic_50_avoidance_lift__min,catastrophic_50_avoidance_lift__max,catastrophic_50_avoidance_lift__spread,catastrophic_100_avoidance_lift__min,catastrophic_100_avoidance_lift__max,catastrophic_100_avoidance_lift__spread,net_positive_in_all_cells,net_positive_in_any_cell,net_positive_only_in_optimistic
0.3,50,0.7665540342,0.6460209811,1.591095558,8.260267136,4.901308428,2.607631571,0.34614523,0.34614523,0.34614523,0.5072354258,0.6010310765,0.8892315583,0.9978620581,0.9756107632,2.203741874,0.959815323,0.927970868,2.333533009,0.9692056191,0.9460424525,2.271277187,0.2433064838,0.1810276107,0.09094787239,0.3174029135,0.2802193985,0.0571605344,0.9444457227,0.8711565035,3.629735954,8.674111039,4.975212002,0.8250547214,0.34614523,0.34614523,0,0.8250547214,8.674111039,7.849056318,2.607631571,8.260267136,5.652635565,0.09094787239,0.2433064838,0.1523586114,0.0571605344,0.3174029135,0.2602423791,0.5072354258,0.8892315583,0.3819961325,0.8711565035,3.629735954,2.75857945,0.6460209811,1.591095558,0.9450745771,0.927970868,2.333533009,1.405562141,0.9460424525,2.271277187,1.325234735,0.9756107632,2.203741874,1.22813111,True,True,False
0.3,100,0.7487164953,0.618843931,1.523615264,8.068052589,4.695118369,2.497038751,0.34614523,0.34614523,0.34614523,0.5461784121,0.6489397486,0.914916016,0.9907277212,0.963633117,2.094683524,0.9537271743,0.9153857642,2.269781419,0.9643500671,0.9346468656,2.185313036,0.2227727779,0.157708236,0.06803299064,0.2975395618,0.2548433104,0.04465234252,0.935863076,0.8527990409,3.437460727,7.916003164,4.285531603,0.6001740819,0.34614523,0.34614523,0,0.6001740819,7.916003164,7.315829082,2.497038751,8.068052589,5.571013838,0.06803299064,0.2227727779,0.1547397873,0.04465234252,0.2975395618,0.2528872193,0.5461784121,0.914916016,0.368737604,0.8527990409,3.437460727,2.584661686,0.618843931,1.523615264,0.9047713332,0.9153857642,2.269781419,1.354395655,0.9346468656,2.185313036,1.25066617,0.963633117,2.094683524,1.131050407,True,True,False
0.4,0,0.6433834565,0.5665770222,1.532674506,6.933000134,4.2985736,2.511885858,0.2861616581,0.2861616581,0.2861616581,0.6212502419,0.6982839468,0.9075576082,1.029255598,1.026473612,2.722514898,0.9563394773,0.9650028359,2.698693471,0.9733396046,0.9764359847,2.682307671,0.1623224529,0.121092585,0.07588545493,0.2522950368,0.2137266077,0.0495117878,0.9421484223,0.8902431512,4.283933216,5.634359234,3.208395367,0.6720901959,0.2861616581,0.2861616581,0,0.6720901959,5.634359234,4.962269038,2.511885858,6.933000134,4.421114276,0.07588545493,0.1623224529,0.08643699793,0.0495117878,0.2522950368,0.202783249,0.6212502419,0.9075576082,0.2863073663,0.8902431512,4.283933216,3.393690065,0.5665770222,1.532674506,0.9660974842,0.9563394773,2.698693471,1.742353993,0.9733396046,2.682307671,1.708968066,1.026473612,2.722514898,1.696041285,True,True,False
0.4,25,0.6416428544,0.5480703138,1.495304857,6.914243676,4.158164714,2.45064109,0.2861616581,0.2861616581,0.2861616581,0.6460564957,0.7264104378,0.9224655656,1.027422649,1.012008205,2.584227618,0.950728329,0.9461801855,2.616711177,0.969392314,0.9583564909,2.586169861,0.1513993294,0.1083385379,0.06207626321,0.2359557632,0.1976726985,0.04151411863,0.9399061281,0.8693691629,4.109106773,5.252804912,2.841087288,0.5406992211,0.2861616581,0.2861616581,0,0.5406992211,5.252804912,4.712105691,2.45064109,6.914243676,4.463602586,0.06207626321,0.1513993294,0.0893230662,0.04151411863,0.2359557632,0.1944416446,0.6460564957,0.9224655656,0.27640907,0.8693691629,4.109106773,3.23973761,0.5480703138,1.495304857,0.9472345429,0.9461801855,2.616711177,1.670530992,0.9583564909,2.586169861,1.627813371,1.012008205,2.584227618,1.572219413,True,True,False
0.4,50,0.6246337844,0.5255907786,1.449880969,6.730956581,3.987614317,2.376196307,0.2861616581,0.2861616581,0.2861616581,0.6679933693,0.7506211027,0.9342401593,1.021683651,0.9938633257,2.496802262,0.9452070975,0.9257593445,2.556458452,0.965416804,0.9409528732,2.509044302,0.1414646748,0.09714315509,0.05201366535,0.2264761823,0.1848265971,0.0358744383,0.9319476563,0.8436291689,3.971833162,4.885523669,2.512997802,0.4432670453,0.2861616581,0.2861616581,0,0.4432670453,4.885523669,4.442256624,2.376196307,6.730956581,4.354760275,0.05201366535,0.1414646748,0.08945100949,0.0358744383,0.2264761823,0.190601744,0.6679933693,0.9342401593,0.26624679,0.8436291689,3.971833162,3.128203993,0.5255907786,1.449880969,0.9242901902,0.9257593445,2.556458452,1.630699108,0.9409528732,2.509044302,1.568091429,0.9938633257,2.496802262,1.502938936,True,True,False
0.4,100,0.5999660639,0.4931975091,1.331217344,6.465141059,3.741849226,2.181719606,0.2861616581,0.2861616581,0.2861616581,0.7013741049,0.7890060712,0.9510819897,1.016866418,0.976185463,2.375092814,0.9369384201,0.9060885021,2.46516643,0.9607801693,0.9247236885,2.417386619,0.1263625283,0.08100259098,0.03813001751,0.2106161263,0.1642396595,0.0286429693,0.9188701769,0.8131561188,3.66058037,4.332658552,2.04939048,0.3039012074,0.2861616581,0.2861616581,0,0.3039012074,4.332658552,4.028757345,2.181719606,6.465141059,4.283421453,0.03813001751,0.1263625283,0.08823251075,0.0286429693,0.2106161263,0.181973157,0.7013741049,0.9510819897,0.2497078848,0.8131561188,3.66058037,2.847424252,0.4931975091,1.331217344,0.8380198347,0.9060885021,2.46516643,1.559077928,0.9247236885,2.417386619,1.492662931,0.976185463,2.375092814,1.398907351,True,True,False
0.5,0,0.5494140706,0.4849263006,1.369192316,5.920400636,3.679096243,2.243956431,0.2473992729,0.2473992729,0.2473992729,0.7661441105,0.8231774285,0.9495640522,1.086172277,1.106368031,3.110571609,0.938342593,0.9748437937,2.90159637,0.977974607,1.009894271,2.961422328,0.08970947017,0.06467170932,0.04043014862,0.1632820763,0.1333639962,0.02952846591,0.9332158393,0.8860309336,4.45558774,3.024129941,1.626035507,0.3297964689,0.2473992729,0.2473992729,0,0.3297964689,3.024129941,2.694333472,2.243956431,5.920400636,3.676444205,0.04043014862,0.08970947017,0.04927932155,0.02952846591,0.1632820763,0.1337536104,0.7661441105,0.9495640522,0.1834199418,0.8860309336,4.45558774,3.569556806,0.4849263006,1.369192316,0.8842660153,0.938342593,2.90159637,1.963253777,0.977974607,2.961422328,1.983447721,1.086172277,3.110571609,2.024399332,True,True,False
0.5,25,0.5465491015,0.4675151964,1.329546604,5.889528174,3.546999617,2.178981446,0.2473992729,0.2473992729,0.2473992729,0.7852917206,0.8435523575,0.9587265041,1.080740713,1.078685445,2.904429182,0.9299634118,0.9479662761,2.800867073,0.9711431378,0.9809916647,2.846179868,0.081916666,0.05598184765,0.03234178768,0.1498797926,0.1197433754,0.02432542611,0.9271557115,0.854812813,4.251041102,2.758490575,1.387980884,0.2574941545,0.2473992729,0.2473992729,0,0.2574941545,2.758490575,2.50099642,2.178981446,5.889528174,3.710546728,0.03234178768,0.081916666,0.04957487832,0.02432542611,0.1498797926,0.1255543665,0.7852917206,0.9587265041,0.1734347835,0.854812813,4.251041102,3.396228289,0.4675151964,1.329546604,0.8620314079,0.9299634118,2.800867073,1.870903662,0.9711431378,2.846179868,1.87503673,1.078685445,2.904429182,1.825743737,True,True,False
0.5,50,0.5285252366,0.4424624899,1.250388472,5.695305807,3.356926779,2.049249926,0.2473992729,0.2473992729,0.2473992729,0.8016683446,0.8608502178,0.9654261342,1.072136442,1.048889082,2.821496944,0.9224005869,0.9201027852,2.730009399,0.9653012356,0.9518685387,2.754121224,0.0753495598,0.04874856409,0.02683005252,0.1425656801,0.1101755859,0.02145737355,0.9168077373,0.818292554,3.983884139,2.519650716,1.181774375,0.202141487,0.2473992729,0.2473992729,0,0.202141487,2.519650716,2.317509229,2.049249926,5.695305807,3.646055882,0.02683005252,0.0753495598,0.04851950728,0.02145737355,0.1425656801,0.1211083065,0.8016683446,0.9654261342,0.1637577896,0.818292554,3.983884139,3.165591585,0.4424624899,1.250388472,0.8079259816,0.9201027852,2.730009399,1.809906614,0.9518685387,2.754121224,1.802252686,1.048889082,2.821496944,1.772607861,True,True,False
0.5,100,0.498013451,0.4058832615,1.092540574,5.366515548,3.07940316,1.790554488,0.2473992729,0.2473992729,0.2473992729,0.8273359221,0.886612384,0.9747395637,1.060417854,1.017584816,2.731109164,0.9131376998,0.8907935128,2.60491177,0.9589954965,0.9257536761,2.646178057,0.06530922079,0.03912438246,0.01980826162,0.1311394715,0.09639319028,0.01813045858,0.9008611947,0.7751381289,3.471353822,2.155410072,0.9121959985,0.1286887388,0.2473992729,0.2473992729,0,0.1286887388,2.155410072,2.026721334,1.790554488,5.366515548,3.57596106,0.01980826162,0.06530922079,0.04550095917,0.01813045858,0.1311394715,0.113009013,0.8273359221,0.9747395637,0.1474036415,0.7751381289,3.471353822,2.696215693,0.4058832615,1.092540574,0.6866573124,0.8907935128,2.60491177,1.714118257,0.9257536761,2.646178057,1.720424381,1.017584816,2.731109164,1.713524347,True,True,False
