queue_cell,threshold,population,fills,fills_above_threshold_at_last_instant,share_above_threshold_at_last_instant,share_single_observation,share_two_or_more,share_five_or_more,mean_consecutive_observations,median_run_duration_ms,median_warning_ms
midpoint,0.4,all_fills,305041,33676,0.1103982743,0.07242960782,0.03796866651,0.005979524064,1.75682979,0,82.7452725
midpoint,0.4,adverse_fills,204744,25228,0.123217286,0.08165807057,0.04155921541,0.006417770484,1.739376883,0,81.0936435
midpoint,0.4,catastrophic_25,156132,19552,0.1252273717,0.08282735122,0.0424000205,0.006558553019,1.742941899,0,79.2450325
midpoint,0.4,catastrophic_50,104147,13867,0.1331483384,0.08757813475,0.04557020365,0.007278174119,1.764044134,0,80.720987
midpoint,0.4,catastrophic_100,46861,7282,0.1553957449,0.1017904014,0.05360534346,0.008834638612,1.782065367,0,84.326655
midpoint,0.5,all_fills,305041,22401,0.07343602991,0.05528437161,0.0181516583,0.001757140843,1.448015714,0,65.977158
midpoint,0.5,adverse_fills,204744,17153,0.0837777908,0.06394326574,0.01983452507,0.001851092095,1.425931324,0,63.902384
midpoint,0.5,catastrophic_25,156132,13401,0.08583121974,0.06548945764,0.0203417621,0.001889426895,1.428400866,0,60.670101
midpoint,0.5,catastrophic_50,104147,9793,0.09403055297,0.07132226564,0.02270828732,0.002150806072,1.440825079,0,58.492154
midpoint,0.5,catastrophic_100,46861,5307,0.1132498239,0.08501739186,0.02823243209,0.00285952071,1.465988317,0,62.046144
midpoint,0.6,all_fills,305041,14793,0.04849512033,0.04133542704,0.007159693287,0.000373720254,1.223889678,0,51.504124
midpoint,0.6,adverse_fills,204744,11601,0.05666100105,0.04891474231,0.007746258743,0.0003907318407,1.203430739,0,49.826941
midpoint,0.6,catastrophic_25,156132,9234,0.05914226424,0.05089923911,0.008243025133,0.000384290216,1.20662768,0,45.774982
midpoint,0.6,catastrophic_50,104147,6812,0.06540754895,0.05585374519,0.009553803758,0.0004896924539,1.219906048,0,42.044623
midpoint,0.6,catastrophic_100,46861,3764,0.08032265637,0.06783892789,0.01248372847,0.0007468897377,1.244686504,0,43.4271775
midpoint,0.7,all_fills,305041,10339,0.03389380444,0.03134004937,0.002553755069,0.0001147386745,1.107747364,0,40.997127
midpoint,0.7,adverse_fills,204744,8258,0.04033329426,0.03777888485,0.002554409409,9.768296018e-05,1.087188181,0,40.4748145
midpoint,0.7,catastrophic_25,156132,6597,0.04225270925,0.03946020034,0.002792508903,9.607255399e-05,1.0912536,0,35.49422
midpoint,0.7,catastrophic_50,104147,4933,0.04736574265,0.04396670091,0.003399041739,0.0001248235667,1.101155483,0,30.890682
midpoint,0.7,catastrophic_100,46861,2773,0.05917500694,0.05409615672,0.005078850217,0.0002560764815,1.125495853,0,30.785454
midpoint,0.8,all_fills,305041,7980,0.02616041778,0.02517694343,0.0009834743526,5.245196547e-05,1.054260652,0,34.3541385
midpoint,0.8,adverse_fills,204744,6501,0.03175184621,0.03082874223,0.0009231039737,4.395733208e-05,1.039378557,0,34.7433
midpoint,0.8,catastrophic_25,156132,5221,0.03343965363,0.03233802167,0.001101631952,5.123869546e-05,1.044819,0,28.990697
midpoint,0.8,catastrophic_50,104147,3909,0.03753348632,0.03610281621,0.001430670111,7.681450258e-05,1.05372218,0,25.301712
midpoint,0.8,catastrophic_100,46861,2203,0.04701137406,0.04464266661,0.002368707454,0.0001707176543,1.075351793,0,23.076565
