queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,baseline_unfilled,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,adverse_fills_avoided,favourable_fills_sacrificed,non_negative_fills_sacrificed,prevented_fills_markout_censored,total_baseline_negative_ticks,total_baseline_positive_ticks,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,net_per_baseline_fill,net_per_cancelled_order,avoidance_efficiency_ticks,fraction_baseline_negative_removed,fraction_baseline_positive_removed,prevented_share_of_baseline_fills,baseline_negative_to_positive_ratio,random_match_adverse_avoided,random_match_favourable_sacrificed,random_match_net_markout,net_markout_lift_over_random,avoidance_efficiency_lift,catastrophic_25_avoidance_efficiency,catastrophic_25_random_match,catastrophic_25_avoidance_lift,catastrophic_50_avoidance_efficiency,catastrophic_50_random_match,catastrophic_50_avoidance_lift,catastrophic_100_avoidance_efficiency,catastrophic_100_random_match,catastrophic_100_avoidance_lift
conservative,0.7,50,cancel,428534,276955,151579,86159,0.2010552255,2899,274056,2369,530,530,0,17381933,1613046,202649,50964.5,151684.5,0.3539614126,0.5476864473,1.760518344,3.976277605,0.01165859977,0.03159519319,0.01046740445,10.77584458,181943.7229,16884.40488,165059.318,0.9189696277,0.3689991605,3.466037736,1922.349295,0.9556015677,2.449056604,1278.813269,1.015003544,1.39245283,575.8223863,1.281645204
conservative,0.7,100,cancel,428534,276955,151579,86159,0.2010552255,2233,274722,1784,449,449,0,17381933,1613046,157130,43918,113212,0.2641844054,0.4087739886,1.313989252,3.577804089,0.009039846144,0.02722674989,0.008062681663,10.77584458,140144.9925,13005.47641,127139.5161,0.8904548602,0.3320207583,3.017817372,1480.71955,0.9150956371,2.169265033,985.0258815,0.9888065058,1.23830735,443.536181,1.25356177
conservative,0.8,0,cancel,428534,276955,151579,81009,0.1890375093,1045,275910,861,184,184,0,17381933,1613046,76722,24210,52512,0.1225387017,0.1896048094,0.6482242714,3.169021066,0.004413893438,0.01500887141,0.003773176148,10.77584458,65585.095,6086.306692,59498.7883,0.8825725951,0.2940856321,3.711956522,692.9475727,0.9856445522,2.755434783,460.9727031,1.099848205,1.451086957,207.5661931,1.286336643
conservative,0.8,25,cancel,428534,276955,151579,81009,0.1890375093,874,276081,711,163,163,0,17381933,1613046,64150,18294,45856,0.1070066786,0.1655720243,0.5660605612,3.50661419,0.003690613696,0.01134127607,0.003155747324,10.77584458,54852.98854,5090.365597,49762.62295,0.9214948346,0.3254143249,3.478527607,579.5561517,0.9783348832,2.588957055,385.5408063,1.094566368,1.288343558,173.600816,1.209671733
conservative,0.8,50,cancel,428534,276955,151579,81009,0.1890375093,751,276204,611,140,140,0,17381933,1613046,53405,16093.5,37311.5,0.08706777059,0.1347204419,0.4605846264,3.31842048,0.003072443094,0.009977086828,0.002711631854,10.77584458,47133.4032,4373.986915,42759.41628,0.8725914253,0.3079499203,3.385714286,497.9939015,0.9518188848,2.435714286,331.2827752,1.029332116,1.185714286,149.1695799,1.112827428
conservative,0.8,100,cancel,428534,276955,151579,81009,0.1890375093,538,276417,424,114,114,0,17381933,1613046,38806,14165.5,24640.5,0.05749952162,0.08896932715,0.304169907,2.739472662,0.002232548014,0.008781832632,0.001942553844,10.77584458,33765.34077,3133.428709,30631.91207,0.8044062006,0.2542234756,2.771929825,356.7519561,0.885769495,2.105263158,237.3237457,1.011276808,1.061403509,106.8618295,1.132303279
conservative,0.9,0,cancel,428534,276955,151579,71656,0.1672119365,115,276840,98,17,17,0,17381933,1613046,13593.5,7947,5646.5,0.0131763174,0.02038778863,0.07880010048,1.710519693,0.0007820476583,0.004926703888,0.000415229911,10.77584458,7217.498493,669.784947,6547.713546,0.8623620995,0.1587364851,4.705882353,76.25738838,1.049078675,4.117647059,50.72905346,1.379879876,2.882352941,22.84221263,2.145151207
conservative,0.9,25,cancel,428534,276955,151579,71656,0.1672119365,87,276868,76,11,11,0,17381933,1613046,11161,7566,3595,0.008389065978,0.01298044809,0.0501702579,1.475151996,0.0006421034991,0.004690504797,0.0003141304544,10.77584458,5460.194512,506.706873,4953.487639,0.7257512811,0.1368943274,5.363636364,57.69037208,1.022700979,4.636363636,38.37763175,1.328899093,3.363636364,17.28063043,2.141125589
conservative,0.9,50,cancel,428534,276955,151579,71656,0.1672119365,67,276888,57,10,10,0,17381933,1613046,9275.5,7384.5,1891,0.004412718711,0.006827824015,0.02638997432,1.256076918,0.0005336287972,0.004577984757,0.0002419165568,10.77584458,4204.977383,390.2225343,3814.754848,0.4957068213,0.1165641271,4.2,44.42821758,0.9453451497,3.5,29.55518767,1.184225267,2.8,13.30807171,2.103986258
conservative,0.9,100,cancel,428534,276955,151579,71656,0.1672119365,47,276908,37,10,10,0,17381933,1613046,7539.5,7384.5,155,0.000361698255,0.0005596577061,0.002163112649,1.020989911,0.00043375498,0.004577984757,0.0001697026593,10.77584458,2949.760253,273.7381957,2676.022058,0.05792179461,0.09474801752,3,31.16606308,0.9625854868,2.3,20.73274359,1.109356314,2,9.335512989,2.142356828
