queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,surviving_fills,baseline_fill_rate,surviving_fill_rate,fill_rate_reduction,cancel_too_late,cancel_too_late_rate,cancel_without_baseline_fill,unnecessary_cancel_rate,baseline_unfilled,baseline_negative_to_positive_ratio,baseline_observed,baseline_mean,baseline_median,baseline_p1,baseline_p5,baseline_p10,baseline_p25,baseline_p50,baseline_p75,baseline_p90,baseline_frac_favourable,baseline_cat_25_rate,baseline_cat_50_rate,baseline_cat_100_rate,surviving_observed,surviving_mean,surviving_median,surviving_p1,surviving_p5,surviving_p10,surviving_p25,surviving_p50,surviving_p75,surviving_p90,surviving_frac_favourable,surviving_cat_25_rate,surviving_cat_50_rate,surviving_cat_100_rate,baseline_cat_25_per_opportunity,surviving_cat_25_per_opportunity,baseline_cat_50_per_opportunity,surviving_cat_50_per_opportunity,baseline_cat_100_per_opportunity,surviving_cat_100_per_opportunity,catastrophic_25_avoided,catastrophic_50_avoided,catastrophic_100_avoided
conservative,0.5,100,cancel,428534,276955,106019,0.2473992729,258947,0.6462847755,0.6042624389,0.04202233662,86287,0.8273359221,1724,0.01626123619,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,258932,-57.33250622,-41.5,-322.5,-192.5,-145.5,-86.5,-41.5,-15.5,0.5,0.1241909073,0.6671519936,0.4424057281,0.1978048291,0.4285564273,0.4031115384,0.2850905646,0.2673136787,0.128370211,0.1195191047,10904,7618,3793
conservative,0.6,0,cancel,428534,276955,94052,0.219473834,265953,0.6462847755,0.6206112,0.02567357549,82318,0.8821045864,732,0.007782928593,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,265937,-57.07819333,-41.5,-321.5,-192.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1263870766,0.6645483705,0.4410518281,0.1974941433,0.4285564273,0.4124013497,0.2850905646,0.2737052369,0.128370211,0.1225597035,6923,4879,2490
conservative,0.6,25,cancel,428534,276955,94052,0.219473834,267136,0.6462847755,0.6233717745,0.02291300107,83501,0.8947813973,732,0.007782928593,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,267120,-57.07449648,-41.5,-322.31,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1263701707,0.6646600779,0.4411949686,0.1975890985,0.4285564273,0.414305516,0.2850905646,0.2750120177,0.128370211,0.1231640897,6107,4319,2231
conservative,0.6,50,cancel,428534,276955,94052,0.219473834,268075,0.6462847755,0.6255629658,0.0207218097,84440,0.9048435491,732,0.007782928593,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,268059,-57.07763403,-41.5,-322.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1263751637,0.6647081426,0.4413244845,0.1977437803,0.4285564273,0.4157919792,0.2850905646,0.2760597759,0.128370211,0.1236938026,5470,3870,2004
conservative,0.6,100,cancel,428534,276955,94052,0.219473834,269515,0.6462847755,0.6289232593,0.01736151624,85880,0.9202743249,732,0.007782928593,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,269499,-57.10533991,-41.5,-322.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1263603947,0.6648781628,0.4415044212,0.1980638147,0.4285564273,0.4181325169,0.2850905646,0.2776559153,0.128370211,0.1245595449,4467,3186,1633
conservative,0.7,0,cancel,428534,276955,86159,0.2010552255,273165,0.6462847755,0.6374406698,0.008844105719,82086,0.9558665984,283,0.003284624938,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,273149,-57.01074505,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1276226528,0.6634474225,0.4410083874,0.1979469081,0.4285564273,0.4228835985,0.2850905646,0.2811002161,0.128370211,0.126172019,2431,1710,942
conservative,0.7,25,cancel,428534,276955,86159,0.2010552255,273677,0.6462847755,0.6386354408,0.007649334709,82598,0.9618286832,283,0.003284624938,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,273661,-56.98936275,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1276140919,0.6634704982,0.44101644,0.1979712126,0.4285564273,0.4236910023,0.2850905646,0.2816322626,0.128370211,0.126424041,2085,1482,834
conservative,0.7,50,cancel,428534,276955,86159,0.2010552255,274056,0.6462847755,0.6395198514,0.006764924137,82977,0.9662420234,283,0.003284624938,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,274040,-56.98876989,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1276419501,0.6634578894,0.4410779448,0.1980477303,0.4285564273,0.4242697196,0.2850905646,0.2820616334,0.128370211,0.1266480606,1837,1298,738
conservative,0.7,100,cancel,428534,276955,86159,0.2010552255,274722,0.6462847755,0.6410739871,0.005210788409,83643,0.9739973916,283,0.003284624938,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,274706,-56.99065546,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1276273543,0.6636039985,0.4411880338,0.1982301078,0.4285564273,0.4253944845,0.2850905646,0.2828176994,0.128370211,0.1270727644,1355,974,556
conservative,0.8,0,cancel,428534,276955,81009,0.1890375093,275910,0.6462847755,0.6438462292,0.0024385463,79890,0.9870884043,74,0.0009134787493,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,275894,-56.96526565,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1280383046,0.6631822367,0.4409809565,0.1984240324,0.4285564273,0.4269626214,0.2850905646,0.2839074613,0.128370211,0.1277471566,683,507,267
