queue_cell,threshold,latency_ms,mechanism_name,eligible_opportunities,baseline_fills,baseline_fill_rate,baseline_unfilled,cancelled_opportunities,cancel_rate,orders_unaffected,fills_prevented,surviving_fills,surviving_fill_rate,fill_rate_reduction,adverse_fills_avoided,favourable_fills_sacrificed,non_negative_fills_sacrificed,prevented_fills_markout_censored,cancel_too_late,cancel_too_late_rate,cancel_without_baseline_fill,unnecessary_cancel_rate,total_baseline_negative_ticks,total_baseline_positive_ticks,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,net_per_baseline_fill,net_per_cancelled_order,avoidance_efficiency_ticks,fraction_baseline_negative_removed,fraction_baseline_positive_removed,prevented_share_of_baseline_fills,baseline_negative_to_positive_ratio,random_match_adverse_avoided,random_match_favourable_sacrificed,random_match_net_markout,net_markout_lift_over_random,avoidance_efficiency_lift,catastrophic_25_avoided,catastrophic_25_avoidance_efficiency,catastrophic_25_random_match,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_efficiency,catastrophic_50_random_match,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_efficiency,catastrophic_100_random_match,catastrophic_100_avoidance_lift,baseline_observed,baseline_mean,baseline_median,baseline_p1,baseline_p5,baseline_p10,baseline_p25,baseline_p50,baseline_p75,baseline_p90,baseline_frac_favourable,baseline_cat_25_rate,baseline_cat_50_rate,baseline_cat_100_rate,surviving_observed,surviving_mean,surviving_median,surviving_p1,surviving_p5,surviving_p10,surviving_p25,surviving_p50,surviving_p75,surviving_p90,surviving_frac_favourable,surviving_cat_25_rate,surviving_cat_50_rate,surviving_cat_100_rate,baseline_cat_25_per_opportunity,surviving_cat_25_per_opportunity,baseline_cat_50_per_opportunity,surviving_cat_50_per_opportunity,baseline_cat_100_per_opportunity,surviving_cat_100_per_opportunity
conservative,0.7,0,unfilled,151579,0,0,151579,283,0.001867013241,151296,0,0,0,0,0,0,0,0,0,,283,1,-0,0,0,0,0,0,,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0
conservative,0.7,50,at_quote,58358,58358,1,0,20445,0.3503375715,37913,564,57794,0.9903355153,0.009664484732,355,209,209,0,19881,0.9724137931,0,0,2915326,396252.5,34222,15547.5,18674.5,0.3199989719,0.3199989719,0.9134018097,2.201125583,0.0117386529,0.03923634551,0.009664484732,7.357243172,28175.12362,3829.576236,24345.54738,0.7670601818,0.2991780388,270,1.291866029,274.5390178,0.9834667661,212,1.014354067,191.482436,1.107151154,126,0.6028708134,93.27194215,1.350888564,58357,-43.16660384,-22.5,-319.5,-192.5,-138.5,-72.5,-22.5,0.5,0.5,0.3516459037,0.4867796494,0.339513683,0.1653786178,57793,-43.26473794,-22.5,-319.5,-192.5,-137.5,-72.5,-22.5,0.5,0.5,0.3514612496,0.48685827,0.3391587216,0.1648123475,0.4867713081,0.4821446931,0.3395078652,0.3358751157,0.165375784,0.1632166969
conservative,0.7,50,trade_through,218597,218597,1,0,65431,0.2993224976,153166,2335,216262,0.9893182432,0.01068175684,2014,321,321,0,63096,0.9643135517,0,0,14466607,1216793.5,168427,35417,133010,0.6084712965,0.6084712965,2.032828476,4.755541124,0.01164246737,0.02910682873,0.01068175684,11.88912252,154528.7783,12997.49229,141531.286,0.9397922097,0.3999909259,1567,4.881619938,1658.278659,0.9449557778,1086,3.38317757,1093.363267,0.9932654893,612,1.906542056,484.5244903,1.263094048,218582,-60.61712996,-45.5,-324.5,-194.5,-147.5,-89.5,-45.5,-20.5,-2.5,0.0685692326,0.7102323156,0.4682819262,0.2075193749,216247,-60.65658021,-45.5,-324.5,-193.5,-147.5,-89.5,-45.5,-20.5,-2.5,0.06782521838,0.7106549455,0.4683163235,0.2069300383,0.7101835798,0.7030151374,0.468249793,0.4632817468,0.207505135,0.2047054626
conservative,0.7,50,unfilled,151579,0,0,151579,283,0.001867013241,151296,0,0,0,0,0,0,0,0,0,,283,1,-0,0,0,0,0,0,,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0
conservative,0.7,100,at_quote,58358,58358,1,0,20445,0.3503375715,37913,512,57846,0.9912265671,0.008773432948,312,200,200,0,19933,0.9749572022,0,0,2915326,396252.5,30360.5,15229,15131.5,0.2592875013,0.2592875013,0.7401076058,1.993597741,0.0104141012,0.03843256509,0.008773432948,7.357243172,25577.41718,3476.494739,22100.92244,0.6846546807,0.2709707556,235,1.175,249.2269098,0.9429158361,180,0.9,173.828027,1.035506202,111,0.555,84.67240138,1.310934829,58357,-43.16660384,-22.5,-319.5,-192.5,-138.5,-72.5,-22.5,0.5,0.5,0.3516459037,0.4867796494,0.339513683,0.1653786178,57845,-43.28709482,-22.5,-319.5,-192.5,-137.5,-72.5,-22.5,0.5,0.5,0.3513008903,0.4870256721,0.339407036,0.1649235025,0.4867713081,0.4827444395,0.3395078652,0.3364234552,0.165375784,0.1634737311
conservative,0.7,100,trade_through,218597,218597,1,0,65431,0.2993224976,153166,1721,216876,0.9921270649,0.007872935127,1472,249,249,0,63710,0.9736974828,0,0,14466607,1216793.5,126769.5,28689,98080.5,0.4486818209,0.4486818209,1.498991304,4.418749346,0.008762904806,0.02357754212,0.007872935127,11.88912252,113894.6584,9579.736289,104314.9221,0.9402346088,0.3716632022,1120,4.497991968,1222.225941,0.9163608483,794,3.18875502,805.8578937,0.9852853787,445,1.787148594,357.1163374,1.246092529,218582,-60.61712996,-45.5,-324.5,-194.5,-147.5,-89.5,-45.5,-20.5,-2.5,0.0685692326,0.7102323156,0.4682819262,0.2075193749,216861,-60.64591144,-45.5,-324.5,-193.5,-147.5,-89.5,-45.5,-20.5,-2.5,0.06796519429,0.7107040916,0.4683368609,0.2071142345,0.7101835798,0.7050599962,0.468249793,0.4646175382,0.207505135,0.2054694255
conservative,0.7,100,unfilled,151579,0,0,151579,283,0.001867013241,151296,0,0,0,0,0,0,0,0,0,,283,1,-0,0,0,0,0,0,,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0
midpoint,0.3,0,at_quote,260091,260091,1,0,132048,0.5076992283,128043,63538,196553,0.7557085789,0.2442914211,39934,23598,23598,6,68510,0.5188264873,0,0,11836540,1401129.5,2895264.5,535469,2359795.5,9.072961002,9.072961002,17.87074019,5.406969404,0.2446039552,0.3821695282,0.2442914211,8.447855819,2891565.177,342283.9167,2549281.261,0.9256709083,0.6400404458,30399,1.28820239,30814.91985,0.9865026469,20479,0.867827782,20586.19376,0.9947929295,9398,0.3982540893,9231.772803,1.018005989,260073,-40.12492839,-22.5,-286.5,-170.5,-123.5,-67.5,-22.5,0.5,0.5,0.3665701553,0.4850176681,0.3240205635,0.1453053566,196541,-41.08870414,-22.5,-286.5,-169.5,-123.5,-67.5,-22.5,0.5,0.5,0.3649976341,0.4871299118,0.3245633227,0.1444584082,0.4849841017,0.3681057784,0.3239981391,0.2452603127,0.1452953005,0.1091617934
midpoint,0.3,0,trade_through,44971,44971,1,0,13625,0.3029730271,31346,3926,41045,0.9126992951,0.0873007049,3381,545,545,0,9699,0.711853211,0,0,2959783,549112,268270.5,79432.5,188838,4.199106091,4.199106091,13.85966972,3.37733925,0.09063857046,0.1446562814,0.0873007049,5.39012624,258391.1422,47937.86467,210453.2776,0.8972917988,0.6265788777,2489,4.566972477,2618.322741,0.9506085559,1708,3.133944954,1735.363412,0.9842318838,827,1.517431193,791.9046941,1.044317588,44968,-53.60858833,-41.5,-377.5,-200.5,-147.5,-86.5,-41.5,-16.5,4.5,0.1103228963,0.6669631738,0.4420476783,0.201721224,41042,-54.13559281,-41.5,-374.5,-199.5,-146.5,-86.5,-41.5,-16.5,1.5,0.1075970957,0.6701184153,0.4427172165,0.2008674041,0.6669186809,0.6115719019,0.4420181895,0.4040381579,0.2017077672,0.1833181384
midpoint,0.3,0,unfilled,123472,0,0,123472,2662,0.02155954386,120810,0,0,0,0,0,0,0,0,0,,2662,1,-0,0,0,0,0,0,,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0
