queue_cell,threshold,latency_ms,file_index,segment_id,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
conservative,0.2,100,2,4,34076,25052,17786,0.5219509332,10887,14165,1397,578825.5,25361.5,553464,16.24204719,22.82299943,0.9938366681,0.8828794604,0.3212170335,6976,0.9300362163,4444,0.8973374429,1644,0.8261622557
conservative,0.2,100,2,5,32396,26415,18724,0.5779725892,12027,14388,2464,807606,106116.5,701489.5,21.65358378,7.610560092,1.082152633,0.9251093067,0.303710994,7460,0.9510366824,5474,0.9384584864,2692,0.888290559
conservative,0.2,100,2,6,68414,57344,41391,0.605007747,27607,29737,4940,1972868.5,228694.5,1744174,25.49440173,8.626654773,0.9873077667,0.9625046731,0.2766029924,18499,0.9720535853,14103,0.9694578458,7449,0.9690438226
conservative,0.3,0,2,1,148138,70389,32714,0.2208346272,10585,59804,848,418976,8564,410412,2.770470777,48.92293321,0.6089529935,0.8682542295,0.655761163,6286,0.9396052346,2823,0.8092691567,761,0.7194427257
conservative,0.3,0,2,2,145274,97566,52990,0.3647590071,27041,70525,4101,1747741,244198,1503543,10.3497047,7.157065168,0.8214852044,0.944257372,0.4614312175,17660,0.979924846,12091,0.9808938609,5689,0.9891739153
conservative,0.3,0,2,3,236,189,134,0.5677966102,112,77,9,4242,172.5,4069.5,17.24364407,24.59130435,0.8408966148,0.8131771758,0.1450381679,56,0.7809917355,24,0.54,15,1.0546875
conservative,0.3,0,2,4,34076,25052,13548,0.3975818758,7220,17832,820,356947.5,15876,341071.5,10.00914133,22.48346561,0.9790515317,0.8204053662,0.433991847,4502,0.9050444401,2785,0.847965073,938,0.7107836026
conservative,0.3,0,2,5,32396,26415,15283,0.4717557723,9582,16833,1997,639035,100933.5,538101.5,16.61012162,6.331247802,0.9002460262,0.8907118339,0.3386707157,5895,0.9432860131,4257,0.9160413276,2163,0.8958548612
conservative,0.3,0,2,6,68414,57344,33666,0.4920922618,21969,35375,3886,1529532.5,190492.5,1339040,19.5726021,8.029358111,0.918948055,0.9285718536,0.3123513209,14622,0.9655119648,10888,0.9405339191,5602,0.9157933255
conservative,0.3,25,2,1,148138,70389,32714,0.2208346272,9970,60419,820,388795.5,8363,380432.5,2.56809529,46.48995576,0.5786692635,0.8544765965,0.6757618134,5877,0.9326580555,2635,0.8019705753,697,0.6995842945
