queue_cell,threshold,latency_ms,statistic,blocks,block_mean,block_median,block_worst,block_best,frac_blocks_positive,block_bootstrap_p05,block_bootstrap_p95
optimistic,0.5,100,net_per_eligible_opportunity,120,0.1286887388,0.05180555556,-4.352777778,1.509861111,0.775,0.04647732099,0.1968292415
optimistic,0.6,0,net_per_eligible_opportunity,120,0.1295684823,0.07118055556,-4.825416667,1.42125,0.8,0.04558773256,0.2011917587
optimistic,0.6,25,net_per_eligible_opportunity,120,0.09865961627,0.05222222222,-3.802083333,1.566111111,0.75,0.03083415457,0.1549365669
optimistic,0.6,50,net_per_eligible_opportunity,120,0.07650851508,0.03217139414,-3.760138889,1.548333333,0.6833333333,0.01157465799,0.132408642
optimistic,0.6,100,net_per_eligible_opportunity,120,0.04546430388,0.0172311828,-3.68125,1.488333333,0.6333333333,-0.01712637878,0.09649821701
optimistic,0.7,0,net_per_eligible_opportunity,120,0.02187224351,0.01965277778,-4.493055556,0.8493055556,0.6833333333,-0.05292537094,0.07146355659
optimistic,0.7,25,net_per_eligible_opportunity,120,0.01812924995,0.01180555556,-3.39125,0.9463888889,0.625,-0.0384093713,0.05707576531
optimistic,0.7,50,net_per_eligible_opportunity,120,0.009636341574,0.006388888889,-3.310277778,0.9354166667,0.55,-0.04589898842,0.04777011758
optimistic,0.7,100,net_per_eligible_opportunity,120,0.002979926914,0,-3.06875,0.8754166667,0.4666666667,-0.04774350973,0.03772301827
optimistic,0.8,0,net_per_eligible_opportunity,120,0.005899181862,0,-2.597083333,0.4426388889,0.4083333333,-0.03558496479,0.03553943514
optimistic,0.8,25,net_per_eligible_opportunity,120,0.008270055585,0,-1.43125,0.4945833333,0.35,-0.01445407774,0.02677559717
optimistic,0.8,50,net_per_eligible_opportunity,120,0.003713824341,0,-1.350277778,0.4945833333,0.2916666667,-0.01860348895,0.02175607983
optimistic,0.8,100,net_per_eligible_opportunity,120,0.0009520831486,0,-1.350277778,0.4945833333,0.225,-0.02157874262,0.01832455505
optimistic,0.9,0,net_per_eligible_opportunity,120,-0.002829413769,0,-1.286388889,0.4945833333,0.1166666667,-0.02413395416,0.01404058007
optimistic,0.9,25,net_per_eligible_opportunity,120,-0.004363714431,0,-1.286388889,0.4945833333,0.075,-0.02498669982,0.01185368731
optimistic,0.9,50,net_per_eligible_opportunity,120,-0.00508827771,0,-1.286388889,0.4945833333,0.05,-0.02593475634,0.0112965232
optimistic,0.9,100,net_per_eligible_opportunity,120,-0.005616823869,0,-1.286388889,0.4945833333,0.025,-0.02596827602,0.01055333195
conservative,0.1,0,adverse_markout_avoided,120,92869.27224,98798.25,3613.5,197889.5,1,83851.52026,101310.0879
conservative,0.1,25,adverse_markout_avoided,120,90650.21227,94918.75,3310.5,193124,1,81829.59715,98815.90051
conservative,0.1,50,adverse_markout_avoided,120,88390.69387,93091.75,3310.5,187875,1,79781.29357,96429.67953
conservative,0.1,100,adverse_markout_avoided,120,84689.3123,89768,3310.5,177056.5,1,76452.69937,92500.5838
conservative,0.2,0,adverse_markout_avoided,120,62421.05551,60172.75,2008,163483,1,54844.11247,69389.12738
conservative,0.2,25,adverse_markout_avoided,120,59988.65654,57603,2008,157749.5,1,52721.28452,66761.31091
conservative,0.2,50,adverse_markout_avoided,120,57642.46039,54203.25,2008,152715,1,50552.40141,64136.97403
conservative,0.2,100,adverse_markout_avoided,120,54064.23147,50483.5,1988.5,140836,1,47399.94311,60031.26596
conservative,0.3,0,adverse_markout_avoided,120,39428.67245,31101.25,118,136531,1,33766.09274,44661.39163
conservative,0.3,25,adverse_markout_avoided,120,37372.18951,29068,118,131401.5,1,32016.46993,42332.1183
conservative,0.3,50,adverse_markout_avoided,120,35505.16424,27654.5,118,126388.5,1,30336.80754,40237.63376
conservative,0.3,100,adverse_markout_avoided,120,32507.90489,24374.25,118,114654,1,27745.291,36880.15058
conservative,0.4,0,adverse_markout_avoided,120,23690.58453,14950.5,0,98975,0.9916666667,19799.32735,27292.48092
conservative,0.4,25,adverse_markout_avoided,120,22096.59835,14045.5,0,91369.5,0.9916666667,18441.77812,25487.82337
conservative,0.4,50,adverse_markout_avoided,120,20646.49895,13318,0,86428.5,0.9916666667,17353.24626,23817.04626
conservative,0.4,100,adverse_markout_avoided,120,18442.50595,11817.75,0,76340.5,0.9916666667,15449.46714,21285.81989
conservative,0.5,0,adverse_markout_avoided,120,13095.0921,5680.25,0,67701,0.9666666667,10591.13263,15550.95582
conservative,0.5,25,adverse_markout_avoided,120,11958.20183,5209.5,0,63348,0.9666666667,9665.702851,14226.97458
conservative,0.5,50,adverse_markout_avoided,120,10999.4532,4882.75,0,58655.5,0.9583333333,8896.971343,13098.46048
conservative,0.5,100,adverse_markout_avoided,120,9533.493921,4289,0,50989,0.95,7680.996781,11413.66053
conservative,0.6,0,adverse_markout_avoided,120,6115.278993,2322,0,38957.5,0.9166666667,4857.737147,7376.880589
conservative,0.6,25,adverse_markout_avoided,120,5438.145109,1821.25,0,34335.5,0.8916666667,4330.600091,6565.833618
conservative,0.6,50,adverse_markout_avoided,120,4915.412737,1503.25,0,31519.5,0.8666666667,3923.974351,5949.912155
conservative,0.6,100,adverse_markout_avoided,120,4067.244186,1227.5,0,25931,0.825,3219.392591,4946.977101
conservative,0.7,0,adverse_markout_avoided,120,2186.474366,783.25,0,18006,0.775,1749.711068,2669.310278
conservative,0.7,25,adverse_markout_avoided,120,1915.315102,783.25,0,14436.5,0.7333333333,1528.727416,2347.917478
conservative,0.7,50,adverse_markout_avoided,120,1701.403473,602,0,12889.5,0.7,1346.486845,2090.407095
conservative,0.7,100,adverse_markout_avoided,120,1319.038279,336,0,11399.5,0.6666666667,1025.715433,1646.568788
conservative,0.8,0,adverse_markout_avoided,120,643.5190533,174.25,0,5553,0.6416666667,506.0258021,799.394208
conservative,0.8,25,adverse_markout_avoided,120,537.9065092,172.75,0,5094,0.5916666667,425.9018623,669.9763062
conservative,0.8,50,adverse_markout_avoided,120,447.7641261,66.75,0,4576.5,0.5666666667,347.8021219,563.9982717
conservative,0.8,100,adverse_markout_avoided,120,325.1446886,17,0,3142.5,0.5083333333,246.2756892,413.8610215
conservative,0.9,0,adverse_markout_avoided,120,114.171781,0,0,2494,0.3,73.27157057,166.7987771
conservative,0.9,25,adverse_markout_avoided,120,93.73699636,0,0,1954.5,0.25,55.83771177,140.7227527
conservative,0.9,50,adverse_markout_avoided,120,77.89813177,0,0,1954.5,0.2166666667,41.43164193,123.3824477
conservative,0.9,100,adverse_markout_avoided,120,63.33733146,0,0,1954.5,0.1416666667,28.25093279,105.8100513
midpoint,0.1,0,adverse_markout_avoided,120,71223.42939,70695.75,2883.5,161069,1,63647.06507,78222.21224
midpoint,0.1,25,adverse_markout_avoided,120,68857.40375,67737.25,2833,154580,1,61537.85403,75714.56287
midpoint,0.1,50,adverse_markout_avoided,120,66487.45451,65363.5,2833,148836,1,59339.36193,73068.30881
midpoint,0.1,100,adverse_markout_avoided,120,62697.88308,61017,2833,137958,1,55964.16276,68982.65492
midpoint,0.2,0,adverse_markout_avoided,120,44649.03715,37320.5,1092,137159.5,1,38844.84989,50125.30974
midpoint,0.2,25,adverse_markout_avoided,120,42044.71188,33893.5,1030.5,130360,1,36521.60809,47356.93036
midpoint,0.2,50,adverse_markout_avoided,120,39614.00189,31939.5,935.5,125020,1,34427.48076,44606.66783
midpoint,0.2,100,adverse_markout_avoided,120,36006.72483,27764.75,921,112828.5,1,31283.53335,40540.19993
midpoint,0.3,0,adverse_markout_avoided,120,26559.69672,17554.25,96,109942,1,22449.89593,30547.89272
midpoint,0.3,25,adverse_markout_avoided,120,24405.80009,16265.75,57,102722.5,1,20585.76477,28043.43882
midpoint,0.3,50,adverse_markout_avoided,120,22487.58767,14981.5,57,97762.5,1,18943.06518,25914.498
midpoint,0.3,100,adverse_markout_avoided,120,19590.65735,11847.75,29.5,85529,1,16518.71279,22667.79302
midpoint,0.4,0,adverse_markout_avoided,120,15043.59291,8546.25,0,74367.5,0.9916666667,12346.49566,17686.79901
midpoint,0.4,25,adverse_markout_avoided,120,13459.22256,6858,0,67388,0.9916666667,11005.22044,15813.08288
midpoint,0.4,50,adverse_markout_avoided,120,12067.91071,5691.75,0,62206.5,0.9916666667,9867.176795,14220.19487
midpoint,0.4,100,adverse_markout_avoided,120,10063.43952,3915.75,0,52262.5,0.9833333333,8200.194644,11877.48624
midpoint,0.5,0,adverse_markout_avoided,120,8035.443829,3453,0,48884.5,0.9583333333,6437.079567,9674.665056
midpoint,0.5,25,adverse_markout_avoided,120,6956.192802,2708.75,0,44707,0.9583333333,5539.409936,8390.612632
midpoint,0.5,50,adverse_markout_avoided,120,6057.220305,2059.75,0,39974,0.9333333333,4800.715584,7314.162279
midpoint,0.5,100,adverse_markout_avoided,120,4861.57903,1631.75,0,34643,0.9333333333,3839.872226,5923.019221
midpoint,0.6,0,adverse_markout_avoided,120,3607.075485,1419.5,0,23485,0.8916666667,2854.910795,4387.962478
midpoint,0.6,25,adverse_markout_avoided,120,3032.840932,1093.75,0,20581,0.8666666667,2395.265695,3694.345605
midpoint,0.6,50,adverse_markout_avoided,120,2604.765017,821,0,18228,0.8333333333,2065.838192,3213.793215
midpoint,0.6,100,adverse_markout_avoided,120,1970.254874,612.25,0,15646,0.8,1546.876959,2451.353347
midpoint,0.7,0,adverse_markout_avoided,120,1315.828746,528,0,10076.5,0.775,1045.339868,1631.516519
midpoint,0.7,25,adverse_markout_avoided,120,1096.102288,407.25,0,8516,0.7333333333,866.1726538,1353.762049
midpoint,0.7,50,adverse_markout_avoided,120,907.8645848,299.5,0,8233,0.675,700.327476,1159.495841
midpoint,0.7,100,adverse_markout_avoided,120,654.9697947,127.5,0,7235,0.6333333333,492.6199164,860.3907982
midpoint,0.8,0,adverse_markout_avoided,120,425.6215563,98.75,0,4257.5,0.5916666667,326.4307625,540.044662
midpoint,0.8,25,adverse_markout_avoided,120,345.3498252,65,0,3886,0.55,265.6694022,439.6969253
midpoint,0.8,50,adverse_markout_avoided,120,246.3744674,15,0,3368.5,0.5083333333,178.823033,324.6355182
midpoint,0.8,100,adverse_markout_avoided,120,177.4777217,0,0,2692.5,0.4166666667,116.9698691,246.6770281
midpoint,0.9,0,adverse_markout_avoided,120,90.4397084,0,0,1978,0.2583333333,53.78150514,135.2638607
midpoint,0.9,25,adverse_markout_avoided,120,76.88512463,0,0,1780.5,0.2166666667,44.06349569,121.0520459
midpoint,0.9,50,adverse_markout_avoided,120,59.34931184,0,0,1780.5,0.1583333333,27.91241182,100.6576012
midpoint,0.9,100,adverse_markout_avoided,120,47.81277565,0,0,1780.5,0.09166666667,17.65684129,87.30973004
optimistic,0.1,0,adverse_markout_avoided,120,17700.35323,13796.25,274,73311,1,15190.28648,20109.86313
optimistic,0.1,25,adverse_markout_avoided,120,15639.85597,12305.25,223.5,64694,1,13454.94153,17756.50334
optimistic,0.1,50,adverse_markout_avoided,120,13851.00905,10820,223.5,58939.5,1,11936.33646,15737.3502
optimistic,0.1,100,adverse_markout_avoided,120,11208.20535,7870.5,223.5,50172.5,1,9617.884072,12717.29045
optimistic,0.2,0,adverse_markout_avoided,120,11210.908,7066.75,156,55548,1,9390.003685,13041.58267
optimistic,0.2,25,adverse_markout_avoided,120,9613.348509,5909,156,47636.5,1,8067.338139,11132.57044
optimistic,0.2,50,adverse_markout_avoided,120,8281.012279,5060,156,42973,1,6952.051022,9598.306515
optimistic,0.2,100,adverse_markout_avoided,120,6373.705741,3564.75,128.5,35543,1,5320.993862,7404.618179
optimistic,0.3,0,adverse_markout_avoided,120,6787.272975,3259.5,0,40246,0.9916666667,5608.901171,7988.976369
optimistic,0.3,25,adverse_markout_avoided,120,5664.382245,2859.75,0,33938.5,0.9916666667,4684.297594,6696.374482
