queue_cell,threshold,population,fills,fills_with_a_crossing,crossing_rate,lead_p1_ms,lead_p5_ms,lead_p10_ms,lead_p25_ms,lead_p50_ms,lead_p75_ms,lead_p90_ms,lead_mean_ms,frac_lead_le_0ms,frac_lead_0_25ms,frac_lead_25_50ms,frac_lead_50_100ms,frac_lead_100_250ms,frac_lead_250_500ms,frac_lead_gt_100ms,frac_lead_gt_250ms,frac_lead_gt_500ms
conservative,0.8,catastrophic_100,55011,16379,0.2977404519,-14873.6989,-99.632079,-78.7677272,-55.537489,-30.387808,-13.753797,-4.787313,-387.165324,0.9836986385,0.003480065938,0.002686366689,0.002747420477,0.002075828805,0.001587398498,0.007387508395,0.00531167959,0.003724281092
conservative,0.9,all_fills,276955,71655,0.2587243415,-17447.38034,-3684.911019,-100.6149106,-60.0874045,-33.971118,-15.877726,-6.334675,-667.0552797,0.9983950876,0.0003907612867,0.0002791152048,0.0002791152048,9.769032168e-05,0.000293070965,0.0006559207313,0.0005582304096,0.0002651594446
conservative,0.9,adverse_fills,241429,64874,0.2687083987,-14555.77932,-156.7782644,-78.361374,-55.219543,-31.867376,-15.092302,-6.040875,-398.9581945,0.9984893794,0.0003391189074,0.00029287542,0.0003082899158,0.0001079014705,0.00029287542,0.0005703363443,0.0004624348738,0.0001695594537
conservative,0.9,catastrophic_25,183651,52157,0.2840006316,-14381.80041,-99.5404938,-77.814933,-55.036804,-31.805418,-15.297869,-6.0052842,-385.6143254,0.9984661694,0.0004026305194,0.0003259389919,0.0002300745825,5.751864563e-05,0.0003259389919,0.0005751864563,0.0005176678106,0.0001917288188
conservative,0.9,catastrophic_50,122171,34030,0.278544008,-15181.59459,-99.6628746,-78.115667,-55.1482095,-31.657847,-15.11620325,-6.0218487,-396.9782809,0.9979429915,0.0005583308845,0.0004701733764,0.0003526300323,5.877167205e-05,0.0004114017044,0.0006758742286,0.0006171025566,0.0002057008522
conservative,0.9,catastrophic_100,55011,14951,0.2717820072,-14513.06941,-99.574801,-79.27337,-55.9012335,-31.30324,-14.3366485,-5.493021,-391.2203404,0.9967226272,0.0008026218982,0.0006019664237,0.0005350812655,0.0001337703164,0.0008695070564,0.001337703164,0.001203932847,0.0003344257909
midpoint,0.1,all_fills,305062,229902,0.7536238535,-9970.599852,-91.319844,-34.6544259,83.552424,795.3466535,2986.161199,7847.88579,2393.59687,0.1680237666,0.02629381215,0.02558916408,0.04204400136,0.07943384573,0.08575827961,0.7380492558,0.65861541,0.5728571304
midpoint,0.1,adverse_fills,204744,145188,0.7091196812,-5328.465422,-56.83404915,-27.4367907,73.22800575,637.366901,2499.900308,7265.083585,2312.134156,0.1713089236,0.02876959528,0.02803261978,0.04420475521,0.09161225446,0.09591701794,0.7276841061,0.6360718517,0.5401548337
midpoint,0.1,catastrophic_25,156132,111328,0.7130376861,-5328.465422,-57.344013,-28.173088,69.91559275,638.207479,2487.954389,7242.553115,2305.70189,0.1742508623,0.02881575165,0.02844747054,0.04363682093,0.0896001006,0.09445063237,0.7248490946,0.635248994,0.5407983616
midpoint,0.1,catastrophic_50,104147,73430,0.7050611155,-6766.26088,-59.41012115,-28.224061,73.86286175,652.7547535,2526.555404,7452.159361,2355.803442,0.1724771892,0.02752281084,0.02765899496,0.04451858913,0.08812474465,0.09350401743,0.7278224159,0.6396976713,0.5461936538
midpoint,0.1,catastrophic_100,46861,32261,0.6884402808,-8881.646256,-62.805122,-28.29336,82.740019,695.425895,2578.61186,7656.441922,2413.369402,0.167043799,0.02647159109,0.02609962493,0.04606180838,0.08440531912,0.09258857444,0.7343231766,0.6499178575,0.557329283
midpoint,0.2,all_fills,305062,181462,0.5948364595,-16155.52049,-3827.487607,-345.3556483,-25.387252,140.4309595,1090.731105,3443.839582,661.569784,0.3535285625,0.03459677508,0.03228224091,0.04976248471,0.08433721661,0.08455764843,0.5298299368,0.4454927202,0.3609350718
midpoint,0.2,adverse_fills,204744,116469,0.5688518345,-11784.9473,-88.8978424,-58.6680468,-20.145382,106.791908,846.208993,2913.54188,915.5283282,0.3644059793,0.03939245636,0.03661060025,0.05382548146,0.09411946527,0.08936283475,0.5057654827,0.4116460174,0.3222831826
midpoint,0.2,catastrophic_25,156132,89565,0.5736492199,-12376.34851,-86.8878594,-58.633842,-20.702789,103.151864,855.565384,2956.158485,920.9503308,0.3700664322,0.03877630771,0.03643164182,0.05208507788,0.09044827779,0.08752302797,0.5026405404,0.4121922626,0.3246692346
midpoint,0.2,catastrophic_50,104147,59053,0.5670158526,-12836.84496,-87.718462,-59.767198,-19.092463,121.778847,908.610111,3156.701269,982.4814768,0.3576956293,0.03720386771,0.03452830508,0.05259681981,0.09105379913,0.08942814082,0.5179753781,0.4269215789,0.3374934381
midpoint,0.2,catastrophic_100,46861,25779,0.5501163014,-13668.47062,-89.6336877,-61.174289,-15.915563,148.15426,1014.643483,3311.076152,1073.618382,0.3404321347,0.03689049226,0.03394235618,0.05329919702,0.08805616975,0.09123705342,0.5354358199,0.4473796501,0.3561425967
midpoint,0.3,all_fills,305062,145673,0.4775193239,-18860.84618,-7162.380131,-2260.541821,-59.070304,-6.068185,323.945316,1442.398389,-369.8850156,0.5368805475,0.03334866447,0.03080186445,0.04790867216,0.07628730101,0.06891462385,0.3510602514,0.2747729504,0.2058583265
midpoint,0.3,adverse_fills,204744,96914,0.4733423202,-14699.97374,-409.299927,-79.3298559,-40.220253,-6.447261,230.7735708,1144.01731,179.6976125,0.5530573498,0.03778607838,0.0348143715,0.05120003302,0.08144334152,0.06743091813,0.3231421673,0.2416988258,0.1742679076
midpoint,0.3,catastrophic_25,156132,74898,0.4797094766,-15162.30249,-355.373872,-77.2028084,-39.772291,-7.306295,228.6414932,1150.100823,177.3229455,0.5608961521,0.03698363107,0.03357900077,0.04865283452,0.07892066544,0.0655291196,0.3198883815,0.2409677161,0.1754385965
midpoint,0.3,catastrophic_50,104147,49211,0.4725148108,-15632.31304,-369.9295395,-77.384932,-38.9399855,-6.034164,259.2106455,1254.0601,207.5487801,0.5491455162,0.03663815001,0.0327772246,0.04984657902,0.0785190303,0.06697689541,0.3315925301,0.2530734998,0.1860966044
midpoint,0.3,catastrophic_100,46861,21571,0.4603188152,-17256.7803,-375.3845275,-76.428484,-36.926342,-3.203872,305.499223,1464.975229,273.532283,0.5259839599,0.03787492467,0.03235825877,0.05284873209,0.08010755181,0.07051133466,0.3509341245,0.2708265727,0.2003152381
midpoint,0.4,all_fills,305062,121558,0.3984698192,-19965.38626,-8935.167276,-3636.642196,-89.35233275,-26.151455,49.05326275,559.1014271,-951.8219806,0.6982839468,0.02812649106,0.02421066487,0.03838496849,0.05658204314,0.04694055513,0.2109939288,0.1544118857,0.1074713306
midpoint,0.4,adverse_fills,204744,84042,0.410473567,-15610.19886,-686.082878,-138.694385,-53.647901,-20.754717,27.8311455,404.2161646,-187.8804664,0.7147021727,0.03135337093,0.02698650675,0.0396944385,0.05725708574,0.04324028462,0.1872635111,0.1300064254,0.08676614074
midpoint,0.4,catastrophic_25,156132,65182,0.417480081,-16084.9473,-654.277647,-101.856392,-52.9651255,-20.849683,22.500254,398.5328412,-192.4521093,0.7221011936,0.03082139241,0.02672516953,0.03787855543,0.05457028014,0.04137645362,0.1824736891,0.1279034089,0.08652695529
midpoint,0.4,catastrophic_50,104147,42641,0.4094309006,-16744.89798,-703.887845,-98.39707,-52.394282,-20.265031,27.928367,434.774825,-206.0412133,0.7132806454,0.03154241223,0.0268051875,0.03848408808,0.05607279379,0.04200182923,0.1898876668,0.133814873,0.09181304378
midpoint,0.4,catastrophic_100,46861,18560,0.3960649581,-18026.95084,-679.828973,-92.6859546,-51.8566585,-17.02946,49.088421,517.0880733,-168.2109836,0.6884159483,0.03302801724,0.02920258621,0.04213362069,0.05845905172,0.04579741379,0.2072198276,0.1487607759,0.1029633621
midpoint,0.5,all_fills,305062,105620,0.3462247019,-20706.63983,-10169.77009,-4660.456254,-302.9755395,-38.5955455,-8.194961,136.5365232,-1334.814261,0.8231774285,0.02037492899,0.01729786025,0.02576216626,0.03725620148,0.02650066275,0.113387616,0.0761314145,0.04963075175
midpoint,0.5,adverse_fills,204744,75406,0.3682940648,-16693.37754,-770.313002,-268.1527095,-60.89420775,-29.235106,-7.37084175,91.2067745,-391.4052438,0.8353844522,0.02239874811,0.01905683898,0.02665570379,0.03556746148,0.02315465613,0.09650425696,0.06093679548,0.03778213935
midpoint,0.5,catastrophic_25,156132,58828,0.3767837471,-16753.69526,-749.771285,-206.7690752,-59.761677,-29.077357,-7.755782,82.6483324,-396.7976611,0.8416060379,0.02211531924,0.01863058408,0.02483511253,0.03330046916,0.02257428435,0.09281294622,0.05951247705,0.0369381927
midpoint,0.5,catastrophic_50,104147,38523,0.3698906354,-17332.85255,-767.821808,-194.5698168,-60.260448,-28.29336,-6.90568,95.5201148,-416.9213369,0.8328531007,0.02349245905,0.01967655686,0.02572489162,0.03504399969,0.02406354645,0.09825299172,0.06320899203,0.03914544558
midpoint,0.5,catastrophic_100,46861,16668,0.3556902328,-17342.26122,-756.231248,-141.836939,-59.99491975,-26.158757,-5.148339,127.8495855,-403.2978243,0.809575234,0.02615790737,0.02219822414,0.02975761939,0.03965682745,0.02789776818,0.1123110151,0.07265418766,0.04475641949
midpoint,0.6,all_fills,305062,93904,0.3078193941,-21190.79353,-10796.24758,-5284.63848,-591.67173,-46.7549485,-16.452535,-1.82238,-1558.402839,0.9161590561,0.01165019594,0.009488413699,0.01380132902,0.01847631624,0.01208681206,0.04890100528,0.03042468904,0.01833787698
midpoint,0.6,adverse_fills,204744,68740,0.3357363342,-16676.97838,-801.287084,-346.545297,-65.9644935,-34.02747,-13.343456,-1.872735,-476.5236624,0.9212103579,0.01281640966,0.01032877509,0.01460576084,0.01766075065,0.01003782368,0.04103869654,0.02337794588,0.0133401222
midpoint,0.6,catastrophic_25,156132,54085,0.3464056055,-16753.69526,-769.2010926,-283.4979484,-64.220129,-33.401248,-13.485064,-2.0601964,-480.7659412,0.9238051216,0.01288712212,0.009947305168,0.01421835999,0.0167329204,0.009374133309,0.03914209115,0.02240917075,0.01303503744
midpoint,0.6,catastrophic_50,104147,35343,0.3393568706,-17365.99698,-788.3704405,-268.2001512,-64.646211,-33.121287,-13.472536,-1.5714974,-506.9272848,0.9188523894,0.01406219053,0.01058201058,0.01445830858,0.01774042951,0.009959539371,0.04204510087,0.02430467136,0.01434513199
