signal,horizon_s,grouping,key,rows,raw_spread_ticks,demeaned_spread_ticks,demeaned_incremental_spread_ticks
obi_l1,300,utc_day,2026-08-20,711626,75.81135356878052,72.91052064842224,-4.089331152538994
obi_l1,300,segment_key,2:1,723281,63.748406438035076,16.866821383132365,-25.57275386881298
obi_l1,300,segment_key,2:2,712566,144.2358627816215,137.55296601259334,57.20344730657942
obi_l1,300,segment_key,2:4,163773,67.9442760123817,46.07160449407463,-20.763570596665062
obi_l1,300,segment_key,2:5,155378,266.8593918854403,199.56894399612185,116.70303294107029
obi_l1,300,segment_key,2:6,335472,46.24972372167555,80.49162158618759,-1.8084156241690046
obi_l1,600,utc_day,2026-08-18,523270,133.28172927016516,36.191883770255636,-5.780243476157045
obi_l1,600,utc_day,2026-08-19,831574,84.63446585562758,96.75681257127191,23.810769189335893
obi_l1,600,utc_day,2026-08-20,690626,12.06997240313612,28.048612987676453,-48.76160497285163
obi_l1,600,segment_key,2:1,708281,98.779005717299,15.7975036094324,-26.52731118381673
obi_l1,600,segment_key,2:2,700566,68.55290295235983,78.31632804919624,-1.6036743436243697
obi_l1,600,segment_key,2:4,157773,-50.2330323813388,-56.603835666039934,-123.43149939220632
obi_l1,600,segment_key,2:5,149378,400.5226570537345,276.749423115107,193.48698971056797
obi_l1,600,segment_key,2:6,329472,-22.881697075123213,39.038075776780424,-43.68429487644518
obi_l5,1,utc_day,2026-08-18,541240,17.826824415673606,17.598534544873054,
obi_l5,1,utc_day,2026-08-19,861524,40.46012699811052,40.42212627851496,
obi_l5,1,utc_day,2026-08-20,733724,50.36117575556925,50.295773848385565,
obi_l5,1,segment_key,2:1,738231,17.22385878140839,17.042115461885118,
obi_l5,1,segment_key,2:2,724526,47.58557379127494,47.4989777822599,
obi_l5,1,segment_key,2:3,1168,33.11787260358689,33.11787260358689,
obi_l5,1,segment_key,2:4,169753,31.71583147261311,31.60489666486913,
obi_l5,1,segment_key,2:5,161358,56.013727864290956,55.73825075503679,
obi_l5,1,segment_key,2:6,341452,62.51247504696613,62.614326166415864,
obi_l5,2,utc_day,2026-08-18,541210,26.763930950925836,26.307371404822042,
obi_l5,2,utc_day,2026-08-19,861474,53.37976202965731,53.303192800455975,
obi_l5,2,utc_day,2026-08-20,733644,63.85273868386133,63.72519306655059,
obi_l5,2,segment_key,2:1,738181,26.461660135205786,26.09609984362459,
obi_l5,2,segment_key,2:2,724486,61.57356084042409,61.401822860136335,
obi_l5,2,segment_key,2:3,1158,50.257548125633235,50.257548125633214,
obi_l5,2,segment_key,2:4,169733,47.591361293466555,47.3772263768535,
obi_l5,2,segment_key,2:5,161338,70.36091406126698,69.812752547801,
obi_l5,2,segment_key,2:6,341432,73.54645859635357,73.75266606885921,
obi_l5,5,utc_day,2026-08-18,541120,43.24202368766154,42.10004245619058,
obi_l5,5,utc_day,2026-08-19,861324,71.76570362126776,71.57785474127259,
obi_l5,5,utc_day,2026-08-20,733404,78.61691116973137,78.30576280454903,
obi_l5,5,segment_key,2:1,738031,43.30803813925415,42.389093020939214,
obi_l5,5,segment_key,2:2,724366,79.09828876374493,78.6747024619203,
obi_l5,5,segment_key,2:3,1128,80.78282235997096,80.78282235997096,
obi_l5,5,segment_key,2:4,169673,69.06233601437191,68.54817862857705,
obi_l5,5,segment_key,2:5,161278,87.65948472037923,86.30182793567246,
obi_l5,5,segment_key,2:6,341372,83.13347631542686,83.64898686195275,
obi_l5,10,utc_day,2026-08-18,540970,56.59560192938558,54.295208351458086,12.188370113413386
obi_l5,10,utc_day,2026-08-19,861074,85.09752799092098,84.75408710020257,13.16314937940847
obi_l5,10,utc_day,2026-08-20,733004,82.16381381670067,81.53780603508221,3.2956286224467455
obi_l5,10,segment_key,2:1,737781,56.04889339793481,54.19214066710565,11.812175040646395
obi_l5,10,segment_key,2:2,724166,91.4434974415546,90.63301754575565,11.939499567021652
obi_l5,10,segment_key,2:3,1078,25.23682869143253,25.236828691432542,-49.97673612527016
obi_l5,10,segment_key,2:4,169573,70.38134855007789,69.26051510895445,0.7604741159120227
obi_l5,10,segment_key,2:5,161178,104.53836376633697,101.8158668094903,15.476176091286753
obi_l5,10,segment_key,2:6,341272,82.15855139246264,83.2264745569428,-0.3365468051081786
obi_l5,30,utc_day,2026-08-18,540370,77.17244216487947,70.40794363719266,28.386739323332403
obi_l5,30,utc_day,2026-08-19,860074,123.35178435998193,122.30375363942954,50.67635400702809
obi_l5,30,utc_day,2026-08-20,731404,87.16947655746634,85.1797664057658,6.899900344791421
obi_l5,30,segment_key,2:1,736781,76.04496068216164,70.58886485920252,28.27872165116264
obi_l5,30,segment_key,2:2,723366,126.67281460744616,124.26460499224332,45.492097382896745
obi_l5,30,segment_key,2:3,878,-87.6030839677811,-87.60308396778112,-121.49533818823784
obi_l5,30,segment_key,2:4,169173,74.42722658265617,70.66313343006328,2.046879332760125
obi_l5,30,segment_key,2:5,160778,129.62614286737977,120.97376731044095,34.903831789074154
obi_l5,30,segment_key,2:6,340872,83.33886502247428,86.63247158497563,2.959493194590138
obi_l5,60,utc_day,2026-08-18,539470,78.98198984818973,66.06731795958828,24.034869932955438
obi_l5,60,utc_day,2026-08-19,858574,134.77835681568763,132.45462276708426,60.77286319710234
obi_l5,60,utc_day,2026-08-20,729004,74.5906286075801,70.7467991854908,-7.759877874039704
obi_l5,60,segment_key,2:1,735281,78.20708295786201,67.84142047492793,25.48980226456825
obi_l5,60,segment_key,2:2,722166,139.91473962991233,134.86257128651053,55.902354113512445
obi_l5,60,segment_key,2:3,578,-121.63594527363182,-121.63594527363182,-206.33681592039798
obi_l5,60,segment_key,2:4,168573,56.14863524076309,48.411251684245215,-19.98478744565692
obi_l5,60,segment_key,2:5,160178,114.50017452149746,97.26815735966716,11.020209737466429
obi_l5,60,segment_key,2:6,340272,69.9770544389178,76.70111933254142,-7.036454261345686
obi_l5,120,utc_day,2026-08-18,537670,80.4912334938559,56.888419715520925,15.011605659980702
obi_l5,120,utc_day,2026-08-19,855574,156.51794719765525,151.7030012139241,79.82575521600255
obi_l5,120,utc_day,2026-08-20,724226,46.95615344803127,41.35028608574985,-37.475245499723854
obi_l5,120,segment_key,2:1,732281,77.54853117886162,58.08950050069983,15.80276712040627
obi_l5,120,segment_key,2:2,719766,162.18820564543705,152.96816162402206,73.7885886598398
obi_l5,120,segment_key,2:4,167373,36.81135927074278,24.920167164129396,-43.640226367060336
obi_l5,120,segment_key,2:5,158978,44.04088812095614,9.271175812546682,-78.07716395989728
obi_l5,120,segment_key,2:6,339072,59.29926530488996,73.1676282157143,-10.627804860358324
obi_l5,300,utc_day,2026-08-18,532270,73.65595936452857,21.051958679916083,-20.709253102966944
obi_l5,300,utc_day,2026-08-19,846574,150.1983808073633,144.10949591918614,71.97354294892381
obi_l5,300,utc_day,2026-08-20,711626,63.338026938894956,57.15813515245517,-21.80829740391052
obi_l5,300,segment_key,2:1,723281,62.97069619299111,18.089641131337697,-24.154510998212647
obi_l5,300,segment_key,2:2,712566,149.46504463934298,137.47747542777694,57.86614207837248
obi_l5,300,segment_key,2:4,163773,51.090968687922924,40.11411221277322,-28.073154817404458
obi_l5,300,segment_key,2:5,155378,212.83995434654304,132.81990489008103,44.67656572517788
obi_l5,300,segment_key,2:6,335472,45.495032415595475,77.17995542911251,-6.444936099283129
obi_l5,600,utc_day,2026-08-18,523270,126.92823252896834,35.25246317521242,-6.536596632981867
obi_l5,600,utc_day,2026-08-19,831574,112.36195161430817,108.1911901657442,36.012480589716944
obi_l5,600,utc_day,2026-08-20,690626,-0.656057358037998,4.558595408704264,-74.15513418049018
obi_l5,600,segment_key,2:1,708281,97.63077489681221,19.046433174926683,-23.110361797622346
obi_l5,600,segment_key,2:2,700566,89.79459186232197,87.73533283235336,8.549382871418846
obi_l5,600,segment_key,2:4,157773,-58.49734566419674,-52.35517562240283,-120.36164612194082
obi_l5,600,segment_key,2:5,149378,321.98968923442214,174.28036868611417,86.26350355823512
obi_l5,600,segment_key,2:6,329472,-20.37354132508176,28.93526737836656,-55.22310315647159
obi_l10,1,utc_day,2026-08-18,541240,17.884670469163495,17.657832394490192,
obi_l10,1,utc_day,2026-08-19,861524,40.147294269936864,40.09924707488916,
obi_l10,1,utc_day,2026-08-20,733724,50.81378600296037,50.722896791826614,
obi_l10,1,segment_key,2:1,738231,17.241466877885202,17.062169026738705,
obi_l10,1,segment_key,2:2,724526,47.27346561670089,47.18099881037142,
obi_l10,1,segment_key,2:3,1168,33.24173617547112,33.24173617547112,
obi_l10,1,segment_key,2:4,169753,31.639313816888638,31.542473964342392,
obi_l10,1,segment_key,2:5,161358,56.602526167502255,56.25137566626061,
obi_l10,1,segment_key,2:6,341452,63.26060995620911,63.353524036790375,
obi_l10,2,utc_day,2026-08-18,541210,26.955935094377274,26.502218543043867,
obi_l10,2,utc_day,2026-08-19,861474,52.83099782703388,52.73381747797257,
obi_l10,2,utc_day,2026-08-20,733644,64.49080208630862,64.31300000729374,
obi_l10,2,segment_key,2:1,738181,26.570300445872835,26.20947484076797,
obi_l10,2,segment_key,2:2,724486,61.01392779826273,60.83001829780521,
obi_l10,2,segment_key,2:3,1158,49.38112449799196,49.38112449799196,
obi_l10,2,segment_key,2:4,169733,47.184943832769505,46.99935297748183,
obi_l10,2,segment_key,2:5,161338,70.3503242073175,69.65317307391041,
obi_l10,2,segment_key,2:6,341432,75.23582740771843,75.42477736194448,
obi_l10,5,utc_day,2026-08-18,541120,43.6677635990152,42.5325573282113,
obi_l10,5,utc_day,2026-08-19,861324,71.09892941545974,70.85903608285115,
obi_l10,5,utc_day,2026-08-20,733404,79.09371046650318,78.65733623624428,
obi_l10,5,segment_key,2:1,738031,43.56337639535366,42.65581860189597,
obi_l10,5,segment_key,2:2,724366,78.39432127613918,77.94009114361981,
obi_l10,5,segment_key,2:3,1128,76.76530487804878,76.76530487804878,
obi_l10,5,segment_key,2:4,169673,68.57729266459205,68.13428971288411,
obi_l10,5,segment_key,2:5,161278,85.18464899200816,83.46085805169754,
obi_l10,5,segment_key,2:6,341372,85.68261228440491,86.15776624471212,
obi_l10,10,utc_day,2026-08-18,540970,57.43143427679998,55.14379149345582,12.61606617590498
obi_l10,10,utc_day,2026-08-19,861074,84.66892449055592,84.20986350037253,13.339369652722105
obi_l10,10,utc_day,2026-08-20,733004,82.95918256491638,82.07580395711959,3.4733776441940716
obi_l10,10,segment_key,2:1,737781,56.694168806304816,54.86029392359853,12.220056366047396
obi_l10,10,segment_key,2:2,724166,90.88988956590798,90.00478989609624,12.052455468971257
obi_l10,10,segment_key,2:3,1078,18.21385703449199,18.213857034491994,-51.87880951318548
obi_l10,10,segment_key,2:4,169573,69.3263829937045,68.35106199923712,0.24014480520273884
obi_l10,10,segment_key,2:5,161178,102.13084272645527,98.66049966020574,15.174788964002836
obi_l10,10,segment_key,2:6,341272,85.72237849932196,86.7006507339903,0.6214497795045466
obi_l10,30,utc_day,2026-08-18,540370,79.4157864478577,72.65359328833611,30.20836251011807
obi_l10,30,utc_day,2026-08-19,860074,120.42739482699648,119.09477418348538,48.15231325181408
obi_l10,30,utc_day,2026-08-20,731404,88.16334090650459,85.29527168473672,6.658349606275927
obi_l10,30,segment_key,2:1,736781,77.50236025911471,72.09687397261035,29.518594469308173
obi_l10,30,segment_key,2:2,723366,123.88016144144711,121.29721532666034,43.22462495701117
obi_l10,30,segment_key,2:3,878,-132.96639690358904,-132.966396903589,-159.95361247947457
obi_l10,30,segment_key,2:4,169173,73.10350155574872,69.81121096749163,1.6085071561018522
obi_l10,30,segment_key,2:5,160778,124.33237816639478,113.40810329250326,30.095355387602496
obi_l10,30,segment_key,2:6,340872,88.10656726460479,91.05182316014478,4.895368579836026
obi_l10,60,utc_day,2026-08-18,539470,82.5038053224335,69.54910176805181,27.06857240796439
obi_l10,60,utc_day,2026-08-19,858574,132.43696362696815,129.59240879623408,58.593367969610426
obi_l10,60,utc_day,2026-08-20,729004,75.12878695619435,69.3404339843449,-9.474880098908221
obi_l10,60,segment_key,2:1,735281,79.64099003626022,69.36709251702297,26.726167437290144
obi_l10,60,segment_key,2:2,722166,139.07453302338536,133.69446849496754,55.42993956962428
obi_l10,60,segment_key,2:3,578,-172.1124183006536,-172.11241830065356,-250.13725490196092
