signal,horizon_s,kind,population,rows,anchors,bootstrap_block_s,bootstrap_draws,raw_top_mean_ticks,raw_bottom_mean_ticks,raw_spread_ticks,raw_top_mean_bps,raw_bottom_mean_bps,raw_spread_bps,raw_edge_per_trade_bps,raw_block_spread_mean,raw_spread_p05,raw_spread_p95,raw_blocks,raw_blocks_same_sign,raw_block_sign_share,raw_resolved,raw_anchor_spread_ticks,raw_anchor_rows,raw_anchor_sign_agrees,demeaned_top_mean_ticks,demeaned_bottom_mean_ticks,demeaned_spread_ticks,demeaned_top_mean_bps,demeaned_bottom_mean_bps,demeaned_spread_bps,demeaned_edge_per_trade_bps,demeaned_block_spread_mean,demeaned_spread_p05,demeaned_spread_p95,demeaned_blocks,demeaned_blocks_same_sign,demeaned_block_sign_share,demeaned_resolved,demeaned_anchor_spread_ticks,demeaned_anchor_rows,demeaned_anchor_sign_agrees,raw_pivot_spread_ticks,demeaned_pivot_spread_ticks
obi_l1,30,incremental,oof_scored_purged,2131848,7108,1800.0,500,25.450106480786552,-2.5773131317869455,28.027419612573496,0.3800590511860739,-0.041823337638916644,0.4218823888249906,0.2109411944124953,25.5079302172306,16.49135908289635,36.85787680066678,120,86,0.7166666666666667,True,22.24629710168323,1452,True,12.236476020332143,-13.282977215177155,25.519453235509296,0.18677625892961475,-0.19647259069842837,0.3832488496280431,0.19162442481402156,25.5079302172306,16.49135908289635,36.85787680066678,120,86,0.7166666666666667,True,22.214230230079636,1452,True,67.50654152814343,67.00832312858839
obi_l1,30,cumulative,full_corpus,2567979,8563,1800.0,500,58.567802583363516,-34.55917880980382,93.12698139316734,0.8707180620028269,-0.5138664438931934,1.3845845058960202,0.6922922529480101,90.86263118458895,81.05903347532718,103.55401264011782,143,140,0.9790209790209791,True,83.97210362152862,1742,True,45.81867912510755,-43.8578100188237,89.67648914393125,0.6840098928333296,-0.6474343463737824,1.331444239207112,0.665722119603556,90.86263118458893,81.05903347532718,103.55401264011782,143,140,0.9790209790209791,True,81.89830846765261,1742,True,,
obi_l1,30,incremental,full_corpus,2567979,8563,1800.0,500,24.64622250259933,-6.116122399707163,30.76234490230649,0.3711256436042395,-0.09621176441560761,0.46733740801984713,0.23366870400992357,28.07812754034739,20.328237098530423,37.74632794710813,143,106,0.7412587412587412,True,29.22947782856057,1742,True,14.031286460047788,-13.86260251531339,27.89388897536118,0.21568516750948977,-0.20747186030827205,0.4231570278177618,0.2115785139088809,28.07812754034739,20.328237098530423,37.74632794710813,143,106,0.7412587412587412,True,27.478399234325565,1742,True,62.36463649086083,61.782600168570056
obi_l1,60,cumulative,oof_scored_purged,2127048,3547,1800.0,500,69.12429009327516,-24.028311511247974,93.15260160452314,1.0228679947689219,-0.35336311341417515,1.376231108183097,0.6881155540915485,88.09084926069774,73.37919900983778,107.5206779733311,120,109,0.9083333333333333,True,80.95645350675156,729,True,38.3921846436357,-48.94161775088106,87.33380239451677,0.573355158853563,-0.7132557954505251,1.2866109543040882,0.6433054771520441,88.09084926069774,73.37919900983778,107.5206779733311,120,109,0.9083333333333333,True,100.63201530800818,729,True,,
obi_l1,60,incremental,oof_scored_purged,2127048,3547,1800.0,500,31.98021428840078,6.443433393667286,25.536780894733496,0.47933210387730857,0.09063428666887331,0.38869781720843527,0.19434890860421764,19.860775377332597,5.232240400813121,37.88453622475713,120,73,0.6083333333333333,True,36.705019645034554,729,True,3.884099413364267,-16.322621887369625,20.206721300733893,0.06840385731550708,-0.23821299247568628,0.30661684979119336,0.15330842489559668,19.860775377332597,5.232240400813117,37.88453622475712,120,73,0.6083333333333333,True,54.660596876432045,729,True,67.61582070978963,67.12708109378286
obi_l1,60,cumulative,full_corpus,2565579,4279,1800.0,500,63.609398691129066,-27.674124369538273,91.28352306066733,0.9474877899094589,-0.41316319157036396,1.3606509814798229,0.6803254907399114,85.50704251964402,72.79897378544362,101.93833624400493,143,131,0.916083916083916,True,90.44472286362178,879,True,38.492062377127255,-46.21712779789155,84.7091901750188,0.5796190168077762,-0.6796250884163852,1.2592441052241614,0.6296220526120807,85.507042519644,72.79897378544362,101.93833624400493,143,131,0.916083916083916,True,102.61357289524165,879,True,,
obi_l1,60,incremental,full_corpus,2565579,4279,1800.0,500,29.62489427300756,0.7741524333678934,28.850741839639667,0.44697716599538734,0.004575629715872518,0.44240153627951484,0.22120076813975742,22.659021243714797,11.146997018277007,37.148866307021365,143,92,0.6433566433566433,True,42.666162750965555,879,True,6.640891412740471,-16.213800554983983,22.854691967724456,0.1103643836330653,-0.23953827199379352,0.34990265562685885,0.17495132781342942,22.659021243714797,11.146997018277007,37.148866307021365,143,92,0.6433566433566433,True,53.7723223186611,879,True,62.432781221027675,61.85449820729435
obi_l1,120,cumulative,oof_scored_purged,2117470,1767,1800.0,500,90.71209745592617,0.5803435231667982,90.13175393275937,1.3461857599424358,0.005123281507436737,1.3410624784349992,0.6705312392174996,80.55394798739145,55.25064629858023,112.89051042586921,120,93,0.775,True,-33.45205630779914,356,False,31.25824543345936,-48.78535900274041,80.04360443619977,0.4762512513846499,-0.7083123517591657,1.1845636031438156,0.5922818015719078,80.55394798739147,55.25064629858023,112.89051042586921,120,93,0.775,True,27.71635087696249,356,True,,
obi_l1,120,incremental,oof_scored_purged,2117470,1767,1800.0,500,53.59768969572178,31.208916773319103,22.38877292240268,0.8031014736445399,0.45137399491665003,0.35172747872788984,0.17586373936394492,12.174578099607464,-12.61134894616613,42.72749857578505,120,61,0.5083333333333333,False,-66.69526244358173,356,False,-3.3228402611496968,-16.09363242203716,12.770792160887463,-0.029716759629201082,-0.2322151062385834,0.20249834660938232,0.10124917330469116,12.174578099607468,-12.611348946166128,42.72749857578505,120,61,0.5083333333333333,False,-7.810024737535489,356,False,67.7429810103567,67.2728122753123
obi_l1,120,cumulative,full_corpus,2560801,2137,1800.0,500,79.7378495001562,-7.442153068755589,87.18000256891179,1.1883644034204643,-0.11828411841595692,1.3066485218364212,0.6533242609182106,75.17423162521952,54.49092737584492,101.79084994219885,143,111,0.7762237762237763,True,3.7415786827551534,437,True,30.737404093139173,-44.62657658864801,75.36398068178718,0.470459626131618,-0.6529299595708042,1.1233895857024223,0.5616947928512112,75.17423162521952,54.49092737584492,101.79084994219885,143,111,0.7762237762237763,True,44.0234923029241,437,True,,
obi_l1,120,incremental,full_corpus,2560801,2137,1800.0,500,45.80901085598251,21.045188826972716,24.76382202900979,0.6886187965839291,0.3000168340315878,0.3886019625523413,0.19430098127617065,12.32259890814693,-8.31303415626296,37.39463911944458,143,77,0.5384615384615384,False,-38.332704876822525,437,False,-1.1025260257406428,-14.61507311480154,13.512547089060897,0.0013344895641270956,-0.21272324056373185,0.21405773012785895,0.10702886506392947,12.32259890814693,-8.313034156262958,37.39463911944458,143,77,0.5384615384615384,False,0.5028767648917523,437,True,62.416180539902,61.85143359272629
