signal,horizon_s,leg,rows,raw_mean_ticks,raw_mean_bps,demeaned_mean_ticks,demeaned_mean_bps,frac_favourable_for_leg
obi_l1,30,down_leg_negative_signal,1084920,-9.317319710209048,-0.13787726270533096,-20.685395078205474,-0.3033495638309618,0.48940290528333885
obi_l1,60,up_leg_top_decile,212704,69.12429009327516,1.0228679947689219,38.3921846436357,0.573355158853563,0.5786162930645404
obi_l1,60,down_leg_bottom_decile,212705,-24.028311511247974,-0.35336311341417515,-48.94161775088106,-0.7132557954505251,0.5624033285536306
obi_l1,60,up_leg_positive_signal,1043853,45.517378883808355,0.6735761874396138,18.89637374168702,0.2834694868511061,0.5185155381073772
obi_l1,60,down_leg_negative_signal,1083036,4.204202815049546,0.05982600080425872,-18.173796210888487,-0.26594023304406966,0.5079203276714717
obi_l1,120,up_leg_top_decile,211747,90.71209745592617,1.3461857599424358,31.25824543345936,0.4762512513846499,0.5602393422338924
obi_l1,120,down_leg_bottom_decile,211747,0.5803435231667982,0.005123281507436737,-48.78535900274041,-0.7083123517591657,0.5244891308967777
obi_l1,120,up_leg_positive_signal,1039131,69.74629570285171,1.0313016504341206,17.60766120127467,0.26706913508057456,0.5204011813717424
obi_l1,120,down_leg_negative_signal,1078181,27.6794221007419,0.4054144882766424,-16.90668841298867,-0.2440824762455498,0.5123416198207907
obi_l1,300,up_leg_top_decile,209047,168.74682966031563,2.494787191131503,32.79873945631974,0.4985860838363336,0.5361425899438882
obi_l1,300,down_leg_bottom_decile,209047,67.66971303104087,0.9935959695200812,-50.432121955985096,-0.7205483327456161,0.5156830760546671
obi_l1,300,up_leg_positive_signal,1025938,137.85981950176327,2.037085665480496,12.553831352077982,0.1953523626368387,0.5183987726353835
obi_l1,300,down_leg_negative_signal,1064376,98.41774429337,1.4516624791538804,-11.98817243663477,-0.16254210908106004,0.5053458552240937
obi_l1,600,up_leg_top_decile,204547,251.41921905478935,3.7219693359105563,19.30123664117645,0.3016819912221686,0.513515231218253
obi_l1,600,down_leg_bottom_decile,204547,180.58359447950838,2.649942542376184,-32.433390439639226,-0.4542764028390958,0.5055806245019482
