signal,horizon_s,gross_decile_spread_bps,gross_edge_per_trade_bps,break_even_all_in_cost_bps,hurdle_bps_one_way,hurdle_bps_round_trip,net_of_one_way_bps,net_of_round_trip_bps,clears_one_way,clears_round_trip
obi_l1,300,1.0317427415237654,0.5158713707618827,0.5158713707618827,10.0,20.0,-9.484128629238118,-19.484128629238118,False,False
obi_l1,600,0.7559583940612644,0.3779791970306322,0.3779791970306322,1.0,2.0,-0.6220208029693678,-1.622020802969368,False,False
obi_l1,600,0.7559583940612644,0.3779791970306322,0.3779791970306322,2.0,4.0,-1.622020802969368,-3.622020802969368,False,False
obi_l1,600,0.7559583940612644,0.3779791970306322,0.3779791970306322,3.0,6.0,-2.622020802969368,-5.6220208029693675,False,False
obi_l1,600,0.7559583940612644,0.3779791970306322,0.3779791970306322,5.0,10.0,-4.6220208029693675,-9.622020802969368,False,False
obi_l1,600,0.7559583940612644,0.3779791970306322,0.3779791970306322,7.5,15.0,-7.1220208029693675,-14.622020802969368,False,False
obi_l1,600,0.7559583940612644,0.3779791970306322,0.3779791970306322,10.0,20.0,-9.622020802969368,-19.622020802969367,False,False
obi_l1,600,0.5596218696400242,0.2798109348200121,0.2798109348200121,1.0,2.0,-0.7201890651799878,-1.7201890651799878,False,False
obi_l1,600,0.5596218696400242,0.2798109348200121,0.2798109348200121,2.0,4.0,-1.7201890651799878,-3.720189065179988,False,False
obi_l1,600,0.5596218696400242,0.2798109348200121,0.2798109348200121,3.0,6.0,-2.720189065179988,-5.720189065179988,False,False
obi_l1,600,0.5596218696400242,0.2798109348200121,0.2798109348200121,5.0,10.0,-4.720189065179988,-9.720189065179987,False,False
obi_l1,600,0.5596218696400242,0.2798109348200121,0.2798109348200121,7.5,15.0,-7.220189065179988,-14.720189065179987,False,False
obi_l1,600,0.5596218696400242,0.2798109348200121,0.2798109348200121,10.0,20.0,-9.720189065179987,-19.720189065179987,False,False
obi_l5,1,0.5702533851587225,0.28512669257936124,0.28512669257936124,1.0,2.0,-0.7148733074206388,-1.7148733074206388,False,False
obi_l5,1,0.5702533851587225,0.28512669257936124,0.28512669257936124,2.0,4.0,-1.7148733074206388,-3.7148733074206386,False,False
obi_l5,1,0.5702533851587225,0.28512669257936124,0.28512669257936124,3.0,6.0,-2.7148733074206386,-5.714873307420639,False,False
obi_l5,1,0.5702533851587225,0.28512669257936124,0.28512669257936124,5.0,10.0,-4.714873307420639,-9.714873307420639,False,False
obi_l5,1,0.5702533851587225,0.28512669257936124,0.28512669257936124,7.5,15.0,-7.214873307420639,-14.714873307420639,False,False
obi_l5,1,0.5702533851587225,0.28512669257936124,0.28512669257936124,10.0,20.0,-9.714873307420639,-19.71487330742064,False,False
obi_l5,1,0.5035122654775527,0.25175613273877634,0.25175613273877634,1.0,2.0,-0.7482438672612237,-1.7482438672612237,False,False
