signal,horizon_s,population,purge_s,rows,anchors,bootstrap_block_s,bootstrap_blocks,demean_blocks,mid_ticks_mean,raw_signed_markout_mean_ticks,raw_signed_markout_median_ticks,raw_signed_markout_mean_bps,raw_hit_rate,raw_moved_rows,raw_unconditional_mean_ticks,demeaned_signed_markout_mean_ticks,demeaned_signed_markout_median_ticks,demeaned_signed_markout_mean_bps,demeaned_hit_rate,demeaned_moved_rows,demeaned_unconditional_mean_ticks
obi_l5,60,oof_scored_purged,120.0,2127048,3547,1800.0,120,120,673745.7859688639,21.001827650339813,8.0,0.31177049449777505,0.5460344368585169,2002099,24.465655217935844,19.285745658376438,11.37813888888889,0.28553390686640906,0.5354839194978205,2127048,3.530145186115826e-15
obi_l5,60,full_corpus,120.0,2565579,4279,1800.0,143,143,668525.8017658002,21.323792601981854,9.0,0.31931985837418175,0.5526114400393048,2401740,19.686128160543877,19.513774584154454,12.5525,0.29158998418161325,0.5412193504857967,2565579,4.083826288110455e-16
obi_l5,120,oof_scored_purged,180.0,2117470,1767,1800.0,120,120,673722.7158760219,20.961493197070087,12.0,0.31183142880572307,0.5252259722031959,2080455,48.30353605954276,17.93965150193194,12.339444444444439,0.26551101007317857,0.5188470202647499,2117470,-3.8484949151040804e-16
obi_l5,120,full_corpus,180.0,2560801,2137,1800.0,143,143,668499.0629861515,20.40796668698583,12.0,0.30570033114293865,0.5281222704292872,2510697,39.291251448277315,17.058624234305267,11.813666666666666,0.25429897683235964,0.5212310523152717,2560801,3.409538319072865e-15
obi_l5,300,oof_scored_purged,360.0,2090470,700,3600.0,60,119,673671.0912883227,17.835858443316575,15.0,0.26444004141159055,0.5125073104321065,2086060,117.74743215640503,12.039510986685185,3.2076944444444564,0.17516170693140143,0.5047888752290155,2090470,-6.7940076934306864e-15
obi_l5,300,full_corpus,360.0,2548201,854,3600.0,72,143,668437.8471388246,16.308362056211422,15.0,0.2436273823090721,0.5141399445569471,2543150,96.8794223846549,9.464482185067416,3.1353611111111377,0.1385410364815569,0.5047615945523921,2548201,-7.309647666063066e-16
obi_l5,600,oof_scored_purged,660.0,2045470,344,7200.0,30,119,673585.8496088919,14.12352051117836,8.0,0.21297250975600135,0.5068475974880224,2041738,210.98616723784752,4.963831411379366,4.861777777777775,0.07146597397355305,0.5038020601622121,2045470,-6.032855096215095e-15
obi_l5,600,full_corpus,660.0,2527201,426,7200.0,36,143,668339.5262127944,12.193659704946302,10.0,0.1858598801615947,0.5083724249933521,2523343,185.0934349899355,2.237433581782567,2.320916666666676,0.031649440632770844,0.5014290513496947,2527201,1.105558174378071e-15
obi_l10,1,oof_scored_purged,61.0,2136488,213651,1800.0,120,120,673768.5365995503,8.014817541685233,0.0,0.11593290624872633,0.7384530550571662,600267,0.4062632226345292,7.981507282403635,0.07005555555555555,0.11542681686878947,0.5460227251451916,2136488,-2.5541768597050717e-17
obi_l10,1,full_corpus,61.0,2570299,257034,1800.0,143,143,668552.3034357092,7.072461803082054,0.0,0.10272985843484353,0.7470103698545174,643307,0.3308375795967706,7.038920009770389,0.042388888888888886,0.10221912917981059,0.5397406777935291,2553580,-6.510799915738162e-17
obi_l10,2,oof_scored_purged,62.0,2136328,106818,1800.0,120,120,673768.1412561648,11.03461102414985,0.0,0.16021848569569716,0.6967647181463962,863356,0.81394078999105,10.968373140058919,0.20966666666666667,0.15921169098172547,0.5596163135997843,2136328,3.0993000273866734e-16
