problem,feature,mean_coefficient,median_coefficient,min_coefficient,max_coefficient,folds_positive,folds
fill_1000ms_ask_only,queue_to_own_depth_l5,-0.02791836467,-0.02707180195,-0.03804006055,-0.01597758569,0,10
fill_1000ms_ask_only,segment_age_ms,0.03100291886,0.0290989154,-0.04555935785,0.1651382148,0.6,10
fill_1000ms_ask_only,signed_depth_flow_pressure_l10_1000ms,-0.04140348798,-0.03220536467,-0.0765870735,-0.006136449985,0,10
fill_1000ms_ask_only,signed_depth_flow_pressure_l10_100ms,-0.05437176749,-0.05160443671,-0.0727519691,-0.03965458646,0,10
fill_1000ms_ask_only,signed_depth_flow_pressure_l10_250ms,-0.0401765639,-0.03996303678,-0.05215192959,-0.02317306958,0,10
fill_1000ms_ask_only,signed_depth_flow_pressure_l10_5000ms,-0.02456959169,-0.02671672776,-0.03269135952,-0.01283857599,0,10
fill_1000ms_ask_only,signed_depth_flow_pressure_l10_500ms,-0.09464404956,-0.09460714832,-0.1265155375,-0.06447526813,0,10
fill_1000ms_ask_only,signed_depth_flow_pressure_l5_1000ms,-0.01956574423,-0.01840882003,-0.04058494419,0.006639881525,0.1,10
fill_1000ms_ask_only,signed_depth_flow_pressure_l5_100ms,0.05130139552,0.05052866228,0.03066922352,0.07479394227,1,10
fill_1000ms_ask_only,signed_depth_flow_pressure_l5_250ms,0.02523245625,0.02270436194,0.006765573286,0.05080782622,1,10
fill_1000ms_ask_only,signed_depth_flow_pressure_l5_5000ms,-0.04222059939,-0.03956049308,-0.05934229866,-0.03088773973,0,10
fill_1000ms_ask_only,signed_depth_flow_pressure_l5_500ms,0.03810833018,0.03607171774,0.0002441253018,0.08694821596,1,10
fill_1000ms_ask_only,signed_log_volume_1000ms,-0.01636382828,-0.01577157341,-0.05875986814,0.002813306171,0.1,10
fill_1000ms_ask_only,signed_log_volume_100ms,-0.1380216874,-0.1366305947,-0.1803260297,-0.07858341187,0,10
fill_1000ms_ask_only,signed_log_volume_250ms,-0.02973676138,-0.02905643545,-0.0451994054,-0.02067006938,0,10
fill_1000ms_ask_only,signed_log_volume_5000ms,0.003937750553,-0.0027400709,-0.02544943057,0.04418910667,0.5,10
fill_1000ms_ask_only,signed_log_volume_500ms,-0.006206520188,-0.006038839463,-0.01904233918,0.004945433699,0.4,10
fill_1000ms_ask_only,signed_microprice_offset_ticks,-0.1816571228,-0.2073730379,-0.2592133284,-0.09140579402,0,10
fill_1000ms_ask_only,signed_net_depth_flow_l1_1000ms,0.01629194124,0.02747300919,-0.07492278516,0.03441687301,0.9,10
fill_1000ms_ask_only,signed_net_depth_flow_l1_100ms,0.03992097005,0.03992919624,0.02903172001,0.04705929384,1,10
fill_1000ms_ask_only,signed_net_depth_flow_l1_250ms,0.005360262119,0.008859393653,-0.009126616642,0.01532467175,0.7,10
fill_1000ms_ask_only,signed_net_depth_flow_l1_5000ms,-0.03051447873,-0.02415459137,-0.1052987427,0.001961907838,0.1,10
fill_1000ms_ask_only,signed_net_depth_flow_l1_500ms,0.01094429417,0.007563316962,-0.004759513773,0.0300386399,0.7,10
fill_1000ms_ask_only,signed_net_depth_flow_l5_1000ms,0.01274158101,0.003354867455,-0.006193614099,0.09656404704,0.6,10
fill_1000ms_ask_only,signed_net_depth_flow_l5_100ms,-0.02735280273,-0.02870749682,-0.03422474489,-0.009190560319,0,10
fill_1000ms_ask_only,signed_net_depth_flow_l5_250ms,-0.01698555611,-0.01539572841,-0.03151905909,-0.005307804793,0,10
fill_1000ms_ask_only,signed_net_depth_flow_l5_5000ms,-0.05001262622,-0.05739885755,-0.08012408763,-0.007408091798,0,10
fill_1000ms_ask_only,signed_net_depth_flow_l5_500ms,-0.0151168609,-0.013861435,-0.0224545151,-0.007565752603,0,10
fill_1000ms_ask_only,signed_obi_l1,-0.2002526961,-0.2106952295,-0.2607849538,-0.1218298897,0,10
fill_1000ms_ask_only,signed_obi_l10,-0.02525666468,-0.04091820866,-0.06198180839,0.05028543249,0.2,10
fill_1000ms_ask_only,signed_obi_l5,-0.06478801668,-0.05215040594,-0.1246039048,-0.031454999,0,10
fill_1000ms_ask_only,signed_trade_imbalance_1000ms,0.03625401221,0.03370777704,0.01807033829,0.07098490745,1,10
fill_1000ms_ask_only,signed_trade_imbalance_100ms,0.07625555759,0.08593167365,0.006361483596,0.1208635494,1,10
fill_1000ms_ask_only,signed_trade_imbalance_250ms,0.02276950963,0.02198616508,0.01623728871,0.03079931997,1,10
fill_1000ms_ask_only,signed_trade_imbalance_5000ms,0.04791808245,0.04778746888,-0.006677507889,0.0857552886,0.9,10
fill_1000ms_ask_only,signed_trade_imbalance_500ms,0.02103282297,0.01785865054,0.01386913471,0.04257789627,1,10
fill_1000ms_ask_only,signed_weighted_obi_l10,-0.02983701983,-0.03139292262,-0.05901988596,0.01240811031,0.1,10
fill_1000ms_ask_only,signed_weighted_obi_l5,-0.07001912333,-0.06933757663,-0.1106776372,-0.03128741682,0,10
fill_1000ms_ask_only,spread_ticks,-0.0142123457,0,-0.05217605457,0,0,10
fill_1000ms_ask_only,time_since_bbo_change_ms,-0.1812763229,-0.1654718071,-0.2293903828,-0.1504025459,0,10
fill_1000ms_ask_only,time_since_depth_ms,0.007892967695,0.008830236737,-0.007082992699,0.0197733622,0.8,10
fill_1000ms_ask_only,time_since_mid_change_ms,-0.1812732086,-0.1654718071,-0.2293859422,-0.1504025459,0,10
fill_1000ms_ask_only,time_since_trade_ms,-0.1172355348,-0.08923944831,-0.2293696553,-0.01589104719,0,10
fill_1000ms_ask_only,trade_count_1000ms,0.01626549023,0.0160816256,-0.02898332104,0.04095700011,0.9,10
fill_1000ms_ask_only,trade_count_100ms,0.12246603,0.1252641007,0.100945659,0.1426697373,1,10
fill_1000ms_ask_only,trade_count_250ms,0.05279057436,0.05855196156,0.0247003939,0.1007082015,1,10
fill_1000ms_ask_only,trade_count_5000ms,0.2516440481,0.249560535,0.1873146892,0.3023970425,1,10
fill_1000ms_ask_only,trade_count_500ms,0.02509207507,0.02667657379,-0.0006943265907,0.04258222505,0.9,10
fill_1000ms_bid_only,backward_mid_abs_change_ticks_1000ms,0.02382678724,0.02905379049,-0.006174425129,0.05013787746,0.9,10
fill_1000ms_bid_only,backward_mid_abs_change_ticks_100ms,-0.03394646104,-0.03865419142,-0.0714276433,-0.007821991108,0,10
fill_1000ms_bid_only,backward_mid_abs_change_ticks_250ms,-0.01749058606,-0.02539288159,-0.04015766084,0.01219878718,0.3,10
fill_1000ms_bid_only,backward_mid_abs_change_ticks_5000ms,-0.2311142437,-0.229015626,-0.3327334225,-0.09684356302,0,10
fill_1000ms_bid_only,backward_mid_abs_change_ticks_500ms,-0.009753930941,-0.008837175556,-0.04747202247,0.01609826647,0.4,10
fill_1000ms_bid_only,bbo_change_count_1000ms,-0.06902469946,-0.06600720249,-0.1157828048,0.0155589385,0.1,10
