group,metric,population,observed,unobserved_within_window,mean_ms,std_ms,p10_ms,p25_ms,p50_ms,p75_ms,p90_ms,p99_ms,frac_lt_10ms,frac_lt_50ms,frac_lt_100ms,frac_gt_100ms,frac_unobserved
quote_survives_window,depth_qty_reaction_latency_ms,821136,770379,50757,469.6339373,826.9662463,22.1676918,55.547616,124.535869,455.0871925,1362.496224,4217.731052,0.04201496463,0.2113511038,0.4295597806,0.5086270727,0.06181314667
quote_survives_window,quote_removal_latency_ms,821136,0,821136,,,,,,,,,0,0,0,0,1
quote_survives_window,best_price_change_latency_ms,821136,486054,335082,1143.974735,1310.409175,39.6842426,96.443412,590.4429895,1814.987758,3309.026273,4815.710156,0.01435572183,0.07432629918,0.1532669375,0.4386618051,0.4080712574
quote_survives_window,mid_adverse_move_latency_ms,821136,6068,815068,154.8838304,309.6957837,39.6758053,66.389347,89.672768,100.3396322,183.4198539,904.8478942,0.0001558816079,0.001136230783,0.005421757175,0.0019680053,0.9926102375
quote_survives_window,first_mid_move_latency_ms,821136,486783,334353,1137.474136,1310.282213,39.3605756,95.1015975,579.623148,1806.141925,3302.436452,4815.294795,0.01449090041,0.07506064769,0.15696669,0.435849847,0.4071834629
quote_survives_window,qty_reaction_exchange_lag_ms,821136,770379,50757,715.2089439,1255.595679,81,156,273,665,1752,7289,0.005541104031,0.04419730715,0.129420705,0.8067652618,0.06181314667
quote_disappears,depth_qty_reaction_latency_ms,4353770,4353770,0,106.6108757,288.8925918,11.5676415,28.4224845,55.9117735,84.96520975,136.9619532,1376.555672,0.08610813157,0.4466852865,0.863726839,0.136273161,0
quote_disappears,quote_removal_latency_ms,4353770,4353770,0,354.0941046,833.5695572,13.3549968,32.664105,64.650235,102.6726542,1075.877936,4309.174427,0.07419477832,0.3867923662,0.7398675171,0.2601324829,0
quote_disappears,best_price_change_latency_ms,4353770,4353770,0,232.824682,621.7474045,12.5181235,30.6426645,60.3902295,93.02447025,473.7007143,3609.311902,0.07944723768,0.413542516,0.7941517352,0.2058482648,0
quote_disappears,mid_adverse_move_latency_ms,4353770,4309422,44348,358.8556215,841.5581941,13.3786274,32.710677,64.742081,102.9604923,1105.404722,4317.612503,0.07328751863,0.3824145511,0.7318262104,0.257987675,0.01018611456
quote_disappears,first_mid_move_latency_ms,4353770,4353770,0,231.797867,620.3419495,12.4997637,30.605247,60.298588,92.84514625,468.5923414,3603.882556,0.07956759314,0.4141815025,0.7957172749,0.2042827251,0
quote_disappears,qty_reaction_exchange_lag_ms,4353770,4353770,0,360.7186914,1106.757447,21,45,80,139,521,6787,0.03648148616,0.277783622,0.6431873985,0.3491341986,0
next_mid_move_adverse,depth_qty_reaction_latency_ms,3903625,3902435,1190,97.29896615,263.954386,11.270558,27.6885195,54.430817,82.5265915,105.5391332,1220.489976,0.08832918121,0.4589423933,0.8841241154,0.1155710397,0.0003048448557
next_mid_move_adverse,quote_removal_latency_ms,3903625,3898607,5018,232.0798428,639.2427306,12.1756502,29.8262175,58.664405,90.132053,425.5019572,3720.267713,0.08158493708,0.4254694034,0.8126736047,0.1860409235,0.001285471837
next_mid_move_adverse,best_price_change_latency_ms,3903625,3902897,728,230.6583703,636.3351549,12.1826056,29.838777,58.684877,90.121571,416.6817136,3707.611183,0.08162259438,0.4258001217,0.8138865798,0.1859269269,0.0001864933235
next_mid_move_adverse,mid_adverse_move_latency_ms,3903625,3903625,0,228.917395,633.960643,12.1635774,29.798749,58.5712,89.903075,405.301712,3700.283633,0.08176835634,0.4265978417,0.8163025393,0.1836974607,0
next_mid_move_adverse,first_mid_move_latency_ms,3903625,3903625,0,228.917395,633.960643,12.1635774,29.798749,58.5712,89.903075,405.301712,3700.283633,0.08176835634,0.4265978417,0.8163025393,0.1836974607,0
next_mid_move_adverse,qty_reaction_exchange_lag_ms,3903625,3902435,1190,271.6851973,919.9174666,20,43,76,112,327,5590,0.03775311409,0.298032726,0.6907497518,0.3007622402,0.0003048448557
next_mid_move_favorable,depth_qty_reaction_latency_ms,936928,925738,11190,297.3413598,631.484585,17.0020655,42.5962115,84.520817,206.7254377,737.3887515,3538.951488,0.05702465931,0.2900756515,0.5895490369,0.3985076762,0.011943287
next_mid_move_favorable,quote_removal_latency_ms,936928,455163,481765,1399.182689,1388.007144,93.8443724,269.7958065,854.242871,2235.353855,3716.6323,4889.90518,0.004856296322,0.02468919704,0.05212780491,0.4336758001,0.514196395
next_mid_move_favorable,best_price_change_latency_ms,936928,936927,1,714.5303211,1095.000389,23.5734372,58.6377725,159.756731,899.315887,2383.289756,4628.633203,0.0416883688,0.2127559428,0.4336501844,0.5663487482,1.067317873e-06
next_mid_move_favorable,mid_adverse_move_latency_ms,936928,411865,525063,1587.395091,1390.576642,200.001833,401.696818,1109.15772,2522.54948,3873.151358,4895.322562,1.280781447e-05,0.0006403907237,0.004393080365,0.4351977953,0.5604091243
next_mid_move_favorable,first_mid_move_latency_ms,936928,936928,0,714.3451853,1094.979729,23.5460783,58.545719,159.5205005,898.6855713,2383.216964,4628.633186,0.04175881178,0.213045186,0.4341016599,0.5658983401,0
next_mid_move_favorable,qty_reaction_exchange_lag_ms,936928,925738,11190,921.1446403,1717.836915,58,116,244,732,2727,8313,0.01688390143,0.08188569453,0.2019151952,0.7831999898,0.011943287
