problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,horizon_ms,n,positives,base_rate,roc_auc,log_loss,brier,accuracy,sides,mean_target,median_target,mae,median_abs_error,rmse,spearman,sign_accuracy,r2
move_within_500ms,price,classification,lightgbm,6,1712751,214229,2026-08-19T20:37:39.066Z,500,214223,65020,0.3035154955,0.7715482125,0.5042608738,0.1616080568,0.7817461244,,,,,,,,,
move_within_500ms,price,classification,naive,7,1926974,214255,2026-08-20T02:34:46.750Z,500,214250,41212,0.1923547258,0.5,0.5105562767,0.1604772464,0.8076452742,,,,,,,,,
move_within_500ms,price,classification,linear,7,1926974,214255,2026-08-20T02:34:46.750Z,500,214250,41212,0.1923547258,0.7955488818,0.3736355244,0.1119722231,0.8568774796,,,,,,,,,
move_within_500ms,price,classification,lightgbm,7,1926974,214255,2026-08-20T02:34:46.750Z,500,214250,41212,0.1923547258,0.8154381697,0.353542994,0.1057334248,0.8647887981,,,,,,,,,
move_within_500ms,price,classification,naive,8,2141224,214252,2026-08-20T08:31:54.433Z,500,214247,83855,0.3913940452,0.5,0.8883965656,0.3076792863,0.6086059548,,,,,,,,,
move_within_500ms,price,classification,linear,8,2141224,214252,2026-08-20T08:31:54.433Z,500,214247,83855,0.3913940452,0.7569915731,0.568574948,0.190894223,0.7158606655,,,,,,,,,
move_within_500ms,price,classification,lightgbm,8,2141224,214252,2026-08-20T08:31:54.433Z,500,214247,83855,0.3913940452,0.7693255984,0.5415651915,0.1822044692,0.7303392813,,,,,,,,,
move_within_500ms,price,classification,naive,9,2355471,214276,2026-08-20T14:29:02.116Z,500,214272,67461,0.3148381496,0.5,0.7063529632,0.2423013033,0.6851618504,,,,,,,,,
move_within_500ms,price,classification,linear,9,2355471,214276,2026-08-20T14:29:02.116Z,500,214272,67461,0.3148381496,0.7720719714,0.5174665496,0.1697066521,0.7592172566,,,,,,,,,
move_within_500ms,price,classification,lightgbm,9,2355471,214276,2026-08-20T14:29:02.116Z,500,214272,67461,0.3148381496,0.7760996861,0.4978377883,0.1632026815,0.7688032034,,,,,,,,,
move_within_1000ms,price,classification,naive,0,427111,214277,2026-08-18T08:54:52.966Z,1000,214277,30153,0.1407197226,0.5,0.4163714245,0.1228974118,0.8592802774,,,,,,,,,
move_within_1000ms,price,classification,linear,0,427111,214277,2026-08-18T08:54:52.966Z,1000,214277,30153,0.1407197226,0.8333213606,0.31117317,0.09295182864,0.8778730335,,,,,,,,,
move_within_1000ms,price,classification,lightgbm,0,427111,214277,2026-08-18T08:54:52.966Z,1000,214277,30153,0.1407197226,0.8175884464,0.3153177911,0.09387572752,0.8784563906,,,,,,,,,
move_within_1000ms,price,classification,naive,1,641388,214277,2026-08-18T14:52:00.649Z,1000,214277,24606,0.1148326699,0.5,0.3565820567,0.101662187,0.8851673301,,,,,,,,,
move_within_1000ms,price,classification,linear,1,641388,214277,2026-08-18T14:52:00.649Z,1000,214277,24606,0.1148326699,0.7773768285,0.297980935,0.085328902,0.8943330362,,,,,,,,,
move_within_1000ms,price,classification,lightgbm,1,641388,214277,2026-08-18T14:52:00.649Z,1000,214277,24606,0.1148326699,0.7824000723,0.295701538,0.08503152382,0.8955977543,,,,,,,,,
move_within_1000ms,price,classification,naive,2,855665,214277,2026-08-18T20:49:08.333Z,1000,214277,17842,0.08326605282,0.5,0.2911801015,0.07715775328,0.9167339472,,,,,,,,,
move_within_1000ms,price,classification,linear,2,855665,214277,2026-08-18T20:49:08.333Z,1000,214277,17842,0.08326605282,0.7476840841,0.2549939281,0.06932600951,0.9198234062,,,,,,,,,
move_within_1000ms,price,classification,lightgbm,2,855665,214277,2026-08-18T20:49:08.333Z,1000,214277,17842,0.08326605282,0.7371978884,0.2500597026,0.06650444131,0.9236922302,,,,,,,,,
move_within_1000ms,price,classification,naive,3,1069942,214250,2026-08-19T02:46:16.016Z,1000,214240,16482,0.07693241225,0.5,0.2761656055,0.07187309946,0.9230675878,,,,,,,,,
move_within_1000ms,price,classification,linear,3,1069942,214250,2026-08-19T02:46:16.016Z,1000,214240,16482,0.07693241225,0.734906292,0.2377542629,0.06330766881,0.9267176998,,,,,,,,,
