executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,model,side,horizon_ms,tail,fold,cost_bp_per_side,utc_date
1457,0.01215847850123275,3.0,-5.987841521498767,0.0013726835964310226,-253.41181898278393,-8724.285096823703,,,0,1,obi_only,short,30000,0.1,0,3.0,2026-08-19
1776,0.03313926917326171,3.0,-5.966860730826738,0.0,-436.40792445009697,-10597.144657948287,,,0,0,obi_only,short,30000,0.1,1,3.0,2026-08-20
1924,0.018239025360860417,3.0,-5.98176097463914,0.0005197505197505198,-331.9280492698229,-11508.908115205704,,,0,0,obi_only,short,30000,0.1,2,3.0,2026-08-21
1697,0.05239787994860379,3.0,-5.947602120051396,0.0011785503830288745,-440.722728853301,-10093.08079772722,,,0,0,obi_only,short,30000,0.1,3,3.0,2026-08-22
1457,0.01215847850123275,5.0,-9.987841521498767,0.0006863417982155113,-422.69607146203424,-14552.285096823703,,,0,1,obi_only,short,30000,0.1,0,5.0,2026-08-19
1776,0.03313926917326171,5.0,-9.966860730826738,0.0,-728.9623808968325,-17701.144657948287,,,0,0,obi_only,short,30000,0.1,1,5.0,2026-08-20
1924,0.018239025360861305,5.0,-9.981760974639139,0.0,-553.8881380644756,-19204.908115205704,,,0,0,obi_only,short,30000,0.1,2,5.0,2026-08-21
1697,0.05239787994860379,5.0,-9.947602120051396,0.0,-737.1263684763849,-16881.08079772722,,,0,0,obi_only,short,30000,0.1,3,5.0,2026-08-22
1120,-0.004121915172644375,1.0,-2.0041219151726444,0.005357142857142857,-88.98489877228496,-2244.6165449933615,,,0,1,obi_only,short,30000,0.05,0,1.0,2026-08-19
1383,0.02574899195830138,1.0,-1.9742510080416986,0.004338394793926247,-129.19579407252007,-2730.3891441216692,,,0,0,obi_only,short,30000,0.05,1,1.0,2026-08-20
1465,0.011362285868808275,1.0,-1.9886377141311917,0.010921501706484642,-96.11330480703405,-2913.354251202196,,,0,0,obi_only,short,30000,0.05,2,1.0,2026-08-21
1285,0.058366603003941586,1.0,-1.9416333969960584,0.005447470817120622,-121.91406257417151,-2494.998915139935,,,0,0,obi_only,short,30000,0.05,3,1.0,2026-08-22
1120,-0.004121915172643931,2.0,-4.004121915172644,0.0008928571428571428,-177.78678063247048,-4484.6165449933615,,,0,1,obi_only,short,30000,0.05,0,2.0,2026-08-19
1383,0.02574899195830138,2.0,-3.9742510080416986,0.0,-260.07661271844506,-5496.389144121669,,,0,0,obi_only,short,30000,0.05,1,2.0,2026-08-20
1465,0.011362285868808275,2.0,-3.9886377141311917,0.0013651877133105802,-192.77576285462732,-5843.354251202196,,,0,0,obi_only,short,30000,0.05,2,2.0,2026-08-21
1285,0.05836660300394181,2.0,-3.941633396996058,0.0015564202334630351,-247.4929311317347,-5064.998915139935,,,0,0,obi_only,short,30000,0.05,3,2.0,2026-08-22
1120,-0.004121915172643931,3.0,-6.004121915172644,0.0,-266.58866249265606,-6724.6165449933615,,,0,1,obi_only,short,30000,0.05,0,3.0,2026-08-19
1383,0.02574899195830138,3.0,-5.974251008041699,0.0,-390.95743136437005,-8262.38914412167,,,0,0,obi_only,short,30000,0.05,1,3.0,2026-08-20
1465,0.011362285868807831,3.0,-5.988637714131192,0.0,-289.4382209022206,-8773.354251202196,,,0,0,obi_only,short,30000,0.05,2,3.0,2026-08-21
1285,0.058366603003941364,3.0,-5.941633396996059,0.0007782101167315176,-373.07179968929796,-7634.998915139935,,,0,0,obi_only,short,30000,0.05,3,3.0,2026-08-22
1120,-0.004121915172644819,5.0,-10.004121915172645,0.0,-444.19242621302715,-11204.616544993361,,,0,1,obi_only,short,30000,0.05,0,5.0,2026-08-19
1383,0.025748991958300493,5.0,-9.9742510080417,0.0,-652.7190686562202,-13794.38914412167,,,0,0,obi_only,short,30000,0.05,1,5.0,2026-08-20
1465,0.011362285868807831,5.0,-9.988637714131192,0.0,-482.7631369974072,-14633.354251202196,,,0,0,obi_only,short,30000,0.05,2,5.0,2026-08-21
1285,0.058366603003941364,5.0,-9.941633396996059,0.0,-624.2295368044245,-12774.998915139935,,,0,0,obi_only,short,30000,0.05,3,5.0,2026-08-22
731,-0.006638198236873727,1.0,-2.0066381982368737,0.006839945280437756,-63.697462616150844,-1466.8525229111547,,,0,1,obi_only,short,30000,0.02,0,1.0,2026-08-19
881,0.02962754793091449,1.0,-1.9703724520690855,0.0056753688989784334,-97.71058129410993,-1735.8981302728644,,,0,0,obi_only,short,30000,0.02,1,1.0,2026-08-20
877,-0.011019456550476647,1.0,-2.0110194565504766,0.011402508551881414,-71.22973642052958,-1763.6640633947682,,,0,0,obi_only,short,30000,0.02,2,1.0,2026-08-21
779,0.07683369972481868,1.0,-1.9231663002751813,0.007702182284980745,-85.4437686982333,-1498.1465479143662,,,0,0,obi_only,short,30000,0.02,3,1.0,2026-08-22
731,-0.006638198236873727,2.0,-4.006638198236874,0.0013679890560875513,-127.18420643685397,-2928.8525229111547,,,0,1,obi_only,short,30000,0.02,0,2.0,2026-08-19
881,0.02962754793091449,2.0,-3.9703724520690855,0.0,-196.89038985416585,-3497.8981302728644,,,0,0,obi_only,short,30000,0.02,1,2.0,2026-08-20
877,-0.011019456550476647,2.0,-4.011019456550477,0.0011402508551881414,-142.06916682833946,-3517.664063394768,,,0,0,obi_only,short,30000,0.02,2,2.0,2026-08-21
779,0.07683369972481868,2.0,-3.9231663002751813,0.0025673940949935813,-174.3011583956374,-3056.1465479143662,,,0,0,obi_only,short,30000,0.02,3,2.0,2026-08-22
731,-0.006638198236873727,3.0,-6.006638198236874,0.0,-190.6709502575571,-4390.852522911155,,,0,1,obi_only,short,30000,0.02,0,3.0,2026-08-19
881,0.02962754793091449,3.0,-5.9703724520690855,0.0,-296.0701984142218,-5259.898130272864,,,0,0,obi_only,short,30000,0.02,1,3.0,2026-08-20
877,-0.011019456550476647,3.0,-6.011019456550477,0.0,-212.90859723614935,-5271.664063394768,,,0,0,obi_only,short,30000,0.02,2,3.0,2026-08-21
779,0.07683369972481913,3.0,-5.923166300275181,0.0012836970474967907,-263.1585480930414,-4614.146547914366,,,0,0,obi_only,short,30000,0.02,3,3.0,2026-08-22
731,-0.006638198236872839,5.0,-10.006638198236873,0.0,-317.64443789896336,-7314.852522911155,,,0,1,obi_only,short,30000,0.02,0,5.0,2026-08-19
881,0.02962754793091449,5.0,-9.970372452069086,0.0,-494.4298155343336,-8783.898130272864,,,0,0,obi_only,short,30000,0.02,1,5.0,2026-08-20
877,-0.011019456550476647,5.0,-10.011019456550477,0.0,-354.5874580517691,-8779.664063394768,,,0,0,obi_only,short,30000,0.02,2,5.0,2026-08-21
779,0.07683369972481913,5.0,-9.92316630027518,0.0,-440.87332748784956,-7730.146547914366,,,0,0,obi_only,short,30000,0.02,3,5.0,2026-08-22
481,-0.04412879367052103,1.0,-2.044128793670521,0.008316008316008316,-45.95684491188878,-983.2259497555206,,,0,1,obi_only,short,30000,0.01,0,1.0,2026-08-19
555,0.044827925823712755,1.0,-1.9551720741762872,0.0036036036036036037,-75.38182120244358,-1085.1205011678394,,,0,0,obi_only,short,30000,0.01,1,1.0,2026-08-20
561,-0.050042487926816204,1.0,-2.050042487926816,0.0071301247771836,-52.63430331125991,-1150.0738357269438,,,0,0,obi_only,short,30000,0.01,2,1.0,2026-08-21
500,0.08887291426421151,1.0,-1.9111270857357885,0.01,-60.59691679659867,-955.5635428678943,,,0,0,obi_only,short,30000,0.01,3,1.0,2026-08-22
481,-0.04412879367052103,2.0,-4.044128793670521,0.002079002079002079,-90.92157027967424,-1945.2259497555206,,,0,1,obi_only,short,30000,0.01,0,2.0,2026-08-19
555,0.04482792582371298,2.0,-3.955172074176287,0.0,-152.49198679664264,-2195.1205011678394,,,0,0,obi_only,short,30000,0.01,1,2.0,2026-08-20
561,-0.05004248792681576,2.0,-4.050042487926816,0.0,-103.98377886724057,-2272.073835726944,,,0,0,obi_only,short,30000,0.01,2,2.0,2026-08-21
500,0.08887291426421129,2.0,-3.9111270857357887,0.004,-124.01176476655324,-1955.5635428678943,,,0,0,obi_only,short,30000,0.01,3,2.0,2026-08-22
