fold,side,horizon_ms,model,train_rows_1s,validation_rows,train_end_utc,validation_start_utc,validation_end_utc
2,long,30000,linear,269538,86337,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,30000,lightgbm,269538,86337,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,60000,obi_only,269268,86277,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,60000,linear,269268,86277,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,60000,lightgbm,269268,86277,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,250,obi_only,269806,86396,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,250,linear,269806,86396,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,250,lightgbm,269806,86396,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,1000,obi_only,269799,86395,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,1000,linear,269799,86395,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,1000,lightgbm,269799,86395,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,5000,obi_only,269763,86387,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,5000,linear,269763,86387,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,5000,lightgbm,269763,86387,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,10000,obi_only,269718,86377,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,10000,linear,269718,86377,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,10000,lightgbm,269718,86377,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,30000,obi_only,269538,86337,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,30000,linear,269538,86337,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,30000,lightgbm,269538,86337,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,60000,obi_only,269268,86277,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,60000,linear,269268,86277,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,60000,lightgbm,269268,86277,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
3,long,250,obi_only,356203,86398,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,250,linear,356203,86398,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,250,lightgbm,356203,86398,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,1000,obi_only,356195,86396,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,1000,linear,356195,86396,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,1000,lightgbm,356195,86396,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,5000,obi_only,356155,86388,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,5000,linear,356155,86388,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,5000,lightgbm,356155,86388,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,10000,obi_only,356105,86378,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,10000,linear,356105,86378,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,10000,lightgbm,356105,86378,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,30000,obi_only,355905,86338,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,30000,linear,355905,86338,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,30000,lightgbm,355905,86338,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,60000,obi_only,355605,86278,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,60000,linear,355605,86278,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,long,60000,lightgbm,355605,86278,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,250,obi_only,356203,86398,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,250,linear,356203,86398,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,250,lightgbm,356203,86398,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,1000,obi_only,356195,86396,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,1000,linear,356195,86396,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,1000,lightgbm,356195,86396,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,5000,obi_only,356155,86388,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,5000,linear,356155,86388,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,5000,lightgbm,356155,86388,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,10000,obi_only,356105,86378,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,10000,linear,356105,86378,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,10000,lightgbm,356105,86378,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,30000,obi_only,355905,86338,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,30000,linear,355905,86338,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,30000,lightgbm,355905,86338,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,60000,obi_only,355605,86278,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,60000,linear,355605,86278,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
3,short,60000,lightgbm,355605,86278,2026-08-21T23:59:00.000Z,2026-08-22T00:00:00.000Z,2026-08-23T00:00:00.000Z
