executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,view,model,side,horizon_ms,tail,eligible_oof_observations
16356,0.045194384908356255,5.0,-9.954805615091644,0.0,-4719.188265795661,-162820.80064043892,,,0,2,non_overlapping_trade_tape,obi_only,long,5000,0.1,345521
17278,0.05268904583365375,1.0,-1.9473109541663463,0.0010417872438939692,-920.3289081677805,-33645.63866608613,,,0,4,predictive_all_eligible,obi_only,long,5000,0.05,345521
10223,0.05048448054149013,1.0,-1.9495155194585099,0.0007825491538687273,-685.88699384773,-19929.897155424347,,,0,3,non_overlapping_trade_tape,obi_only,long,5000,0.05,345521
17278,0.05268904583365375,2.0,-3.9473109541663463,0.00028938534552610254,-1865.559464385524,-68201.63866608613,,,0,4,predictive_all_eligible,obi_only,long,5000,0.05,345521
10223,0.05048448054149013,2.0,-3.94951551945851,0.00019563728846718183,-1389.5356562992495,-40375.89715542435,,,0,3,non_overlapping_trade_tape,obi_only,long,5000,0.05,345521
17278,0.0526890458336533,3.0,-5.947310954166347,0.00017363120731566154,-2810.790020603268,-102757.63866608613,,,0,4,predictive_all_eligible,obi_only,long,5000,0.05,345521
10223,0.05048448054149013,3.0,-5.94951551945851,9.781864423359092e-05,-2093.184318750769,-60821.89715542435,,,0,3,non_overlapping_trade_tape,obi_only,long,5000,0.05,345521
17278,0.05268904583365419,5.0,-9.947310954166346,0.0,-4701.251133038755,-171869.63866608613,,,0,4,predictive_all_eligible,obi_only,long,5000,0.05,345521
10223,0.05048448054149013,5.0,-9.94951551945851,0.0,-3500.481643653808,-101713.89715542435,,,0,3,non_overlapping_trade_tape,obi_only,long,5000,0.05,345521
6912,0.05541850706598517,1.0,-1.9445814929340148,0.0014467592592592592,-525.2809963006556,-13440.947279159911,,,0,4,predictive_all_eligible,obi_only,long,5000,0.02,345521
5049,0.05378655881323868,1.0,-1.9462134411867613,0.0015844721727074668,-444.3888763899712,-9826.431664551958,,,0,3,non_overlapping_trade_tape,obi_only,long,5000,0.02,345521
6912,0.05541850706598517,2.0,-3.944581492934015,0.00028935185185185184,-1065.5319430564055,-27264.94727915991,,,0,4,predictive_all_eligible,obi_only,long,5000,0.02,345521
5049,0.053786558813238905,2.0,-3.946213441186761,0.00019805902158843335,-901.0591130511589,-19924.431664551958,,,0,3,non_overlapping_trade_tape,obi_only,long,5000,0.02,345521
6912,0.05541850706598517,3.0,-5.944581492934015,0.00028935185185185184,-1605.7828898121556,-41088.94727915991,,,0,4,predictive_all_eligible,obi_only,long,5000,0.02,345521
5049,0.053786558813238905,3.0,-5.946213441186761,0.00019805902158843335,-1357.7293497123464,-30022.431664551958,,,0,3,non_overlapping_trade_tape,obi_only,long,5000,0.02,345521
6912,0.05541850706598517,5.0,-9.944581492934015,0.0,-2686.284783323655,-68736.94727915991,,,0,4,predictive_all_eligible,obi_only,long,5000,0.02,345521
5049,0.05378655881323802,5.0,-9.946213441186762,0.0,-2271.0698230347216,-50218.43166455196,,,0,3,non_overlapping_trade_tape,obi_only,long,5000,0.02,345521
3456,0.0541043488151951,1.0,-1.945895651184805,0.002025462962962963,-321.6011741453426,-6725.015370494686,,,0,4,predictive_all_eligible,obi_only,long,5000,0.01,345521
2832,0.051462929611698405,1.0,-1.9485370703883016,0.00211864406779661,-301.53055217956535,-5518.25698333967,,,0,4,non_overlapping_trade_tape,obi_only,long,5000,0.01,345521
3456,0.0541043488151951,2.0,-3.945895651184805,0.0005787037037037037,-652.1442574288969,-13637.015370494686,,,0,4,predictive_all_eligible,obi_only,long,5000,0.01,345521
2832,0.05146292961169863,2.0,-3.9485370703883014,0.00035310734463276836,-611.0248458852292,-11182.25698333967,,,0,4,non_overlapping_trade_tape,obi_only,long,5000,0.01,345521
3456,0.0541043488151951,3.0,-5.945895651184805,0.0005787037037037037,-982.6873407124511,-20549.015370494686,,,0,4,predictive_all_eligible,obi_only,long,5000,0.01,345521
2832,0.05146292961169863,3.0,-5.948537070388301,0.00035310734463276836,-920.5191395908929,-16846.25698333967,,,0,4,non_overlapping_trade_tape,obi_only,long,5000,0.01,345521
3456,0.054104348815194214,5.0,-9.945895651184806,0.0,-1643.7735072795601,-34373.015370494686,,,0,4,predictive_all_eligible,obi_only,long,5000,0.01,345521
2832,0.05146292961169863,5.0,-9.948537070388301,0.0,-1539.5077270022205,-28174.25698333967,,,0,4,non_overlapping_trade_tape,obi_only,long,5000,0.01,345521
34547,0.05447833954093806,1.0,-1.945521660459062,0.0019972790690942774,-939.4759383850694,-67211.93680387922,,,0,4,predictive_all_eligible,obi_only,long,10000,0.1,345461
12438,0.05340625803243104,1.0,-1.946593741967569,0.001929570670525808,-552.3805723644343,-24211.73296259262,,,0,2,non_overlapping_trade_tape,obi_only,long,10000,0.1,345461
34547,0.05447833954093806,2.0,-3.945521660459062,0.00040524502851188235,-1905.2590057022353,-136305.93680387922,,,0,4,predictive_all_eligible,obi_only,long,10000,0.1,345461
12438,0.053406258032431264,2.0,-3.9465937419675687,0.0004019938896928767,-1119.9161196698537,-49087.73296259262,,,0,2,non_overlapping_trade_tape,obi_only,long,10000,0.1,345461
34547,0.05447833954093806,3.0,-5.945521660459062,0.00017367644079080674,-2871.0420730194014,-205399.93680387922,,,0,4,predictive_all_eligible,obi_only,long,10000,0.1,345461
12438,0.05340625803243082,3.0,-5.946593741967569,0.00016079755587715066,-1687.4516669752734,-73963.73296259262,,,0,2,non_overlapping_trade_tape,obi_only,long,10000,0.1,345461
34547,0.05447833954093717,5.0,-9.945521660459063,8.683822039540337e-05,-4802.608207653733,-343587.9368038792,,,0,4,predictive_all_eligible,obi_only,long,10000,0.1,345461
12438,0.05340625803243171,5.0,-9.946593741967568,0.0,-2822.522761586112,-123715.73296259262,,,0,2,non_overlapping_trade_tape,obi_only,long,10000,0.1,345461
17274,0.061165610885154376,1.0,-1.9388343891148456,0.0027787426189649182,-590.8747511408418,-33491.42523756984,,,0,4,predictive_all_eligible,obi_only,long,10000,0.05,345461
8443,0.057792997710708116,1.0,-1.9422070022892919,0.003079474120573256,-411.3119121256734,-16398.05372032849,,,0,2,non_overlapping_trade_tape,obi_only,long,10000,0.05,345461
17274,0.061165610885154376,2.0,-3.9388343891148456,0.000578904712284358,-1200.390194500189,-68039.42523756984,,,0,4,predictive_all_eligible,obi_only,long,10000,0.05,345461
8443,0.05779299771070834,2.0,-3.9422070022892917,0.00047376524931896246,-834.8629668184608,-33284.05372032849,,,0,2,non_overlapping_trade_tape,obi_only,long,10000,0.05,345461
17274,0.06116561088515482,3.0,-5.938834389114845,0.000289452356142179,-1809.9056378595358,-102587.42523756984,,,0,4,predictive_all_eligible,obi_only,long,10000,0.05,345461
8443,0.057792997710707894,3.0,-5.942207002289292,0.00011844131232974062,-1258.4140215112484,-50170.05372032849,,,0,2,non_overlapping_trade_tape,obi_only,long,10000,0.05,345461
17274,0.06116561088515482,5.0,-9.938834389114845,0.0001736714136853074,-3028.9365245782296,-171683.42523756984,,,0,4,predictive_all_eligible,obi_only,long,10000,0.05,345461
