grouping,queue_cell,eligible_opportunities,filled,fill_rate,markout_100ms_observed,markout_100ms_mean,markout_100ms_median,markout_100ms_std,markout_100ms_p1,markout_100ms_p5,markout_100ms_p10,markout_100ms_p25,markout_100ms_p50,markout_100ms_p75,markout_100ms_p90,markout_100ms_p95,markout_100ms_p99,markout_100ms_frac_favourable,markout_500ms_observed,markout_500ms_mean,markout_500ms_median,markout_500ms_std,markout_500ms_p1,markout_500ms_p5,markout_500ms_p10,markout_500ms_p25,markout_500ms_p50,markout_500ms_p75,markout_500ms_p90,markout_500ms_p95,markout_500ms_p99,markout_500ms_frac_favourable,markout_1000ms_observed,markout_1000ms_mean,markout_1000ms_median,markout_1000ms_std,markout_1000ms_p1,markout_1000ms_p5,markout_1000ms_p10,markout_1000ms_p25,markout_1000ms_p50,markout_1000ms_p75,markout_1000ms_p90,markout_1000ms_p95,markout_1000ms_p99,markout_1000ms_frac_favourable,markout_5000ms_observed,markout_5000ms_mean,markout_5000ms_median,markout_5000ms_std,markout_5000ms_p1,markout_5000ms_p5,markout_5000ms_p10,markout_5000ms_p25,markout_5000ms_p50,markout_5000ms_p75,markout_5000ms_p90,markout_5000ms_p95,markout_5000ms_p99,markout_5000ms_frac_favourable,catastrophic_10_rate,catastrophic_25_rate,catastrophic_50_rate,catastrophic_100_rate,side,lifecycle_class,episode_close_reason
by_lifecycle_class,optimistic,154915,142459,0.9195946164,142459,-16.60134144,-13.5,159.7578817,-247.5,-101.5,-72.5,-39.5,-13.5,0.5,39.5,69.5,186.5,0.341010396,142459,-24.43619568,-24.5,200.0693644,-414.92,-194.5,-135.5,-70.5,-24.5,19.5,91.5,151.5,348.92,0.316210278,142449,-26.52575659,-27.5,237.4413879,-531.5,-252.5,-173.5,-86.5,-27.5,31.5,125.5,206.5,471.5,0.3400445072,142438,-30.88223297,-31.5,458.1920329,-1109.5,-520.5,-344.5,-156.5,-31.5,93.5,292.5,471.5,1042.5,0.4078335837,0.5996181089,0.513467978,0.3823754467,0.214343379,,died_within_250ms,
by_lifecycle_class,optimistic,43907,41819,0.9524449404,41819,-3.161374017,0.5,50.45092027,-96.5,-43.5,-21.7,0.5,0.5,0.5,0.5,14.5,67.5,0.8333532605,41817,3.879259631,0.5,83.31693668,-191.5,-99.5,-66.5,-23.5,0.5,33.5,74.5,107.5,197.5,0.6392376306,41817,7.864289643,6.5,118.7408726,-276.34,-147.5,-99.5,-42.5,6.5,56.5,117.5,165.5,302.34,0.5503264223,41811,9.609014374,4.5,247.6720627,-651.4,-332.5,-229.5,-95.5,4.5,114.5,254.5,361.5,684.5,0.5209633828,0.4020135352,0.3332615922,0.2209149389,0.09878757443,,other,
by_lifecycle_class,optimistic,9782,9613,0.9827233695,9613,0.3208675752,0.5,86.01914093,-46.38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9577655259,9613,-0.3515031728,0.5,90.30172223,-93.5,-27.5,0.5,0.5,0.5,0.5,0.5,0.5,69.5,0.9206283158,9612,2.345869746,0.5,116.0274536,-140.5,-72.5,-47.5,-1.75,0.5,1.5,51.5,80.5,153.39,0.7384519351,9612,-1.199022056,-7.5,241.8714899,-437.17,-246.5,-181.5,-83.5,-7.5,77.5,181.5,252.5,457.95,0.4684769039,0.2244069913,0.1786308781,0.09467332501,0.02413649605,,persisted_over_1s,
by_lifecycle_class,optimistic,62853,62267,0.9906766582,62267,0.2102558337,0.5,5.370532194,-1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9896574429,62267,0.2864599226,0.5,12.25858574,-27.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14.5,0.9849197809,62266,1.509403206,0.5,21.61625683,-64.5,0.5,0.5,0.5,0.5,0.5,0.5,8.5,80.5,0.9664985706,62257,5.41794497,0.5,116.230693,-334.94,-172.5,-110.5,-29.5,0.5,40.5,125.5,191.5,358.5,0.6776908621,0.02918125462,0.02373687084,0.01382777118,0.004464715896,,repeatedly_replenished,
by_close_reason,conservative,148960,105933,0.7111506445,105933,-20.29520546,-18.5,149.868912,-216.5,-106.5,-78.5,-44.5,-18.5,0.5,29.5,64.5,184.5,0.2723608318,105932,-29.37982857,-28.5,180.2911543,-364.5,-193.5,-139.5,-75.5,-28.5,0.5,74.5,137.5,334.5,0.2983328928,105925,-29.43492565,-30.5,215.74224,-457.26,-240.5,-171.5,-89.5,-30.5,15.5,107.5,188.5,446.26,0.3286948312,105912,-27.49501001,-32.5,395.9564948,-921.5,-460.5,-316.5,-151.5,-32.5,80.5,257.5,416.5,978.39,0.4102462422,0.6133301865,0.5288175596,0.3984045315,0.2218267642,,,improved
by_close_reason,conservative,16,1,0.0625,1,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,,,segment_end
by_close_reason,conservative,148309,147453,0.9942282667,147453,-37.78822404,-27.5,103.8549626,-221.24,-108.5,-81.5,-50.5,-27.5,-9.5,0.5,0.5,1.24,0.1064339145,147452,-55.90571847,-39.5,140.4821662,-375.5,-193.5,-141.5,-81.5,-39.5,-13.5,0.5,30.5,158.745,0.1282790332,147447,-61.69785414,-43.5,168.8815442,-483.5,-242.5,-173.5,-97.5,-43.5,-11.5,19.5,80.5,261.5,0.1642488487,147434,-75.82394156,-55.5,349.3579861,-980.5,-458.5,-318.5,-161.5,-55.5,13.5,158.5,290.5,708.5,0.2876880502,0.7568617876,0.6465645283,0.461996514,0.2396589961,,,stepped_away
by_close_reason,midpoint,148960,110515,0.74191058,110515,-14.75521422,-10.5,145.8639525,-199.5,-99,-71.5,-38.5,-10.5,0.5,31.5,66.5,186.5,0.3841378998,110515,-20.76202778,-17.5,175.7519707,-343.5,-181.5,-128.5,-65.5,-17.5,2.5,79.5,140.5,335.5,0.3910238429,110507,-19.61571665,-17.5,210.3174384,-438.5,-226.5,-159.5,-78.5,-17.5,24.5,112.5,192.5,443.5,0.4101097668,110494,-14.09692834,-16.5,388.8180251,-891.535,-439.5,-298.5,-136.5,-16.5,91.5,264.5,422.5,975.5,0.4567849838,0.5383640855,0.4628847041,0.3482584814,0.193390464,,,improved
by_close_reason,midpoint,16,3,0.1875,3,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,2,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,,,segment_end
by_close_reason,midpoint,148309,147833,0.9967904847,147833,-32.97643287,-22.5,103.3589845,-214.5,-103.5,-77.5,-46.5,-22.5,-1.5,0.5,0.5,0.5,0.2201944086,147832,-51.46008645,-35.5,139.7227373,-367.5,-188.5,-136.5,-76.5,-35.5,-5.5,0.5,27.5,155.5,0.1963309703,147828,-58.21015302,-39.5,168.0267986,-478.5,-237.5,-168.5,-92.5,-39.5,-4.5,16.5,76.5,258.865,0.2104608058,147814,-74.53402925,-52.5,347.766676,-976.5,-456.5,-315.5,-158.5,-52.5,10.5,156.5,287.5,706.5,0.2973060738,0.7142219336,0.6096003463,0.4355331872,0.2265605975,,,stepped_away
by_close_reason,optimistic,148960,133669,0.8973482814,133669,4.470269846,0.5,129.6878962,-131.5,-57.5,-32.5,0.5,0.5,1.5,42.5,71.5,168.5,0.7796946188,133669,15.09948081,0.5,155.2701649,-251.5,-109.5,-63.5,0.5,0.5,39.5,100.5,153.5,326.5,0.7528746381,133661,22.30229087,0.5,187.5736159,-332.5,-148.5,-86.5,-7.5,0.5,58.5,138.5,208.5,437.5,0.7320235521,133650,41.5021474,25.5,357.1815823,-769.01,-343.5,-209.5,-55.5,25.5,131.5,294.5,439.5,969.5,0.651986532,0.2440502465,0.2081684261,0.1551462281,0.08551484726,,,improved
by_close_reason,optimistic,16,12,0.75,12,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,10,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,10,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,,,segment_end
by_close_reason,optimistic,148309,148304,0.9999662866,148304,-21.5355722,-0.5,102.0742609,-195.5,-88.5,-62.5,-30.5,-0.5,0.5,0.5,0.5,0.5,0.4890495199,148304,-39.80994444,-18.5,137.0952701,-350.5,-170.5,-118.5,-60.5,-18.5,0.5,0.5,17.5,146.5,0.366564624,148300,-48.70696561,-26.5,164.8442738,-466.5,-222.5,-154.5,-78.5,-26.5,0.5,4.5,68.5,247.5,0.3312070128,148288,-71.10387219,-46.5,344.8656552,-972.5,-446.5,-307.5,-149.5,-46.5,2.5,149.5,280.5,702.5,0.3254747518,0.6026095752,0.5109238031,0.3640863115,0.1888199595,,,stepped_away
