problem,feature,mean_coefficient,median_coefficient,folds_positive,folds
catastrophic_25_conservative,signed_weighted_obi_l10,0.3360864028,0.3162916899,1,10
catastrophic_25_conservative,signed_weighted_obi_l5,0.1113832661,0.1564212218,0.8,10
catastrophic_25_conservative,spread_ticks,0.0009089330444,0,0.2,10
catastrophic_25_conservative,time_since_bbo_change_ms,0.03201314975,0.0279153306,1,10
catastrophic_25_conservative,time_since_depth_ms,0.01412231904,0.01402657619,0.9,10
catastrophic_25_conservative,time_since_mid_change_ms,0.03201219104,0.02791467775,1,10
catastrophic_25_conservative,time_since_trade_ms,0.02540266423,0.03194459341,0.9,10
catastrophic_25_conservative,trade_count_1000ms,-0.01033119999,-0.01728008874,0.3,10
catastrophic_25_conservative,trade_count_100ms,0.01067461418,0.00942645967,1,10
catastrophic_25_conservative,trade_count_250ms,-0.007917550392,-0.00553957792,0.4,10
catastrophic_25_conservative,trade_count_5000ms,-0.02151510585,-0.01385854045,0.1,10
catastrophic_25_conservative,trade_count_500ms,0.01586561869,0.01505489647,0.7,10
catastrophic_25_conservative,unexplained_removal_share,0.02558367532,0.02891836222,1,10
catastrophic_25_midpoint,addition_ratio,-0.02599766243,-0.02120251954,0,10
catastrophic_25_midpoint,backward_mid_abs_change_ticks_1000ms,0.0003129121149,0.0075342973,0.6,10
catastrophic_25_midpoint,backward_mid_abs_change_ticks_100ms,-0.01985347001,-0.02835082728,0.4,10
catastrophic_25_midpoint,backward_mid_abs_change_ticks_250ms,-0.001194833405,-0.001318967901,0.5,10
catastrophic_25_midpoint,backward_mid_abs_change_ticks_5000ms,0.04540212378,0.07799394429,0.6,10
catastrophic_25_midpoint,backward_mid_abs_change_ticks_500ms,-0.0005350111576,-0.0008515500522,0.5,10
catastrophic_25_midpoint,bbo_change_count_1000ms,-0.02070430312,-0.01461512456,0.1,10
catastrophic_25_midpoint,bbo_change_count_100ms,-0.02345801455,-0.01078245649,0.1,10
catastrophic_25_midpoint,bbo_change_count_250ms,-0.01443256619,-0.01653858332,0.4,10
catastrophic_25_midpoint,bbo_change_count_5000ms,0.03928883462,0.008554118802,0.6,10
catastrophic_25_midpoint,bbo_change_count_500ms,0.002422434313,0.001496630663,0.6,10
catastrophic_25_midpoint,consumption_ratio,0.006764736515,0.0006188667612,0.6,10
catastrophic_25_midpoint,depth_event_count_1000ms,0.005570595595,0.005524871638,0.9,10
catastrophic_25_midpoint,depth_event_count_100ms,-0.001292863299,-0.0005980000424,0.3,10
catastrophic_25_midpoint,depth_event_count_250ms,0.01172270076,0.01068669604,1,10
catastrophic_25_midpoint,depth_event_count_5000ms,-0.001272535278,-7.854949217e-05,0.5,10
catastrophic_25_midpoint,depth_event_count_500ms,-0.003957071132,-0.004463065183,0.2,10
catastrophic_25_midpoint,drawdown_from_max,0.04412926491,0.04323515482,1,10
catastrophic_25_midpoint,has_replenished,0.0116403989,0.007134453859,0.5,10
catastrophic_25_midpoint,log_add_events,0.2465443149,0.2663869262,1,10
catastrophic_25_midpoint,log_cum_add,-0.02020094871,-0.02525253501,0.1,10
catastrophic_25_midpoint,log_cum_remove,-0.04288974954,-0.03125997446,0.1,10
