grouping,queue_cell,phase2_block,eligible_opportunities,filled,fill_rate,markout_100ms_observed,markout_100ms_mean,markout_100ms_median,markout_100ms_std,markout_100ms_p1,markout_100ms_p5,markout_100ms_p10,markout_100ms_p25,markout_100ms_p50,markout_100ms_p75,markout_100ms_p90,markout_100ms_p95,markout_100ms_p99,markout_100ms_frac_favourable,markout_500ms_observed,markout_500ms_mean,markout_500ms_median,markout_500ms_std,markout_500ms_p1,markout_500ms_p5,markout_500ms_p10,markout_500ms_p25,markout_500ms_p50,markout_500ms_p75,markout_500ms_p90,markout_500ms_p95,markout_500ms_p99,markout_500ms_frac_favourable,markout_1000ms_observed,markout_1000ms_mean,markout_1000ms_median,markout_1000ms_std,markout_1000ms_p1,markout_1000ms_p5,markout_1000ms_p10,markout_1000ms_p25,markout_1000ms_p50,markout_1000ms_p75,markout_1000ms_p90,markout_1000ms_p95,markout_1000ms_p99,markout_1000ms_frac_favourable,markout_5000ms_observed,markout_5000ms_mean,markout_5000ms_median,markout_5000ms_std,markout_5000ms_p1,markout_5000ms_p5,markout_5000ms_p10,markout_5000ms_p25,markout_5000ms_p50,markout_5000ms_p75,markout_5000ms_p90,markout_5000ms_p95,markout_5000ms_p99,markout_5000ms_frac_favourable,catastrophic_10_rate,catastrophic_25_rate,catastrophic_50_rate,catastrophic_100_rate,utc_day,file_index,segment_id,side
phase2_validation_block,midpoint,8,42852,37867,0.8836693737,37867,-32.34541949,-19.5,50.85004498,-200.5,-113.5,-86.5,-50.5,-19.5,0.5,0.5,0.5,49.5,0.3278316212,37867,-47.69518314,-32.5,84.25742109,-306.5,-185.5,-141.5,-80.5,-32.5,0.5,0.5,43.5,154.84,0.304090633,37867,-51.178678,-37.5,103.0682327,-350.5,-222.2,-169.5,-94.5,-37.5,0.5,36.5,89.5,209.5,0.3057015343,37867,-56.72221195,-47.5,207.1908947,-618.84,-380.5,-286.5,-158.5,-47.5,41.5,165.5,259.2,489.5,0.3678928883,0.6328465418,0.5617556183,0.4287374231,0.2333166081,,,,
phase2_validation_block,midpoint,9,42854,36749,0.8575395529,36749,-30.48602683,-20.5,41.60766902,-168.5,-101.5,-79.5,-49.5,-20.5,0.5,0.5,0.5,34.5,0.3156004245,36749,-47.5655392,-34.5,69.14743366,-263.54,-169.5,-130.5,-79.5,-34.5,0.5,0.5,23.5,112.02,0.2934773735,36748,-52.01410961,-39.5,86.95432089,-308.5,-200.5,-155.5,-93.5,-39.5,0.5,13.5,67.5,168.03,0.2912811582,36743,-57.01058705,-49.5,172.231196,-515.66,-330.5,-253.5,-147.5,-49.5,21.5,134.5,211.5,403.5,0.3469232235,0.6512463263,0.5827528029,0.4456841189,0.2249374116,,,,
phase2_validation_block,optimistic,-1,85544,81961,0.958115122,81961,-1.062090506,0.5,9.952554615,-43.5,-8.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9373726528,81961,-1.791333683,0.5,17.51940726,-72.5,-23.5,0.5,0.5,0.5,0.5,0.5,0.5,32.5,0.9186198314,81960,-2.033931186,0.5,20.98295382,-86.5,-31.5,-0.5,0.5,0.5,0.5,0.5,0.5,49.91,0.8983894583,81940,-2.926220405,0.5,41.91354636,-148.5,-71.5,-39.5,0.5,0.5,0.5,26.5,54.5,126.5,0.7890529656,0.08498047828,0.06194485115,0.02678135676,0.006844802343,,,,
phase2_validation_block,optimistic,0,42856,41354,0.9649523987,41354,-1.235624123,0.5,11.97900783,-47.5,-14.5,0.5,0.5,0.5,0.5,0.5,0.5,7.5,0.929728684,41354,-2.189812352,0.5,21.52898882,-86.5,-31.5,0.5,0.5,0.5,0.5,0.5,0.5,48.5,0.9041930648,41354,-2.471357063,0.5,28.3941566,-103.5,-42.5,-13.5,0.5,0.5,0.5,0.5,14.5,75.5,0.8800841515,41354,-3.5603811,0.5,63.10343424,-214.5,-97.5,-57.5,0.5,0.5,0.5,40.5,79.5,190.5,0.7748948107,0.1047540746,0.07999226193,0.04035885283,0.01124437781,,,,
phase2_validation_block,optimistic,1,42856,41162,0.9604722793,41162,-1.206051698,0.5,9.832490919,-46.5,-13.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9292551382,41162,-2.13135902,0.5,18.66834161,-77.5,-29.5,0.5,0.5,0.5,0.5,0.5,0.5,40.5,0.9068072494,41162,-2.436567708,0.5,22.9117685,-96.5,-38.5,-8.5,0.5,0.5,0.5,0.5,0.5,63.5,0.885938487,41162,-3.551588844,0.5,48.46760615,-169.5,-86.5,-49.5,0.5,0.5,0.5,34.5,68.5,143.5,0.7752295807,0.09751712745,0.07378164326,0.03529954813,0.008260045673,,,,
phase2_validation_block,optimistic,2,42856,41162,0.9604722793,41162,-1.224017298,0.5,10.03322853,-46.5,-9.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.938098246,41162,-2.153758321,0.5,17.88541638,-81.5,-24.5,0.5,0.5,0.5,0.5,0.5,0.5,32.5,0.9226228074,41162,-2.402567902,0.5,21.69161202,-92.5,-32.5,0.5,0.5,0.5,0.5,0.5,0.5,51.5,0.9049608863,41162,-3.271391089,0.5,41.36238745,-147.5,-73.5,-40.5,0.5,0.5,0.5,22.5,55.5,125.5,0.8092415335,0.08170156941,0.0625819931,0.03014916671,0.008915990477,,,,
phase2_validation_block,optimistic,3,42850,41129,0.9598366394,41129,-0.7400860707,0.5,8.049542847,-37.5,-1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9476281942,41129,-1.577670257,0.5,14.67914568,-67.5,-15.5,0.5,0.5,0.5,0.5,0.5,0.5,23.5,0.9311191617,41129,-1.739697051,0.5,17.68137605,-78.22,-24.5,0.5,0.5,0.5,0.5,0.5,0.5,39.5,0.9152666002,41126,-2.591389875,0.5,34.61919132,-128.5,-61.5,-30.5,0.5,0.5,0.5,13.5,40.5,106.25,0.8231289209,0.07097182037,0.04950278392,0.02103138904,0.005178827591,,,,
phase2_validation_block,optimistic,4,42856,41419,0.9664691058,41419,-1.252504889,0.5,12.56353444,-52.5,-16.5,0.5,0.5,0.5,0.5,0.5,0.5,19.5,0.9245998213,41419,-2.751527077,0.5,26.67102904,-106.5,-40.5,-8.5,0.5,0.5,0.5,0.5,0.5,69.5,0.886308216,41419,-3.184552983,0.5,36.69615212,-141.5,-58.5,-24.5,0.5,0.5,0.5,0.5,31.5,102.5,0.8572394312,41419,-4.056797605,0.5,80.41022144,-280.5,-132.5,-73.5,-0.5,0.5,0.5,56.5,111.5,253.32,0.7490523673,0.1235664792,0.09951954417,0.05915159709,0.02064270021,,,,
phase2_validation_block,optimistic,5,42856,41849,0.9765027067,41849,-4.212908313,0.5,95.43479657,-115.02,-50.5,-25.5,0.5,0.5,0.5,0.5,0.5,66.5,0.8402829219,41849,-7.362027766,0.5,121.6650059,-233.5,-106.5,-63.5,0.5,0.5,0.5,24.5,65.5,180.5,0.7614040957,41849,-7.718929962,0.5,145.9548614,-317.02,-141.5,-87.5,-17.5,0.5,0.5,58.5,106.5,261.5,0.7078783245,41849,-10.27221678,0.5,282.9875393,-666.5,-302.5,-194.5,-81.5,0.5,62.5,170.5,268.5,615.02,0.5552342947,0.2656694306,0.2306148295,0.165332505,0.08444646228,,,,
phase2_validation_block,optimistic,6,42846,41323,0.9644540914,41323,-6.76083537,0.5,49.88425906,-119.5,-60.5,-36.5,0.5,0.5,0.5,0.5,0.5,65.28,0.7960457856,41320,-10.34039206,0.5,71.14321803,-215.5,-106.5,-68.5,-8.5,0.5,0.5,16.5,59.5,152.5,0.7263068732,41316,-11.49657518,0.5,90.48976081,-273.35,-137.5,-90.5,-27.5,0.5,0.5,50.5,94.5,215.5,0.6741456094,41299,-13.80768299,0.5,193.5205093,-567.5,-287.5,-198.5,-87.5,0.5,60.5,162.5,246.6,500.5,0.5276883218,0.2980201375,0.2583260722,0.1804869784,0.08626198083,,,,
